seed,n_robots,n_tasks,action_profiles,feasible_profiles,theoretical_matchings,nash_count,optimal_nash_count,optimal_nash_fraction,optimum_cost,worst_nash_cost,worst_cost_ratio
110262915,2,2,9,2,2,2,1,0.5,0.7259614441848365,0.7914014800542153,1.090142577672096
110262916,2,2,9,2,2,2,1,0.5,0.6254904615126559,0.7259572294097386,1.1606207833355584
110262917,2,2,9,2,2,2,1,0.5,0.6060553619863579,0.71116936563246,1.173439606740858
110263915,3,2,27,6,6,6,1,0.16666666666666666,0.7149997244512845,1.0494348781883647,1.4677416540177513
110263916,3,2,27,6,6,6,1,0.16666666666666666,0.3698139450125595,0.8234860506148708,2.226757702679124
110263917,3,2,27,6,6,6,1,0.16666666666666666,0.5574913819106939,1.1013516610049792,1.9755492133892891
110264015,3,3,64,6,6,6,1,0.16666666666666666,0.9811992542743402,1.222214459960014,1.2456332948030215
110264016,3,3,64,6,6,6,1,0.16666666666666666,0.7952092777985199,1.3672032989851883,1.7192999844898604
110264017,3,3,64,6,6,6,1,0.16666666666666666,0.704888057267221,1.2995664252511936,1.8436493736175354
110265015,4,3,256,24,24,24,1,0.041666666666666664,0.71774279264105,1.6146525974302093,2.249625651396422
110265016,4,3,256,24,24,24,1,0.041666666666666664,0.9921705351911991,1.6451022963375745,1.6580842082964602
110265017,4,3,256,24,24,24,1,0.041666666666666664,0.8073201497542428,1.7781885922427914,2.2025817053917107
110265115,4,4,625,24,24,24,1,0.041666666666666664,0.7912386332481975,1.9151617378998442,2.4204603484004705
110265116,4,4,625,24,24,24,1,0.041666666666666664,1.274671684140415,1.86116136545674,1.460110386551678
110265117,4,4,625,24,24,24,1,0.041666666666666664,0.41453868682432016,1.8173987745654663,4.384147565304738
110266115,5,4,3125,120,120,120,1,0.008333333333333333,1.0796403818727898,2.2310394571206764,2.0664653662274297
110266116,5,4,3125,120,120,120,1,0.008333333333333333,1.5776100937621886,2.2066069388810297,1.3987023457861172
110266117,5,4,3125,120,120,120,1,0.008333333333333333,1.5024731234150612,2.0858964657746375,1.388308671394719
110266215,5,5,7776,120,120,120,1,0.008333333333333333,0.8723574573254417,2.4525894569266935,2.811450095750979
110266216,5,5,7776,120,120,120,1,0.008333333333333333,1.9661588705995516,2.64319423685476,1.3443441811234493
110266217,5,5,7776,120,120,120,1,0.008333333333333333,1.105693864540671,1.8558885651015047,1.6784831901662767
