contrast,n_pairs,mean_difference,ci95_low,ci95_high
potential_exchange - potential_br,200,-0.07318226699814571,-0.08200641336743464,-0.06508297618206006
auction_eps - hungarian,200,5.742817051746819e-06,3.365903870831752e-06,8.64150340654946e-06
potential_exchange - greedy,200,-0.010646590847339212,-0.012753874223259153,-0.008606059753040225
