method,n_robots,n_tasks,runs,feasible_rate,median_regret_per_task,q25_regret_per_task,q75_regret_per_task,median_welfare_efficiency,median_iterations,median_evaluations,median_runtime_s
hungarian,4,2,20,1.0,0.0,0.0,0.0,1.0,1.0,8.0,9.250004950445145e-06
auction_eps,4,2,20,1.0,0.0,0.0,0.0,1.0,236.5,946.0,0.0017017999998643063
greedy,4,2,20,1.0,0.0,0.0,0.0,1.0,2.0,8.0,1.7300000763498247e-05
potential_br,4,2,20,1.0,0.1369852935775831,0.0559819026922031,0.1971556412132645,0.852054180748951,2.0,24.0,0.0007003499995335005
potential_exchange,4,2,20,1.0,0.0,0.0,0.0,1.0,3.0,34.0,0.0007284500024979934
no_exclusion,4,2,20,0.0,,,,0.5205382797558009,0.0,12.0,0.00034070000401698053
hungarian,4,4,20,1.0,0.0,0.0,0.0,1.0,1.0,16.0,7.90000194683671e-06
auction_eps,4,4,20,1.0,0.0,0.0,0.0,1.0,5.5,22.0,7.520000508520752e-05
greedy,4,4,20,1.0,0.0010672314265231797,0.0,0.01604938157824675,0.9986037619949908,4.0,16.0,1.8450002244208008e-05
potential_br,4,4,20,1.0,0.03842227859414843,0.015692574301166412,0.060374153942343634,0.9467766845117535,4.0,40.0,0.0011068999956478365
potential_exchange,4,4,20,1.0,0.0,0.0,0.0,1.0,5.0,52.0,0.0011409500002628192
no_exclusion,4,4,20,0.0,,,,0.5018746562190072,0.0,20.0,0.0005584000027738512
hungarian,8,4,20,1.0,0.0,0.0,0.0,1.0,1.0,32.0,1.1649994121398777e-05
auction_eps,8,4,20,1.0,0.0,0.0,0.0,1.0,718.0,5744.0,0.006199799994647037
greedy,8,4,20,1.0,0.0,0.0,0.0032922560689856717,1.0,4.0,32.0,3.3849995816126466e-05
potential_br,8,4,20,1.0,0.1322029750602185,0.07234241608771211,0.16147527288545355,0.8521478287115223,4.0,80.0,0.0026074000052176416
potential_exchange,8,4,20,1.0,0.0,0.0,0.0,1.0,8.0,190.0,0.0027068000053986907
no_exclusion,8,4,20,0.0,,,,0.3648192474887876,0.0,40.0,0.0011508000025060028
hungarian,8,8,20,1.0,0.0,0.0,0.0,1.0,1.0,64.0,1.1649994121398777e-05
auction_eps,8,8,20,1.0,0.0,0.0,0.0,1.0,30.0,240.0,0.00026464999973541126
greedy,8,8,20,1.0,0.013204182353477173,0.008942834627509569,0.0309955787395724,0.9846786088264072,8.0,64.0,4.569999873638153e-05
potential_br,8,8,20,1.0,0.0179213024213834,0.009701215550714733,0.03301363940436901,0.9787478085990382,8.0,144.0,0.004394250005134381
potential_exchange,8,8,20,1.0,0.0,0.0,0.0,1.0,11.0,256.0,0.004614800003764685
no_exclusion,8,8,20,0.0,,,,0.32278238837544654,0.0,72.0,0.002045500004896894
hungarian,16,8,20,1.0,0.0,0.0,0.0,1.0,1.0,128.0,1.4949997421354055e-05
auction_eps,16,8,20,1.0,0.0,0.0,0.0,1.0,1755.0,28080.0,0.014371299999766052
greedy,16,8,20,1.0,0.0007576960882927294,0.0,0.004141170169146884,0.9992053206592653,8.0,128.0,8.209999941755086e-05
potential_br,16,8,20,1.0,0.11297438242185111,0.0879455132067816,0.14529059595173313,0.8782799199952291,8.0,288.0,0.008759800002735574
potential_exchange,16,8,20,1.0,0.0,0.0,0.0,1.0,14.0,932.0,0.009137250002822839
no_exclusion,16,8,20,0.0,,,,0.21110690307671617,0.0,144.0,0.004032750002807006
hungarian,16,16,20,1.0,0.0,0.0,0.0,1.0,1.0,256.0,1.7750004190020263e-05
auction_eps,16,16,20,1.0,0.0,0.0,3.166487878902835e-06,1.0,207.0,3312.0,0.0019412500041653402
greedy,16,16,20,1.0,0.019418501545191945,0.012800298710983694,0.022421105615653546,0.9782460728416562,16.0,256.0,0.00015550000534858555
potential_br,16,16,20,1.0,0.031938319189560735,0.022161595512743056,0.05192780048557005,0.9646748875671909,16.0,544.0,0.018876649999583606
potential_exchange,16,16,20,1.0,0.0,0.0,1.238487100289204e-05,1.0,25.5,1804.0,0.020161250002274755
no_exclusion,16,16,20,0.0,,,,0.22466968506781693,0.0,272.0,0.010810150000907015
hungarian,32,16,20,1.0,0.0,0.0,0.0,1.0,1.0,512.0,2.2000000171829015e-05
auction_eps,32,16,20,1.0,0.0,0.0,0.0,1.0,3001.5,96048.0,0.029085000001941808
greedy,32,16,20,1.0,0.00329469946159084,0.0015353268522860508,0.005093278106201311,0.9965859492124605,16.0,512.0,0.0003037999922526069
potential_br,32,16,20,1.0,0.11451393401044416,0.08014095414279117,0.1350799569419625,0.8819965320546255,16.0,1088.0,0.04253844999038847
potential_exchange,32,16,20,1.0,0.0,0.0,0.0005346671781479122,1.0,29.0,6352.0,0.046136199991451576
no_exclusion,32,16,20,0.0,,,,0.13977511107347246,0.0,544.0,0.024999200002639554
hungarian,32,32,20,1.0,0.0,0.0,0.0,1.0,1.0,1024.0,3.6849996831733733e-05
auction_eps,32,32,20,1.0,0.0,0.0,2.297214189938418e-05,1.0,619.0,19808.0,0.006029650001437403
