robot,team,mode,mass_kg,wheel_radius_m,half_track_m,tau_max_Nm,wheel_omega_max_rad_s,soc_initial,energy_coop_J,energy_stopgo_J,soc_final_coop,soc_final_stopgo
0,A,Cargo,21.200263931140167,0.09708685746272218,0.22407245439418472,4.893107442425599,16.212609998810102,0.8481191185524046,1600.3674000133153,1641.0388173421843,0.8408349030977985,0.840650033019031
1,A,Cargo,22.42984237268716,0.10947243542523202,0.2461619887143513,7.164973878173063,18.27492839126754,0.5746065595459099,1618.5057111357844,1660.69755070113,0.5672398972225653,0.5670481161336319
2,A,Cargo,23.13987520642383,0.10843932255087725,0.22669295688819563,5.644973538358457,16.86369852392808,0.5766997831458731,1612.8663918565053,1649.5370026545936,0.5693587540919798,0.569192069497443
3,A,Cargo,24.63231320475037,0.10937332976831195,0.22993122566204108,5.466845454868887,16.696385080983028,0.6685562869591261,1616.59209927651,1664.279488995055,0.6611983228715055,0.6609815620091484
4,B,Caging,25.49174619709112,0.0910191276986131,0.22540976548624173,5.552947358280005,17.17107572087647,0.7948978035279864,1706.8977687813801,1733.9874017548948,0.7871293591244346,0.7870062244291005
5,B,Caging,25.932199847890544,0.10767111760285374,0.2516362612795759,6.336416983702737,19.870821063846215,0.5553730054457965,1686.5969219000735,1694.4459557630603,0.5476968376189779,0.5476611601923279
6,B,Caging,26.162713391552163,0.10539949373417318,0.267595915091847,5.968554714986368,16.723181294992386,0.7029048212195362,1606.1961011096641,1630.8488745029085,0.6955941116690377,0.6954820536081593
7,B,Caging,27.865187425664374,0.09479230859382282,0.24631799164996368,5.451481696788905,16.331164588584794,0.8218480989041929,2239.389805692472,2215.999783372966,0.8116592361510452,0.8117655544343158
8,C,Cargo,27.982565964527996,0.09207629500586682,0.2368408619276685,7.0701839497502075,19.439812504089232,0.9154100885166401,1691.492240532685,1774.7918373802695,0.9077116692414915,0.9073330347103662
9,C,Cargo,28.610002764513652,0.09372594642625919,0.24541539697862183,5.7834752741002,19.740613241044322,0.6528113106878467,1672.5210287360112,1754.307413111868,0.6451991241935922,0.6448273679009746
10,C,Cargo,30.425548827923578,0.10505440531117824,0.2695234963052284,5.442605018195736,19.5743800942693,0.5914837160591097,1675.5341586154138,1739.949857039476,0.5838578335199487,0.5835650348907484
11,C,Cargo,31.032404702798207,0.10905794451825258,0.25166318746809535,6.872048106993687,19.770321702784255,0.8835427781825762,1706.173943716004,1771.3209912904258,0.875777623892958,0.875481500949438
12,IDLE,IDLE,32.26366743742721,0.10581164048047272,0.23823598237793342,5.907195179734812,19.585888858224813,0.7722128339529098,1442.880000000006,1442.880000000006,0.7656444703165461,0.7656444703165461
13,IDLE,IDLE,33.780115412024905,0.09373218495404917,0.26878625474242734,6.481432354536804,19.239029861959626,0.5520177220685294,1442.880000000006,1442.880000000006,0.5454493584321657,0.5454493584321657
14,IDLE,IDLE,33.19343779432966,0.10024093876514305,0.25912255863315553,5.889382933014181,17.997505096700554,0.695872885982556,1442.880000000006,1442.880000000006,0.6893045223461923,0.6893045223461923
