load,q,x_m,y_m
A,0.0,-8.0,-4.5
A,0.001001001001001001,-7.983924741859931,-4.490921318757808
A,0.002002002002002002,-7.967849635478011,-4.481842368810348
A,0.003003003003003003,-7.951774836917813,-4.472762873859621
A,0.004004004004004004,-7.935700517481417,-4.463682530702038
A,0.005005005005005005,-7.919626775648733,-4.454601165129125
A,0.006006006006006006,-7.903553868680597,-4.445518322034808
A,0.007007007007007007,-7.8874818523916606,-4.436433903001358
A,0.008008008008008008,-7.8714109117691775,-4.427347581174218
A,0.009009009009009009,-7.855341256104132,-4.418258987045818
A,0.01001001001001001,-7.839272906950341,-4.409168083248167
A,0.011011011011011011,-7.82320620947001,-4.400074260707341
A,0.012012012012012012,-7.807141159122876,-4.390977528722079
A,0.013013013013013013,-7.7910779352203585,-4.381877571922245
A,0.014014014014014014,-7.775016818515934,-4.372773896549071
A,0.015015015015015015,-7.758957736214138,-4.363666632934453
A,0.016016016016016016,-7.742901107822458,-4.354555043622411
A,0.01701701701701702,-7.726846896586881,-4.345439196154373
A,0.018018018018018018,-7.710795249785106,-4.336318833800334
A,0.01901901901901902,-7.69474654404044,-4.327193297256369
A,0.02002002002002002,-7.678700598971421,-4.318062907362925
A,0.021021021021021023,-7.662657901208528,-4.308926812907876
A,0.022022022022022022,-7.646618397891735,-4.299785111527908
A,0.023023023023023025,-7.630582190744134,-4.290637629195599
A,0.024024024024024024,-7.6145497629789425,-4.281483524596625
A,0.025025025025025027,-7.598520819880011,-4.272323319735555
A,0.026026026026026026,-7.582495916646225,-4.263156049280166
A,0.02702702702702703,-7.566474983711582,-4.253981842211612
A,0.028028028028028028,-7.550458081251625,-4.244800600136648
A,0.02902902902902903,-7.534445791379164,-4.235611316086973
A,0.03003003003003003,-7.518437707134891,-4.226414707718823
A,0.031031031031031032,-7.502434464793424,-4.217209676309983
A,0.03203203203203203,-7.486435955982519,-4.207996420681203
A,0.03303303303303303,-7.470442225681127,-4.198774872069395
A,0.03403403403403404,-7.454453923947128,-4.189543914777981
A,0.035035035035035036,-7.438470544927272,-4.180304436538232
A,0.036036036036036036,-7.422492832008365,-4.171055163291574
A,0.037037037037037035,-7.406520589474687,-4.161796447004229
A,0.03803803803803804,-7.390553900769329,-4.152528156095432
A,0.03903903903903904,-7.374593424668204,-4.143249171073488
A,0.04004004004004004,-7.3586385835260675,-4.133960500358459
A,0.04104104104104104,-7.342690269957861,-4.124660626340166
A,0.042042042042042045,-7.326748120828838,-4.115350189462274
A,0.043043043043043044,-7.310812344152053,-4.106028849288336
A,0.044044044044044044,-7.294883514740951,-4.096695642535276
A,0.04504504504504504,-7.278961026595116,-4.087351621554155
A,0.04604604604604605,-7.263045982393307,-4.07799492731794
A,0.04704704704704705,-7.24713773468786,-4.068626682905312
A,0.04804804804804805,-7.231236739930229,-4.059246132678154
A,0.04904904904904905,-7.215343357472526,-4.049852691257295
A,0.05005005005005005,-7.199457015406261,-4.040447347450521
A,0.05105105105105105,-7.183579108762674,-4.031027770162762
A,0.05205205205205205,-7.167708546603401,-4.02159582440679
A,0.05305305305305305,-7.151846200954433,-4.012150066467604
A,0.05405405405405406,-7.135992039836842,-4.002690578367328
A,0.055055055055055056,-7.120145844840846,-3.993217751135807
A,0.056056056056056056,-7.104308704381738,-3.9837297941668677
A,0.057057057057057055,-7.088479582454433,-3.9742284657611373
A,0.05805805805805806,-7.072659747574403,-3.964711682016605
A,0.05905905905905906,-7.05684855045606,-3.9551805551873263
A,0.06006006006006006,-7.041046374590238,-3.9456344782943975
A,0.06106106106106106,-7.02525371694984,-3.936072663726476
A,0.062062062062062065,-7.009469788207123,-3.926496446320495
A,0.06306306306306306,-6.99369628266445,-3.9169030701061147
A,0.06406406406406406,-6.977931753831807,-3.9072949505585917
A,0.06506506506506507,-6.962177445515451,-3.8976700811703533
A,0.06606606606606606,-6.946432959263606,-3.8880291540592093
A,0.06706706706706707,-6.930698400331336,-3.8783720326145925
A,0.06806806806806807,-6.914974562806056,-3.8686974649694474
A,0.06906906906906907,-6.899260360724198,-3.85900725381607
A,0.07007007007007007,-6.8835577532314725,-3.849298265373058
A,0.07107107107107107,-6.86786507805579,-3.8395732323659746
A,0.07207207207207207,-6.852183715440723,-3.8298299679984518
A,0.07307307307307308,-6.836513165584678,-3.8200693235608374
A,0.07407407407407407,-6.820853630137683,-3.8102910168887654
A,0.07507507507507508,-6.805205800817379,-3.800493989186626
A,0.07607607607607608,-6.78956867348944,-3.7906798880523427
A,0.07707707707707707,-6.773944156511686,-3.7808457233393606
