generation,candidate,objective,reward_capture_ratio,delivery_rate,throughput_steady,loads_delivered,wasted_distance,lateral_switches_per_delivery,mean_contact_deficit
0,0,0.25852222133771,0.3685118760549795,0.4375,1.3888888888888888,2.75,62.96393598146361,3.583333333333333,2.9131019015234516
0,1,0.21097559518156542,0.3352046660236315,0.3875,0.8333333333333334,2.5,65.33762557478481,3.0,2.9509532764370388
0,2,0.1944863655993546,0.3352046660236315,0.3875,0.8333333333333334,2.5,74.14934149663803,3.458333333333334,2.985730323065774
0,3,-4.899035847867512,0.10376602564102566,0.21875,0.5555555555555556,1.5,125.24184388428485,797.2083333333333,3.582514586214736
0,4,0.2632874782733116,0.3685118760549795,0.4375,1.3888888888888888,2.75,61.12769605556767,3.25,2.9123754317396084
0,5,0.2936213772524047,0.38774264528574875,0.5,2.2222222222222223,3.25,65.36303447815517,3.375,3.0180773840370505
0,6,-13.5834020855702,0.019230769230769232,0.07142857142857142,0.0,0.5,43.749292057052656,2247.0,3.9053563524545023
0,7,-14.109747609748746,0.05568910256410257,0.13392857142857142,0.2777777777777778,0.75,51.86457674067593,2341.25,3.4927887552545926
1,0,0.2600874366792466,0.3685118760549795,0.4375,1.6666666666666665,2.75,64.98451805188978,3.666666666666667,2.943733042082099
1,1,0.2522614183950533,0.3685118760549795,0.4125,1.3888888888888888,2.75,64.33834127124973,3.833333333333334,3.009714902055293
1,2,0.16309737301301214,0.27751235833132387,0.45,1.6666666666666665,3.0,66.44025928948045,3.125,3.4558619811616267
1,3,0.0340523180964999,0.21982005063901616,0.325,0.8333333333333334,2.0,82.87520431921368,7.625,3.2414395153574915
1,4,-0.3713926669477332,0.19365027931838277,0.2857142857142857,0.8333333333333334,1.75,229.24754560310558,33.5,3.408267254255898
1,5,0.3523964162966377,0.43135851217747767,0.575,2.7777777777777777,4.0,69.25659779011099,2.375,3.0088503167486023
1,6,0.24783413935494636,0.35443543525440074,0.45,1.6666666666666667,3.0,67.33770756230892,2.8125,2.9702045259549568
1,7,0.26056834745060264,0.3685118760549795,0.4375,1.3888888888888888,2.75,61.46222148554336,3.583333333333333,2.9268649435893037
2,0,0.38152597815300476,0.44543495297805646,0.59375,2.7777777777777777,4.0,60.132011024963,2.3666666666666667,2.9836009228775158
2,1,0.2998851610568097,0.38774264528574875,0.5,1.9444444444444444,3.25,60.417258317910104,2.75,2.97469904273085
2,2,0.3007022528334439,0.38774264528574875,0.5,1.9444444444444444,3.25,60.25260686459045,2.6875,2.961691402953874
2,3,0.01785793730089566,0.15184294871794873,0.3125,0.8333333333333334,2.25,69.25634285984958,1.6875,3.484477586263025
2,4,0.2957196038460667,0.38774264528574875,0.5,2.2222222222222223,3.25,64.92531403132652,3.125,3.021967655809119
2,5,0.0036112554015840306,0.13461538461538464,0.28125,0.8333333333333334,2.25,64.8768970601,1.2875,3.7795300193544845
2,6,0.3245378871278068,0.40697341451651803,0.53125,2.5,3.5,63.79747308221895,3.0,3.0201211843588527
2,7,0.40426436710510727,0.4646657222088256,0.625,3.0555555555555554,4.25,62.38151448884831,2.375,2.996012965437135
3,0,0.3776758994668192,0.44543495297805646,0.59375,2.7777777777777777,4.0,62.3658861265069,2.45,2.983551991802166
3,1,0.37759118844616846,0.44543495297805646,0.59375,2.7777777777777777,4.0,62.43229526576136,2.45,2.9825584792534334
3,2,0.4058581993264926,0.4646657222088256,0.6,3.0555555555555554,4.25,61.11610033118636,2.208333333333333,2.9996322331109804
3,3,0.3787699250674447,0.44543495297805646,0.59375,2.7777777777777777,4.0,61.98678548020363,2.3666666666666667,2.9818603497241236
3,4,0.37613981676367025,0.44543495297805646,0.59375,2.7777777777777777,4.0,62.181434179201034,2.6416666666666666,3.027736033409347
3,5,0.40648366046945006,0.4646657222088256,0.625,3.0555555555555554,4.25,61.36856038433121,2.25,2.999355484932658
3,6,0.3827150045365991,0.44543495297805646,0.59375,2.7777777777777777,4.0,59.5646601927985,2.3166666666666664,2.9810675805210103
3,7,0.3775957511193999,0.44543495297805646,0.59375,2.7777777777777777,4.0,62.42315860389547,2.45,2.9831679672245928
