method,method_label,n,mission_success_mean,mission_success_median,mission_success_std,docking_success_mean,docking_success_median,docking_success_std,recovery_success_mean,recovery_success_median,recovery_success_std,collision_mean,collision_median,collision_std,timeout_mean,timeout_median,timeout_std,mission_time_s_mean,mission_time_s_median,mission_time_s_std,recovery_time_s_mean,recovery_time_s_median,recovery_time_s_std,final_position_error_m_mean,final_position_error_m_median,final_position_error_m_std,min_clearance_m_mean,min_clearance_m_median,min_clearance_m_std,max_wrench_residual_n_mean,max_wrench_residual_n_median,max_wrench_residual_n_std,saturation_fraction_mean,saturation_fraction_median,saturation_fraction_std,mechanical_work_j_mean,mechanical_work_j_median,mechanical_work_j_std,wheel_energy_j_mean,wheel_energy_j_median,wheel_energy_j_std,messages_mean,messages_median,messages_std,bytes_sent_mean,bytes_sent_median,bytes_sent_std,runtime_ms_mean,runtime_ms_median,runtime_ms_std
distributed_full,Híbrido vecinal,360,0.9972222222222222,1.0,0.052704627669472995,1.0,1.0,0.0,0.9972222222222222,1.0,0.052704627669472995,0.0,0.0,0.0,0.002777777777777778,0.0,0.052704627669472995,37.402500000000195,40.70000000000024,10.287381424532636,1.4227777777777764,0.0,2.6726580210634734,0.1714538908121175,0.16002964652524854,0.21699936213937834,2.560030136939886,0.08004033217607154,4.301446989700984,2.200951571569916e-15,1.7944052315806015e-15,8.267108143736809e-16,0.0,0.0,0.0,28.314547625423074,23.343157120718125,9.08817760156534,40.028113206385214,35.02917075391311,10.146930298736223,328.1,224.0,279.0937003827115,89993.24444444444,50688.0,95077.19955075254,76.64197250067244,85.29254999302793,22.928373426718984
perfect_information,Información perfecta,360,0.9972222222222222,1.0,0.052704627669472995,1.0,1.0,0.0,0.9972222222222222,1.0,0.052704627669472995,0.0,0.0,0.0,0.002777777777777778,0.0,0.052704627669472995,37.402500000000195,40.70000000000024,10.287381424532636,1.4227777777777764,0.0,2.6726580210634734,0.1714538908121175,0.16002964652524854,0.21699936213937834,2.560030136939886,0.08004033217607154,4.301446989700984,2.200951571569916e-15,1.7944052315806015e-15,8.267108143736809e-16,0.0,0.0,0.0,28.314547625423074,23.343157120718125,9.08817760156534,40.028113206385214,35.02917075391311,10.146930298736223,0.0,0.0,0.0,0.0,0.0,0.0,75.7516555564103,84.52779999061022,22.57970899329105
decoupled_local,Vecinal sin acoplamiento espacial,360,0.975,1.0,0.15634224296693822,1.0,1.0,0.0,0.975,1.0,0.15634224296693822,0.0,0.0,0.0,0.025,0.0,0.15634224296693822,36.70750000000019,40.75000000000024,10.70434136669373,1.272222222222221,0.0,2.5290634983906535,0.2625336127262934,0.16005056695879344,0.6412401054861595,2.560037018966829,0.0800405292209968,4.301443011067689,2.0731522270110516e-15,1.790093054991578e-15,8.982515934564067e-16,0.0,0.0,0.0,28.045237072582278,23.32482442070153,9.406177161606973,40.72752381812396,35.30341334625187,10.030334933882251,328.8,224.0,280.7295787387394,90239.11111111111,50688.0,95636.56379232962,76.19097444427705,85.50235000438988,24.232643821939995
no_physical_guard,Vecinal sin guarda física,360,0.24722222222222223,0.0,0.43199744087186337,1.0,1.0,0.0,0.7527777777777778,1.0,0.43199744087186337,0.75,1.0,0.4336153642602654,0.002777777777777778,0.0,0.052704627669472995,10.692777777777769,7.200000000000001,6.375750809951017,0.015277777777777769,0.0,0.28987545218210126,3.5665303032111986,4.658716174659011,1.959252048868084,2.469627291905841,-0.02700259228998092,4.353772487687097,3.667204038409545e-15,3.580361673049448e-15,5.212850466249511e-16,0.0,0.0,0.0,27.84026808400435,22.657947752309916,9.57517580106222,34.68120050125849,34.498252959359746,0.9306402309136922,273.73333333333335,224.0,202.66556833988662,75285.33333333333,50688.0,71676.04971208089,17.772467222675914,11.022499995306134,13.017331464687935
no_repair,Vecinal sin reparación,360,0.75,1.0,0.4336153642602654,1.0,1.0,0.0,0.75,1.0,0.4336153642602654,0.0,0.0,0.0,0.25,0.0,0.4336153642602654,29.02194444444455,30.650000000000098,11.933699928362325,0.0,0.0,0.0,1.1852850164346338,0.1608080499957289,1.778612917961017,2.560104987365635,0.08016903596915526,4.301403716360958,2.190266703777743e-15,1.7905762439821248e-15,8.369715191607526e-16,0.0,0.0,0.0,25.32210001708002,23.1316323532485,11.857461110910135,34.78905029387502,34.498252959359746,1.492709333935269,273.26666666666665,224.0,202.55354806289884,75305.51111111112,50688.0,71749.89567136836,59.53048277765952,62.11884999356698,27.218018332710177
central_reference,Referencia central,360,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.580555555555755,40.70000000000024,10.292686627853396,1.4974999999999985,0.0,2.7644821252113014,0.160012631807006,0.16001137111657485,0.0012640991418614667,2.560029344923807,0.08004032441270159,4.301447447582406,2.2199723065615246e-15,1.800029447587553e-15,8.139928837477424e-16,0.0,0.0,0.0,28.348390015551914,23.343157120718125,9.044349845986288,39.73421120286267,34.83519919775044,9.832415311582189,0.0,0.0,0.0,0.0,0.0,0.0,76.70638250056072,85.11550001276191,22.68035025495501
