scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,feasible_load_count_mean,completed_load_count_mean,task_completion_rate_mean,recovery_success_mean,recovery_time_s_mean,load_target_reached_rate_mean,mean_final_pose_error_m_mean,max_final_pose_error_m_mean,mean_final_orientation_error_deg_mean,max_final_orientation_error_deg_mean,lost_load_rate_mean,infeasible_load_count_mean,infeasible_load_detection_rate_mean,post_event_wrench_feasible_rate_mean,mean_wrench_residual_norm_mean,min_wrench_margin_mean,unsupported_time_s_mean,load_pause_time_s_mean,degraded_speed_time_s_mean,replacement_arrival_time_s_mean,final_assigned_loads_mean,final_idle_robots_mean,reassignment_count_mean,final_active_robot_rate_mean,failed_robot_count_mean,battery_margin_final_mean,min_battery_fraction_mean,communication_coverage_ratio_mean,communication_messages_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,min_load_clearance_m_mean,travel_distance_m_mean,mean_path_length_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean
battery_depletion_reallocation,cbba_recovery,CBBA recovery,sota,decentralized,baseline,cbba_recovery_auction,baseline_sota_decentralized,none,distributed_auction_recovery,local_bids_plus_neighbors,0,4,False,False,250,2.0,1.064,0.532,0.072,52.59224,0.532,2.4175296613516015,4.4737960826350935,0.06750913528254404,0.1349762261754262,0.468,1.0,0.004,0.9015294117647058,0.10270128023337927,-0.2907143585225709,0.0,1.35296,8.909040000000001,4.871279999999999,1.936,1.992,5.34,0.986,0.112,0.029697354396134388,0.17969735439613435,1.0,21616.0,0.0,0.0,190.864,0.11499999825689682,0.11970910916967199,0.07999036020708754,125.03685837790722,15.629607297238403,0.3766801453032594,988.3148873870127,0.32726895906863573,0.728808532266511,0.0,514.9456412009895,-18.12801587591847,4.771323553539895,-22.89933942945836,0.10417054847082824,0.10417054847082824
battery_depletion_reallocation,cbf_recovery,CBF recovery,sota,centralized,baseline,centralized_cbf_recovery,baseline_sota_centralized,none,centralized_cbf_recovery,global_state_and_obstacles,0,5,False,False,250,2.0,1.06,0.53,0.068,52.57584,0.53,2.4168096388463356,4.476578004552248,0.07170506829448345,0.14335169349309676,0.47,1.0,0.004,0.8996705882352942,0.10965631042660055,-0.3016805081457121,0.0,1.5136800000000004,8.978480000000001,4.683919999999998,1.944,2.204,5.276,0.9885,0.092,0.0317216616251497,0.1817216616251497,1.0,21616.0,0.0,0.0,189.92,0.11499999926725918,0.12230624570098142,0.07997451535894877,125.49667459021525,15.687084323776906,0.38039105189525513,991.5787481596517,0.320717633052919,0.728808532266511,0.0,502.8515808014199,-19.49810969585987,4.771323553539895,-24.269433249399764,0.10733624475594737,0.10733624475594737
battery_depletion_reallocation,classic_centralized_replan,Classic centralized replanning,classic,centralized,baseline,periodic_global_replan,baseline_classic_centralized,none,centralized_periodic_replan,global_state,0,2,False,False,250,2.0,1.056,0.528,0.06,52.76704,0.528,2.4402478181593232,4.524159961292554,0.07302500917669266,0.14600577434447673,0.472,1.0,0.0,0.9065490196078432,0.09653662764308152,-0.29594884277187816,0.0,1.23144,8.37536,4.731839999999998,1.952,1.644,4.768,0.9575,0.34,0.027681828514096403,0.17768182851409636,1.0,21616.0,0.0,0.0,196.7,0.11499999922455409,0.11506841330224599,0.07998775161164849,122.3607992769374,15.295099909617175,0.38048204971411315,967.5275917023934,0.3303378527551862,0.7453723625452954,0.0,540.6902251965366,-20.72722510961638,4.771323553539895,-25.49854866315628,0.10337289629540596,0.10337289629540596
battery_depletion_reallocation,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,classic,decentralized,baseline,local_greedy_recovery,baseline_classic_decentralized,none,local_greedy_recovery,local_load_robot_state,0,2,False,False,250,2.0,1.06,0.53,0.068,52.64136,0.53,2.4427954576869606,4.524060075231257,0.0672996207816141,0.13455106124227992,0.47,1.0,0.004,0.8949490196078432,0.10254140757544156,-0.3069731665862888,0.0,1.3020000000000003,9.220400000000001,5.461519999999998,1.936,1.668,4.9,0.9545,0.364,0.024451999902694425,0.17445199990269442,1.0,21616.0,0.0,0.0,185.46,0.11499999935377693,0.11570068501118086,0.07999313439522329,121.89180003487162,15.236475004358953,0.3848062591082449,963.7519270603526,0.319938469959863,0.7122447019877266,0.0,525.7637048009783,-18.673187247602034,4.771323553539895,-23.444510801141927,0.10152034601841901,0.10152034601841901
battery_depletion_reallocation,ours_guarded_wrench_market_recovery,Ours guarded wrench-market recovery,model_based,decentralized,proposed,guarded_wrench_market_recovery,proposed_model_based_decentralized,model_based_tuning_optional,guarded_wrench_market_recovery,local_wrench_prices_and_repair,0,8,False,False,250,2.0,1.116,0.558,0.14,51.03592,0.558,2.2563666720103925,4.142841734056145,3.037013463535856e-05,6.017924001413863e-05,0.442,1.0,0.004,0.865043137254902,0.095560273013779,-0.31310476500997747,0.0,1.04888,11.864160000000002,6.379839999999998,1.88,2.336,5.324,0.988,0.096,0.02976086967585031,0.1797608696758503,1.0,21616.0,0.0,0.0,59.86,0.11499999440304381,0.12198097818010369,0.07993127696992527,124.3394831061547,15.542435388269338,0.38174021732301755,983.0418215549328,0.3175430342326475,0.7619361928240796,0.0,541.8666659970768,3.118896851888191,4.771323553539895,-1.6524267016517018,0.009049983038718797,0.009049983038718797
battery_depletion_reallocation,primal_dual_recovery,Primal-dual recovery,model_based,decentralized,proposed,primal_dual_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_primal_dual_recovery,local_dual_prices,0,6,False,False,250,2.0,1.06,0.53,0.08,52.22352,0.53,2.396144083583781,4.432203649810814,0.07269101578151742,0.14530247630170265,0.47,1.0,0.004,0.908086274509804,0.11007440257455153,-0.280498188972899,0.0,1.6206400000000003,8.2432,4.269359999999999,1.936,2.196,5.32,0.995,0.04,0.03607930477539311,0.18607930477539308,1.0,21616.0,0.0,0.0,191.764,0.11499999628896143,0.12295998680621757,0.07999770858443929,124.64737257883387,15.580921572354233,0.3813877282664899,985.7646292966291,0.3214726831884417,0.7453723625452954,0.0,505.2649287991226,-16.30659108544345,4.771323553539895,-21.077914638983348,0.10015849597635781,0.10015849597635781
battery_depletion_reallocation,reference_resilient_oracle,Reference centralized resilient recovery,model_based_reference,centralized,reference,centralized_resilient_recovery,reference_model_based_reference_centralized,none,centralized_resilient_recovery,global_state_and_event_observation,0,10,False,False,250,2.0,1.12,0.56,0.148,50.959520000000005,0.56,2.23744876330179,4.102263084976926,2.7427962496432077e-05,5.440566704815107e-05,0.44,1.0,0.004,0.8578274509803921,0.09989120248127314,-0.31381881641765974,0.0,1.08248,12.4068,6.537039999999999,1.88,2.3,5.232,0.986,0.112,0.028421968517621063,0.17842196851762104,1.0,21616.0,0.0,0.0,57.56,0.11499995952218828,0.1227517477960198,0.07995487586084349,125.09350123171357,15.636687653964197,0.38100709929461607,988.9305463183932,0.31773735047038143,0.7619361928240796,0.0,536.5430568032898,4.771323553539895,4.771323553539895,0.0,0.0,0.0
battery_depletion_reallocation,replicator_repair_recovery,Replicator repair recovery,model_based,decentralized,proposed,replicator_integer_repair,proposed_model_based_decentralized,model_based_tuning_optional,distributed_replicator_repair,local_payoff_and_repair,0,5,False,False,250,2.0,1.052,0.526,0.064,52.58239999999999,0.526,2.425382891266367,4.493440188826123,0.07150222167653632,0.14296008602283336,0.474,1.0,0.004,0.9085960784313726,0.10230840223087029,-0.28671661563857137,0.0,1.4828800000000002,8.286880000000002,4.3523999999999985,1.948,2.216,5.232,0.9935,0.052,0.03444892043886295,0.18444892043886293,1.0,21616.0,0.0,0.0,196.924,0.11499999292178005,0.12192515095502389,0.07999312468105191,124.40764638927419,15.550955798659274,0.38126706234089336,983.6022028984836,0.3215926259121923,0.7453723625452954,0.0,505.41630040155724,-20.612981863761167,4.771323553539895,-25.384305417301057,0.1048603049479087,0.1048603049479087
battery_depletion_reallocation,smith_qr_recovery,Smith-QR recovery,model_based,decentralized,proposed,smith_qr_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_smith_qr_recovery,local_deficit_prices,0,5,False,False,250,2.0,1.052,0.526,0.072,52.3884,0.526,2.4066911658752916,4.453737281111013,0.07171676905253034,0.14336383318651355,0.474,1.0,0.004,0.9058666666666668,0.10842893947522012,-0.28500672005086825,0.0,1.5310400000000002,8.42576,4.412719999999999,1.944,2.2,5.248,0.994,0.048,0.03494898601239292,0.18494898601239293,1.0,21616.0,0.0,0.0,191.264,0.11499999776889482,0.12281236193658632,0.07998360072961731,124.19638188864167,15.524547736080208,0.3827628401461759,982.3950060732076,0.3213661523679856,0.7453723625452954,0.0,505.1180683998391,-18.847849356174738,4.771323553539895,-23.61917290971463,0.10051193593941367,0.10051193593941367
battery_depletion_reallocation,tensor_flow_recovery,Tensor-flow recovery,model_based,decentralized,proposed,tensor_flow_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_tensor_flow_recovery,local_tensor_field,0,7,False,False,250,2.0,1.096,0.548,0.108,51.86736,0.548,2.3227141466210908,4.276863185680958,3.8662661885743815e-05,7.6978379265426e-05,0.452,1.0,0.0,0.8687137254901961,0.10417502695522222,-0.32197739676389464,0.0,1.24208,11.407200000000001,6.09376,1.904,2.328,5.324,0.989,0.088,0.028220835366614388,0.17822083536661437,1.0,21616.0,0.0,0.0,57.076,0.11499997706626414,0.12257716098880149,0.07998644057245567,124.32788711276066,15.540985889095083,0.38245031612983277,982.6089819004657,0.3169818472155426,0.7453723625452954,0.0,539.6556076002307,-6.0124612026608615,4.771323553539895,-10.783784756200758,0.04427559297219027,0.04427559297219027
