experiment_id,scenario_generator,scenario_variant_id,seed,method,time_s,entity,entity_id,robot_index,assigned_load_label,active,battery_fraction,x,y,theta_rad,vx,vy,target_x,target_y,target_theta_rad,wrench_margin,wrench_residual_norm,support_level,paused,degraded_speed,event_phase
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,robot,amr-01,1,3,True,0.7828157174173517,0.01764092370934439,-7.125654332845258,,-0.12306642115756276,0.6572266594439167,-2.3005085723663248,5.359994051413963,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,robot,amr-02,2,2,True,0.89363881470811,0.4167255776410418,-1.7055366295861543,,-0.6216229312026388,0.39644672268916215,-2.3499688274777766,0.09948923486842798,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,robot,amr-03,3,3,True,0.7663762309504595,-0.016485615176422504,3.9545844563381864,,-0.5777402288149336,0.493577843486846,-2.3005085723663248,5.909994051413964,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,robot,amr-04,4,3,True,0.7939945099548058,0.8724860434434855,-6.342880350610425,,-0.08617180755894296,0.6374375860378115,-0.7165085723663246,5.294994051413964,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,robot,amr-05,5,2,True,0.8750206876227505,0.9515278609980118,-0.992796482629438,,-0.6496271865673923,0.1555831192816957,-1.2288809494301056,-0.49318434282385554,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,robot,amr-06,6,1,True,0.9279774586106517,1.312152041349602,4.888140546240592,,-0.22449142718106788,-0.6353373574544201,-2.3599212733760506,-5.498643620227785,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,robot,amr-07,7,2,True,0.9426143501247979,1.0862261483650044,-4.93084552277579,,-0.1983627061103304,0.6633555855557237,-0.44173678144741,0.1617424155322447,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,robot,amr-08,8,1,True,0.8607443554800775,1.2982621462839163,0.44197940377547645,,-0.38124319858649774,-0.5914766824007933,-2.1899619264698296,-4.97556253626545,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,load,load-01,,1,,,-1.4170886222247114,-5.51583640717282,-0.3141592653589793,0.0,0.0,5.76,3.0800000000000005,0.4537856055185257,0.0,7.737953556414484,1.0,True,False,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,load,load-02,,2,,,-1.386972695397517,-0.05303436854579712,-0.15707963267948966,0.0,0.0,5.76,-0.0,0.3141592653589793,0.0,3.1759508144636825,1.0,True,False,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,0.0,load,load-03,,3,,,-1.3985085723663246,5.634994051413964,0.0,0.0,0.0,5.76,-3.0800000000000005,0.17453292519943295,0.30603856275543895,9.084331234979487,1.306038562755439,True,False,pre_event
