seed,method,event,coverage_fraction,duplicate_fraction,welfare_efficiency,regret_per_task,feasible
20670715,auction_eps,0,0.0,0.0,0.576099304301649,,False
20670715,auction_eps,1,0.25,0.0,0.7095469525004647,,False
20670715,auction_eps,2,0.5,0.0,0.8380424317371981,,False
20670715,auction_eps,3,0.75,0.0,0.9395913298631144,,False
20670715,auction_eps,4,1.0,0.0,1.0,0.0,True
20670715,greedy,0,0.0,0.0,0.576099304301649,,False
20670715,greedy,1,0.25,0.0,0.7095469525004647,,False
20670715,greedy,2,0.5,0.0,0.8380424317371981,,False
20670715,greedy,3,0.75,0.0,0.948829427782678,,False
20670715,greedy,4,1.0,0.0,0.9705684055990088,0.025851652836684808,True
20670715,potential_br,0,0.0,0.0,0.576099304301649,,False
20670715,potential_br,1,0.25,0.0,0.7095469525004647,,False
20670715,potential_br,2,0.5,0.0,0.8110958506263812,,False
20670715,potential_br,3,0.75,0.0,0.8872241955539049,,False
20670715,potential_br,4,1.0,0.0,0.958617339117445,0.03634903933570238,True
20670715,potential_exchange,0,0.0,0.0,0.576099304301649,,False
20670715,potential_exchange,1,0.25,0.0,0.7095469525004647,,False
20670715,potential_exchange,2,0.5,0.0,0.8110958506263812,,False
20670715,potential_exchange,3,0.75,0.0,0.8872241955539049,,False
20670715,potential_exchange,4,1.0,0.0,0.958617339117445,0.03634903933570238,True
20670715,potential_exchange,5,1.0,0.0,1.0,0.0,True
