method,n_robots,n_tasks,runs,feasible_rate,median_regret_per_task,q25_regret_per_task,q75_regret_per_task,median_welfare_efficiency,median_iterations,median_evaluations,median_runtime_s
auction_eps,16,8,20,1.0,0.0,0.0,0.0,1.0,1755.0,28080.0,0.025899950007442385
greedy,16,8,20,1.0,0.0007576960882927294,0.0,0.004141170169146884,0.9992053206592653,8.0,128.0,0.00012529996456578374
potential_br,16,8,20,1.0,0.11297438242185111,0.0879455132067816,0.14529059595173313,0.8782799199952291,8.0,288.0,0.015152200008742511
potential_exchange,16,8,20,1.0,0.0,0.0,0.0,1.0,14.0,932.0,0.01586209994275123
no_exclusion,16,8,20,0.0,,,,0.21110690307671617,0.0,144.0,0.0077660499955527484
hungarian,16,16,20,1.0,0.0,0.0,0.0,1.0,1.0,256.0,2.6850029826164246e-05
auction_eps,16,16,20,1.0,0.0,0.0,3.166487878902835e-06,1.0,207.0,3312.0,0.0031519000185653567
greedy,16,16,20,1.0,0.019418501545191945,0.012800298710983694,0.022421105615653546,0.9782460728416562,16.0,256.0,0.0002556500257924199
potential_br,16,16,20,1.0,0.031938319189560735,0.022161595512743056,0.05192780048557005,0.9646748875671909,16.0,544.0,0.03354309994028881
potential_exchange,16,16,20,1.0,0.0,0.0,1.238487100289204e-05,1.0,25.5,1804.0,0.03448350011603907
no_exclusion,16,16,20,0.0,,,,0.22466968506781693,0.0,272.0,0.014501399942673743
hungarian,32,16,20,1.0,0.0,0.0,0.0,1.0,1.0,512.0,2.8800044674426317e-05
auction_eps,32,16,20,1.0,0.0,0.0,0.0,1.0,3001.5,96048.0,0.048880099959205836
greedy,32,16,20,1.0,0.00329469946159084,0.0015353268522860508,0.005093278106201311,0.9965859492124605,16.0,512.0,0.0004621000844053924
potential_br,32,16,20,1.0,0.11451393401044416,0.08014095414279117,0.1350799569419625,0.8819965320546255,16.0,1088.0,0.0656671499600634
potential_exchange,32,16,20,1.0,0.0,0.0,0.0005346671781479122,1.0,29.0,6352.0,0.07036394998431206
no_exclusion,32,16,20,0.0,,,,0.13977511107347246,0.0,544.0,0.02879039995605126
hungarian,32,32,20,1.0,0.0,0.0,0.0,1.0,1.0,1024.0,5.555001553148031e-05
auction_eps,32,32,20,1.0,0.0,0.0,2.297214189938418e-05,1.0,619.0,19808.0,0.00980444997549057
greedy,32,32,20,1.0,0.019144850585090897,0.014597977176519294,0.025635186207398304,0.9794369476975904,32.0,1024.0,0.0010097500053234398
potential_br,32,32,20,1.0,0.028191945451654266,0.022701658544847913,0.034441259059085974,0.9698841765037808,32.0,2112.0,0.1263619500095956
potential_exchange,32,32,20,1.0,0.00020144860198812592,0.0,0.0010271474836161497,0.9997866356446272,49.5,11288.0,0.13679785002022982
no_exclusion,32,32,20,0.0,,,,0.12742826442699798,0.0,1056.0,0.062428099976386875
hungarian,64,32,20,1.0,0.0,0.0,0.0,1.0,1.0,2048.0,5.524995503947139e-05
auction_eps,64,32,20,1.0,0.0,0.0,7.43631974828296e-06,1.0,5514.0,352896.0,0.08568954997463152
greedy,64,32,20,1.0,0.0026531583082895598,0.0017395183383042238,0.003150085269217815,0.9973334445181408,32.0,2048.0,0.001820300007238984
potential_br,64,32,20,1.0,0.09782227258469323,0.08192971093933328,0.11120208035805482,0.9018757462527736,32.0,4224.0,0.2502661499893293
potential_exchange,64,32,20,1.0,0.0012557326167078817,0.0005520346957159934,0.0016772205896992496,0.9987418994918752,59.0,46784.0,0.28028505004476756
no_exclusion,64,32,20,0.0,,,,0.12981786289266317,0.0,2112.0,0.12190269998973235
hungarian,64,64,20,1.0,0.0,0.0,0.0,1.0,1.0,4096.0,0.00014870002632960677
auction_eps,64,64,20,1.0,7.215549486593031e-06,4.145587929722805e-06,1.2286850596763405e-05,0.9999924937299368,2079.5,133088.0,0.0319236500072293
greedy,64,64,20,1.0,0.016945349219102283,0.013062542889774889,0.024985408319632224,0.9824878287972258,64.0,4096.0,0.003863200021442026
potential_br,64,64,20,1.0,0.02521179031260183,0.022003022710621035,0.0311227186222101,0.9738592077490728,64.0,8320.0,0.4582749499822967
potential_exchange,64,64,20,1.0,0.0013246462855337204,0.0005923383620071755,0.001862853623502643,0.9986449555098686,101.0,84928.0,0.5221088999533094
no_exclusion,64,64,20,0.0,,,,0.09294835954897238,0.0,4160.0,0.21386204997543246
