instance_id,seed,n_robots,n_tasks,task_ratio,method,feasible,deficit,excess,social_cost,optimum_cost,regret,regret_per_task,social_welfare,welfare_efficiency,iterations,evaluations,runtime_s,converged,epsilon_cs_violation
N004_K002_S20660715,20660715,4,2,0.5,hungarian,True,0,0,0.2762061757928612,0.2762061757928612,0.0,0.0,1.8237938242071388,1.0,1,8,0.0007538000354543328,True,
N004_K002_S20660715,20660715,4,2,0.5,auction_eps,True,0,0,0.2762061757928612,0.2762061757928612,0.0,0.0,1.8237938242071388,1.0,147,588,0.0010670999763533473,True,0.0010000000000000009
N004_K002_S20660715,20660715,4,2,0.5,greedy,True,0,0,0.2762061757928612,0.2762061757928612,0.0,0.0,1.8237938242071388,1.0,2,8,2.010003663599491e-05,True,
N004_K002_S20660715,20660715,4,2,0.5,potential_br,True,0,0,0.5991286072063012,0.2762061757928612,0.32292243141344,0.16146121570672,1.500871392793699,0.8229391792387364,2,24,0.0008379999781027436,True,
N004_K002_S20660715,20660715,4,2,0.5,potential_exchange,True,0,0,0.2762061757928612,0.2762061757928612,0.0,0.0,1.8237938242071388,1.0,3,34,0.0008812999585643411,True,
N004_K002_S20660715,20660715,4,2,0.5,no_exclusion,False,2,0,0.0,0.2762061757928612,,,0.722363815610924,0.3960775642635804,0,12,0.00036619999445974827,True,
N004_K002_S20660716,20660716,4,2,0.5,hungarian,True,0,0,0.5197946067837529,0.5197946067837529,0.0,0.0,1.5802053932162472,1.0,1,8,9.999959729611874e-06,True,
N004_K002_S20660716,20660716,4,2,0.5,auction_eps,True,0,0,0.5197946067837529,0.5197946067837529,0.0,0.0,1.5802053932162472,1.0,447,1788,0.0064974999986588955,True,0.0010000000000000009
N004_K002_S20660716,20660716,4,2,0.5,greedy,True,0,0,0.5197946067837529,0.5197946067837529,0.0,0.0,1.5802053932162472,1.0,2,8,2.8700102120637894e-05,True,
N004_K002_S20660716,20660716,4,2,0.5,potential_br,True,0,0,0.9174108130303349,0.5197946067837529,0.397616206246582,0.198808103123291,1.1825891869696652,0.7483768831864952,2,24,0.0006590000120922923,True,
N004_K002_S20660716,20660716,4,2,0.5,potential_exchange,True,0,0,0.5197946067837529,0.5197946067837529,0.0,0.0,1.5802053932162472,1.0,3,34,0.0006880000000819564,True,
N004_K002_S20660716,20660716,4,2,0.5,no_exclusion,False,2,0,0.0,0.5197946067837529,,,0.5112319075023413,0.3235224418908058,0,12,0.0008069999748840928,True,
N004_K002_S20660717,20660717,4,2,0.5,hungarian,True,0,0,0.3567404328622541,0.3567404328622541,0.0,0.0,1.743259567137746,1.0,1,8,1.7000013031065464e-05,True,
N004_K002_S20660717,20660717,4,2,0.5,auction_eps,True,0,0,0.3567404328622541,0.3567404328622541,0.0,0.0,1.743259567137746,1.0,247,988,0.003563100006431341,True,0.0010000000000000009
N004_K002_S20660717,20660717,4,2,0.5,greedy,True,0,0,0.3567404328622541,0.3567404328622541,0.0,0.0,1.743259567137746,1.0,2,8,2.359994687139988e-05,True,
N004_K002_S20660717,20660717,4,2,0.5,potential_br,True,0,0,0.7499500740154321,0.3567404328622541,0.393209641153178,0.196604820576589,1.350049925984568,0.7744399924339506,2,24,0.001577500021085143,True,
N004_K002_S20660717,20660717,4,2,0.5,potential_exchange,True,0,0,0.3567404328622541,0.3567404328622541,0.0,0.0,1.743259567137746,1.0,4,39,0.001648699981160462,True,
N004_K002_S20660717,20660717,4,2,0.5,no_exclusion,False,2,0,0.0,0.3567404328622541,,,0.7204368200026212,0.41326996483117245,0,12,0.0007815000135451555,True,
N004_K002_S20660718,20660718,4,2,0.5,hungarian,True,0,0,0.5714985941824354,0.5714985941824354,0.0,0.0,1.5285014058175648,1.0,1,8,1.109996810555458e-05,True,
N004_K002_S20660718,20660718,4,2,0.5,auction_eps,True,0,0,0.5714985941824354,0.5714985941824354,0.0,0.0,1.5285014058175648,1.0,400,1600,0.003640200011432171,True,0.0010000000000000009
N004_K002_S20660718,20660718,4,2,0.5,greedy,True,0,0,0.7306531409072556,0.5714985941824354,0.1591545467248202,0.0795772733624101,1.3693468590927445,0.8958754332059696,2,8,1.8000020645558834e-05,True,
N004_K002_S20660718,20660718,4,2,0.5,potential_br,True,0,0,0.9692316892292181,0.5714985941824354,0.39773309504678267,0.19886654752339133,1.130768310770782,0.7397888588567942,2,24,0.0007425999501720071,True,
N004_K002_S20660718,20660718,4,2,0.5,potential_exchange,True,0,0,0.5714985941824354,0.5714985941824354,0.0,0.0,1.5285014058175648,1.0,3,34,0.0007755999686196446,True,
N004_K002_S20660718,20660718,4,2,0.5,no_exclusion,False,2,0,0.0,0.5714985941824354,,,0.4890925852692938,0.3199817699923462,0,12,0.00039059994742274284,True,
N004_K002_S20660719,20660719,4,2,0.5,hungarian,True,0,0,0.25296047276859956,0.25296047276859956,0.0,0.0,1.8470395272314004,1.0,1,8,1.109996810555458e-05,True,
N004_K002_S20660719,20660719,4,2,0.5,auction_eps,True,0,0,0.25296047276859956,0.25296047276859956,0.0,0.0,1.8470395272314004,1.0,174,696,0.001175600104033947,True,0.0010000000000000009
N004_K002_S20660719,20660719,4,2,0.5,greedy,True,0,0,0.25296047276859956,0.25296047276859956,0.0,0.0,1.8470395272314004,1.0,2,8,1.2899981811642647e-05,True,
N004_K002_S20660719,20660719,4,2,0.5,potential_br,True,0,0,0.25296047276859956,0.25296047276859956,0.0,0.0,1.8470395272314004,1.0,2,24,0.0006628999253734946,True,
