check,passed,evaluated_cases
exact_nash_equals_feasible,True,21
exact_nash_count_equals_injections,True,21
potential_best_response_is_feasible,True,200
pairwise_exchange_is_monotone,True,200
auction_epsilon_cs,True,200
auction_additive_bound,True,200
ablation_exposes_missing_exclusion,True,200
