method,runs,feasible_rate,median_regret_per_task,q25_regret_per_task,q75_regret_per_task,median_welfare_efficiency,median_iterations,median_evaluations,median_runtime_s
hungarian,200,1.0,0.0,0.0,0.0,1.0,1.0,192.0,2.3000058718025684e-05
auction_eps,200,1.0,0.0,0.0,0.0,1.0,669.0,9328.0,0.007874250004533678
greedy,200,1.0,0.005203379681878166,0.0,0.018027562775474446,0.9938171827221214,12.0,192.0,0.00019859999883919954
potential_br,200,1.0,0.05601728586144502,0.02642652468109585,0.1141558512114251,0.9364617901324174,12.0,416.0,0.021934749966021627
potential_exchange,200,1.0,0.0,0.0,0.0006467994184046859,1.0,17.5,1116.0,0.023448399966582656
no_exclusion,200,0.0,,,,0.21845069465341532,0.0,208.0,0.010816099995281547
