experiment_id,scenario_generator,scenario_variant_id,seed,method,assigned_robots,force_demand_n,force_error_n,load_index,mass_kg,mobile_conflict,obstacle_intersection,raw_mobile_conflicts,raw_obstacle_intersections,required_robots,route_mitigation_factor,scalar_feasible,torque_demand_nm,torque_error_nm,transport_success,travel_distance_m,wrench_feasible,wrench_residual_norm
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,2,77.19720941064975,54.92716915732509,1,59.45847403871174,False,False,0.0,0.0,2,0.08,True,46.02977643864934,0.03332369362784249,False,7.9015208877247485,False,0.6865897408234822
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,2,78.7731456945446,1.3991726948650984,2,58.75809532048658,False,False,0.0,0.0,2,0.08,True,61.66407647988645,1.6043859676147179,True,10.293288032831065,True,0.026609850628852762
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,2,92.10180489674826,31.77495002222415,3,88.99919686435028,False,False,0.0,0.0,2,0.08,True,83.62773078611822,11.301925801485567,False,37.383400751029846,False,0.3705240327620649
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,3,97.63824331597326,51.17258361435686,4,118.65426667314823,False,False,0.0,0.0,3,0.08,True,-16.380621007060164,15.878204582867184,False,13.041256089438626,False,0.5604268314499635
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,2,130.47689976188417,2.47674536243289,5,108.49757145218632,False,False,1.0,1.0,2,0.08,False,-66.22963148616493,0.791336595832135,False,33.523202890956014,True,0.021404947063255762
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,1,59.021721729319886,28.05293996098909,6,49.36144758114334,False,False,1.0,0.0,1,0.08,False,10.419442111852108,14.222811239774147,False,45.09826002816224,False,0.39315546384690186
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,2,76.77973124793013,55.56744200560972,7,91.8160667913991,False,False,0.0,0.0,2,0.08,True,0.7897657820026972,0.2585578278086439,False,26.007607149714644,False,0.6946005442875425
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,3,142.27654166328327,16.284462850427712,8,138.0898150044099,False,False,0.0,0.0,3,0.08,True,74.43734602177123,21.40001815594296,False,14.83415919225089,False,0.2909581452323226
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,3,129.94364800708564,6.83121725438464,9,124.06082351010748,False,False,0.0,0.0,3,0.08,True,22.304842184654404,6.057855311224863,True,22.954687195431276,True,0.0921828133889279
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,2,94.7453642501113,23.378965917121878,10,76.81209527325541,False,False,0.0,0.0,2,0.08,True,161.89186748677176,13.986625221450254,False,21.868894391048293,False,0.2614430818023695
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,2,95.36904378401886,85.87539295401503,11,115.820564048601,False,False,0.0,0.0,2,0.08,False,-166.49656694920031,63.06474899381455,False,35.12772227116109,False,0.9768762100787324
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,3,131.22030805301077,64.51805837124842,12,132.52953376273595,False,False,0.0,0.0,3,0.08,True,197.73014492719983,48.07075563313791,False,26.971550411551235,False,0.5484984529266486
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,1,95.45988456321541,71.53514948954763,13,31.12065644066223,False,False,0.0,1.0,1,0.08,True,-24.9145072141178,21.77591628978865,False,43.743017874318625,False,0.7972788516691323
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,1,68.38394484923742,27.71585723732363,14,56.26649635506726,False,False,0.0,0.0,1,0.08,True,40.45529403516668,5.55019827847368,False,7.880327665338675,False,0.35332647865723915
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,1,83.07963928731857,79.65624071269136,15,33.10970671038519,False,False,0.0,0.0,1,0.08,False,-87.4629342624537,90.33485880628172,False,7.205242337957008,False,1.409267718418453
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_hungarian_expanded,2,103.44157121248944,39.03056691786739,16,59.1421400934697,False,False,1.0,1.0,2,0.08,True,-150.97118354241042,85.06457127405598,False,21.57878730692396,False,0.6781188503197219
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,2,77.19720941064975,3.7100985016176535,1,59.45847403871174,False,False,0.0,0.0,2,0.18,True,46.02977643864934,4.808668461591154,True,15.362812714869193,True,0.07591949196476878
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,2,78.7731456945446,7.634481260878665,2,58.75809532048658,False,False,0.0,0.0,2,0.18,True,61.66407647988645,6.2124007691017695,False,16.81142792655545,False,0.12303405742837259
