alpha,alternative,ci95_high,ci95_low,class,effect,effect_name,effect_size,effect_size_name,id,methods,metric,n_pairs,null_hypothesis,p_value,p_value_holm,p_value_raw,rank_biserial,reject,reject_holm,reject_raw,statistic
0.05,,nan,nan,SpearmanScalingHypothesis,0.0,spearman_rho,0.0,spearman_rho,H8.1_centralized_oracle_timeout_increases_with_scale,centralized_coalition_oracle,timeout_rate,1,,1.0,1.0,1.0,nan,False,False,False,0.0
0.05,ours_wrench_market_hierarchical > classic_local_greedy,0.0625,0.0625,PairedSuperiorityHypothesis,0.0625,ours_wrench_market_hierarchical-classic_local_greedy task_completion_rate,0.0,cohens_dz,H8.2_ours_hierarchical_higher_completion_than_classic_local,ours_wrench_market_hierarchical vs classic_local_greedy,task_completion_rate,1,,1.0,1.0,1.0,1.0,False,False,False,
0.05,ours_wrench_market_hierarchical > centralized_hungarian_expanded,0.0625,0.0625,PairedSuperiorityHypothesis,0.0625,ours_wrench_market_hierarchical-centralized_hungarian_expanded wrench_feasible_rate,0.0,cohens_dz,H8.3_ours_hierarchical_higher_wrench_feasibility_than_hungarian,ours_wrench_market_hierarchical vs centralized_hungarian_expanded,wrench_feasible_rate,1,,1.0,1.0,1.0,1.0,False,False,False,
