method,method_label,mode,centralized,runs,success_rate,success_ci95_low,success_ci95_high,physically_admissible_success_rate,command_infeasible_run_rate,mean_command_infeasible_fraction,physical_violation_rate,mean_realized_violation_fraction,mean_realized_violation_max_duration_s,collision_rate,collision_ci95_low,collision_ci95_high,timeout_rate,median_final_position_error_m,mean_governor_intervention_rate,mean_minimum_kinematic_margin,mean_minimum_mechanical_margin,mean_bytes,mean_state_estimate_rmse_position_m,mean_state_estimate_rmse_yaw_rad
pd,PD,raw,0,210,0.7238095238095238,0.6597278178056276,0.7798501785211693,0.0,1.0,0.5244240465083918,1.0,0.49385845918210014,3.410476190476191,0.0,0.0,0.017964050759283236,0.2761904761904762,0.05740917658634789,0.5244240465083918,-5.967055835569087,0.41410871934062815,9080.547619047618,0.37772024041694796,0.09101757691012327
pd,PD,governed,0,210,0.8,0.7407285821236901,0.84849298742074,0.42857142857142855,0.2857142857142857,0.10525473579112873,0.5714285714285714,0.12409418943434648,0.7733333333333333,0.12380952380952381,0.08590847051514082,0.1752263867227961,0.0761904761904762,0.05605411545170717,0.5033418172897366,0.0025073143751389976,0.5560433589917038,8222.590476190477,0.11668849368032473,0.02294553185985033
pid,PID,governed,0,210,0.7523809523809524,0.6898184932890271,0.8058758429943823,0.4238095238095238,0.2857142857142857,0.09382097721851869,0.5761904761904761,0.11508641335955731,0.7847619047619048,0.12380952380952381,0.08590847051514082,0.1752263867227961,0.12380952380952381,0.08181048867927083,0.46436799108094345,0.0009154186259313862,0.5754994354704456,9497.980952380953,0.11692892248751607,0.022481829553120915
lqr,LQR,governed,0,210,0.780952380952381,0.7202411069598703,0.8315695692801516,0.43333333333333335,0.2857142857142857,0.1049511251142708,0.5571428571428572,0.126409303783507,0.8104761904761906,0.12380952380952381,0.08590847051514082,0.1752263867227961,0.09523809523809523,0.04356487208051393,0.6936770235670723,0.00231423046072538,0.5222462168288049,8298.085714285715,0.1205821584216902,0.021832645766450033
lqi,LQI,raw,0,210,0.6571428571428571,0.5906380731762001,0.718001796585168,0.0,1.0,0.6668767689825754,1.0,0.5212230185673798,4.518095238095239,0.0,0.0,0.017964050759283236,0.34285714285714286,0.05597426332874553,0.6668767689825754,-24.879819285545164,-0.4756094727173881,12576.019047619047,0.4686035350515926,0.13356408562625924
lqi,LQI,governed,0,210,0.7714285714285715,0.7100609012490908,0.823044328338727,0.3523809523809524,0.2857142857142857,0.10333222867124357,0.638095238095238,0.13237335676648182,0.9380952380952382,0.11428571428571428,0.07801270546469152,0.16441670512104123,0.11428571428571428,0.07914749306802715,0.7656303543257065,0.007127683959691416,0.5294095306412133,9439.65238095238,0.12050242906978317,0.022799030938875222
port_hamiltonian,Amortiguamiento energético,raw,0,210,0.7238095238095238,0.6597278178056276,0.7798501785211693,0.0,1.0,0.5529897377554183,1.0,0.507242353442911,3.6485714285714286,0.0,0.0,0.017964050759283236,0.2761904761904762,0.05650836850892903,0.5529897377554183,-16.097282700072462,0.285074158204444,9049.866666666667,0.41301178286451534,0.10569750491942534
port_hamiltonian,Amortiguamiento energético,governed,0,210,0.8,0.7407285821236901,0.84849298742074,0.4095238095238095,0.2857142857142857,0.11151821895251363,0.5904761904761905,0.13136119491262072,0.8457142857142856,0.11428571428571428,0.07801270546469152,0.16441670512104123,0.08571428571428572,0.06078352934962055,0.5560250114099908,-0.0012315399862405057,0.5389836442131962,8216.633333333333,0.11972630381097253,0.02396140656313944
mpc_central,MPC central,raw,1,210,0.8571428571428571,0.803389599368722,0.8980646500889328,0.0,1.0,0.5262492938659268,1.0,0.504506657417408,1.865714285714286,0.14285714285714285,0.10193534991106716,0.196610400631278,0.0,0.019690440149473253,0.5262492938659268,-4.768872695372266,0.6716345919488557,5775.333333333333,0.0,0.0
mpc_central,MPC central,governed,1,210,0.8571428571428571,0.803389599368722,0.8980646500889328,0.44761904761904764,0.2857142857142857,0.1386735681817649,0.5523809523809524,0.15102362107973052,1.5961904761904764,0.0,0.0,0.017964050759283236,0.14285714285714285,0.02071888802312039,0.5722699831149882,-0.0209220140906384,0.6716345919488557,8577.114285714286,0.0,0.0
