comparison,paired_worlds,independent_seed_blocks,scenarios_per_seed,success_risk_difference,success_difference_ci95_low,success_difference_ci95_high,mcnemar_exact_p,success_seed_wilcoxon_p,physical_success_risk_difference,physical_success_mcnemar_exact_p,physical_violation_risk_difference,collision_risk_difference,collision_difference_ci95_low,collision_difference_ci95_high,collision_seed_wilcoxon_p,median_error_difference_m,wilcoxon_error_p,wins_success,losses_success,ties_success,mcnemar_holm_p,physical_success_mcnemar_holm_p,success_seed_wilcoxon_holm_p,collision_seed_wilcoxon_holm_p
lqi:governed-minus-raw,210,30,7,0.11428571428571427,0.08095238095238094,0.14761904761904762,1.1920928955078125e-07,5.9270097016517975e-06,0.3523809523809524,1.0587911840678754e-22,-0.3619047619047619,0.11428571428571427,0.0952380952380952,0.1333333333333333,9.633570086430965e-07,0.006875211563510224,0.05181186496824127,24,0,186,4.76837158203125e-07,1.0587911840678754e-22,2.370803880660719e-05,1.926714017286193e-06
mpc_central:governed-minus-raw,210,30,7,0.0,0.0,0.0,1.0,1.0,0.44761904761904764,1.0097419586828951e-28,-0.44761904761904764,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,4.320463057827488e-08,0.0026614511479693074,3.320060087648862e-27,0,0,210,1.0,4.0389678347315804e-28,1.0,1.7281852231309953e-07
pd:governed-minus-raw,210,30,7,0.07619047619047618,0.04761904761904761,0.10476190476190475,0.00014495849609375,0.00016244084518680075,0.42857142857142855,1.6155871338926322e-27,-0.42857142857142855,0.12380952380952379,0.10476190476190475,0.13809523809523808,3.4141735772975085e-07,-0.0037543990516474106,6.2799420449573055e-09,17,1,192,0.0002899169921875,4.8467614016778965e-27,0.0003248816903736015,1.0242520731892526e-06
port_hamiltonian:governed-minus-raw,210,30,7,0.07619047619047618,0.052380952380952375,0.09999999999999999,3.0517578125e-05,6.334248366623973e-05,0.4095238095238095,2.5849394142282115e-26,-0.4095238095238095,0.11428571428571427,0.09047619047619046,0.1333333333333333,9.633570086430965e-07,-0.0009429392490171995,0.008207812549241267,16,0,194,9.1552734375e-05,5.169878828456423e-26,0.00019002745099871917,1.926714017286193e-06
