method,method_label,governor_step,runs,geometric_success_rate,physically_admissible_success_rate,command_infeasible_run_rate,mean_command_infeasible_fraction,physical_violation_rate,mean_realized_violation_fraction,mean_realized_violation_max_duration_s,collision_rate,mean_governor_total_variation,mean_governor_switch_rate
pd,PD,0.2,210,0.8,0.42857142857142855,0.2857142857142857,0.10525473579112873,0.5714285714285714,0.12409418943434648,0.7733333333333333,0.12380952380952381,7.042857142857143,0.3730080671290156
lqi,LQI,0.2,210,0.7714285714285715,0.3523809523809524,0.2857142857142857,0.1033322286712436,0.638095238095238,0.13237335676648182,0.9380952380952382,0.11428571428571428,8.432380952380953,0.6139436555838119
port_hamiltonian,Amortiguamiento energético,0.2,210,0.8,0.4095238095238095,0.2857142857142857,0.11151821895251363,0.5904761904761905,0.13136119491262072,0.8457142857142859,0.11428571428571428,8.140952380952381,0.43801465868194017
mpc_central,MPC central,0.2,210,0.8571428571428571,0.44761904761904764,0.2857142857142857,0.1386735681817649,0.5523809523809524,0.1510236210797305,1.5961904761904764,0.0,5.251428571428571,0.43141550238963083
lqi,LQI,0.1,210,0.780952380952381,0.319047619047619,0.2857142857142857,0.10783075698407388,0.6761904761904762,0.14633227836176407,1.020952380952381,0.10476190476190476,7.908571428571428,0.6352201955645606
mpc_central,MPC central,0.1,210,0.8571428571428571,0.38571428571428573,0.2857142857142857,0.13947436898256568,0.6142857142857143,0.15815952541228734,1.6123809523809525,0.0,3.980952380952381,0.4489501873138281
pd,PD,0.1,210,0.8,0.3238095238095238,0.2857142857142857,0.10850027398642435,0.6761904761904762,0.13637403335285558,0.8,0.12380952380952381,5.814285714285714,0.395869108453278
port_hamiltonian,Amortiguamiento energético,0.1,210,0.7666666666666667,0.2761904761904762,0.2857142857142857,0.11323340134811474,0.719047619047619,0.14320417390694637,0.8838095238095239,0.11428571428571428,7.033333333333333,0.41999814356348875
lqi,LQI,0.05,210,0.7714285714285715,0.19523809523809524,0.2857142857142857,0.10793114022291489,0.7952380952380952,0.15154972502511643,1.0466666666666666,0.10476190476190476,7.857380952380952,0.6452375493113759
mpc_central,MPC central,0.05,210,0.8571428571428571,0.22380952380952382,0.2857142857142857,0.13687553749756529,0.7761904761904762,0.1721269346671866,1.6704761904761904,0.0,2.973809523809524,0.4775185940094704
pd,PD,0.05,210,0.8,0.16666666666666666,0.2857142857142857,0.11079746919585715,0.8333333333333334,0.15765344567059347,0.8828571428571429,0.11904761904761904,5.850714285714286,0.398152085004028
port_hamiltonian,Amortiguamiento energético,0.05,210,0.7857142857142857,0.14285714285714285,0.2857142857142857,0.11342014285507315,0.8571428571428571,0.15722535816511518,0.9228571428571429,0.11428571428571428,6.5495238095238095,0.4397673341079655
