world_key,oracle_status,oracle_objective,oracle_bound,oracle_gap,oracle_runtime_s,oracle_feasible,oracle_certified
E2:clustered:p0.7:cv0.35:r1,OPTIMAL,367.33602032962494,367.33602032962494,0.0,0.0280909999855794,True,True
E2:clustered:p0.7:cv0.35:r2,OPTIMAL,322.2430639056154,322.2430639056154,0.0,0.03938560001552105,True,True
E2:clustered:p0.7:cv0.35:r3,OPTIMAL,335.755276649768,335.755276649768,0.0,0.0779455000301823,True,True
E2:clustered:p0.7:cv0.35:r4,OPTIMAL,300.40283482180973,300.40283482180973,0.0,0.03339259995846078,True,True
E2:clustered:p0.7:cv0.35:r5,OPTIMAL,335.8102406036586,335.81024060365866,0.0,0.03390079998644069,True,True
E2:clustered:p0.7:cv0.35:r6,OPTIMAL,287.2042191113601,287.20421911136015,0.0,0.029881299997214228,True,True
E2:clustered:p0.7:cv0.35:r7,OPTIMAL,306.5883135318252,306.5883135318252,0.0,0.027826800011098385,True,True
E2:clustered:p0.7:cv0.35:r8,OPTIMAL,282.43694005896117,282.4369400589612,0.0,0.02281649998622015,True,True
E2:clustered:p0.7:cv0.35:r9,OPTIMAL,360.8562006625333,360.8562006625333,0.0,0.04686070000752807,True,True
E2:clustered:p0.7:cv0.35:r10,OPTIMAL,331.1599613567057,331.15996135670565,0.0,0.04040729999542236,True,True
E2:clustered:p0.7:cv0.35:r11,OPTIMAL,398.1346986009793,398.1346986009793,0.0,0.01307670003734529,True,True
E2:clustered:p0.7:cv0.35:r12,OPTIMAL,291.4206605033025,291.4206605033025,0.0,0.0500459999893792,True,True
E2:clustered:p0.7:cv0.35:r13,OPTIMAL,322.09809904739063,322.09809904739063,0.0,0.04040370002621785,True,True
E2:clustered:p0.7:cv0.35:r14,OPTIMAL,273.9920408097379,273.9920408097379,0.0,0.052698199986480176,True,True
E2:clustered:p0.7:cv0.35:r15,OPTIMAL,251.10083224721308,251.10083224721308,0.0,0.01807700004428625,True,True
E2:clustered:p0.7:cv0.35:r16,OPTIMAL,311.9156016193341,311.9156016193341,0.0,0.3029260000330396,True,True
E2:clustered:p0.7:cv0.35:r17,OPTIMAL,270.9108598949133,270.9108598949133,0.0,0.07813280000118539,True,True
E2:clustered:p0.7:cv0.35:r18,OPTIMAL,378.0943918793141,378.09439187931406,0.0,0.31246779998764396,True,True
E2:clustered:p0.7:cv0.35:r19,OPTIMAL,345.77354243028003,345.77354243028003,0.0,0.03252720000455156,True,True
E2:clustered:p0.7:cv0.35:r20,OPTIMAL,298.08324037516684,298.08324037516684,0.0,0.10138740000547841,True,True
E2:clustered:p0.7:cv0.35:r21,OPTIMAL,338.8854349690208,338.8854349690208,0.0,0.061763200035784394,True,True
E2:clustered:p0.7:cv0.35:r22,OPTIMAL,298.96363758628536,298.96363758628536,0.0,0.027206200000364333,True,True
E2:clustered:p0.7:cv0.35:r23,OPTIMAL,312.64548223789916,312.6454822378991,0.0,0.05821530002867803,True,True
E2:clustered:p0.7:cv0.35:r24,OPTIMAL,276.8393757118039,276.8393757118039,0.0,0.0197084000101313,True,True
E2:clustered:p0.7:cv0.35:r25,OPTIMAL,287.3505265928626,287.35052659286265,0.0,0.006981000013183802,True,True
E2:clustered:p0.7:cv0.35:r26,OPTIMAL,412.9747851806589,412.9747851806589,0.0,0.24572180001996458,True,True
E2:clustered:p0.7:cv0.35:r27,OPTIMAL,379.38878034332566,379.3887803433257,0.0,0.10623989999294281,True,True
E2:clustered:p0.7:cv0.35:r28,OPTIMAL,222.7089026998791,222.7089026998791,0.0,0.00932230002945289,True,True
E2:clustered:p0.7:cv0.35:r29,OPTIMAL,278.2071875927759,278.2071875927759,0.0,0.018923699972219765,True,True
