world_key,world_id,world_seed,world_digest,scenario,scenario_label,capacity_cv,realized_cv,pressure,N,K,total_capacity,total_demand,critical_radius_m
E2:uniform:p0.7:cv0.0:r0,uniform-p0.7-r0,971949659,29b75a23b1bbf2a564508e8b44f8a1f428a659a265e7fae95a68226de528202d,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,55.99999999999999,27.65339524932868
E2:uniform:p0.7:cv0.0:r1,uniform-p0.7-r1,1650646117,41a3928d91f40ea5034f88545bf7741270695761942a3a6dccfdc5337aee36d6,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,32.94317831179677
E2:uniform:p0.7:cv0.0:r2,uniform-p0.7-r2,1808233241,b583c77261e22631c79e1fe7a61b8f269fa6ce4cbdb89a3b313da9b49cfb23b4,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.00000000000001,35.680231641520315
E2:uniform:p0.7:cv0.0:r3,uniform-p0.7-r3,3714920918,1a76deb667894c83427b59f329dba55dc14e4661d1ba3dd58441d74a428eae3d,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,42.333420069128906
E2:uniform:p0.7:cv0.0:r4,uniform-p0.7-r4,1702622760,93e8c9a35acfb6ef4f2cefa51c72cdcd133544c4ccd4f54675f64953dcb82e62,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,45.407402814679024
E2:uniform:p0.7:cv0.0:r5,uniform-p0.7-r5,3047800900,157eb816622532770ed482a627c0902b21b770d6d26a81cb81123072331ebbcf,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,38.41414456773605
E2:uniform:p0.7:cv0.0:r6,uniform-p0.7-r6,3663561766,5db25249a00f609e155e722f1e70c727e02f78d465f073b467105eb63cfe9d24,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,35.044534186873946
E2:uniform:p0.7:cv0.0:r7,uniform-p0.7-r7,3369711852,7648425bfdca9c193b5349feed5fff06b5af1117d642a2d27220fd205bce38bf,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,41.7343054806349
E2:uniform:p0.7:cv0.0:r8,uniform-p0.7-r8,372643683,89801a44173aec8ae2a29ab96578ea09d5cedeebe4fb00e9bbec7e438775c50f,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,55.99999999999999,35.01771699236991
E2:uniform:p0.7:cv0.0:r9,uniform-p0.7-r9,354683467,1ea84ebcfe8039fdb01c1aee5756303b974f8e700c84536f09ffff2033e6fd79,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.00000000000001,30.70617180397695
E2:uniform:p0.7:cv0.0:r10,uniform-p0.7-r10,339958285,6b4b9f2cd208ec99370a3f7fbe059b5816e34ef48b74bf293b915044fab05a35,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,39.715433097953714
E2:uniform:p0.7:cv0.0:r11,uniform-p0.7-r11,4282585846,980f6ab900fbce1446b3e40162ffaddbae0ca4f1897bea38232880cda4871590,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,25.36462772167826
E2:uniform:p0.7:cv0.0:r12,uniform-p0.7-r12,200871354,420786b63d941ee83ccc323709507da4199e9b20cf0adca19be6209d752bc5f3,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.000000000000014,32.69666566010384
E2:uniform:p0.7:cv0.0:r13,uniform-p0.7-r13,2074074201,6411165d4acb2ad2917e0689d09457a620653d8305fab2d638444db332096cf0,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.00000000000001,32.47403672539048
E2:uniform:p0.7:cv0.0:r14,uniform-p0.7-r14,3652005525,1d80dacebabc03504d29003bec1242bf1198476e4cc8966a140b1d4d64e102cd,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.000000000000014,45.79531765945773
E2:uniform:p0.7:cv0.0:r15,uniform-p0.7-r15,779025303,f77ecaea618a303d497687a0ad69160ed1b0da19b10d3eb200096dc9c1c00144,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,36.47988786830981
E2:uniform:p0.7:cv0.0:r16,uniform-p0.7-r16,2230547777,29b70dea1e2c3a25c45488870215648270987f118899a48febb0eabf200eae3d,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,41.669189892653435
E2:uniform:p0.7:cv0.0:r17,uniform-p0.7-r17,1573080845,1f581a21b78ecae8e4fa373660332039b2e788826cd682aa88ab9fd6031e091b,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,33.42580374887382
E2:uniform:p0.7:cv0.0:r18,uniform-p0.7-r18,4226782885,d5f28dcc9584a81d879e507fb66b349a3bb2180c26833df058a207cf3833e774,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,55.99999999999999,33.421170517000455
E2:uniform:p0.7:cv0.0:r19,uniform-p0.7-r19,464816480,b53f4af30adeba1aa0873e1dfac6c8b14fd37d954b5d73eae0d99c63840ec43e,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.00000000000001,35.99189864246193
E2:uniform:p0.7:cv0.0:r20,uniform-p0.7-r20,3482396282,3a3b6647e43e87fa047cc8d8424f7192dd34d45844a48858bf4fbb41c3285cc9,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,39.442300613564406
E2:uniform:p0.7:cv0.0:r21,uniform-p0.7-r21,219269368,2de6d7fea33b0dd665b411986eee27cc4a902ad7530fc45f52d2a3504c04bb0a,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,55.99999999999999,31.191401056337664
E2:uniform:p0.7:cv0.0:r22,uniform-p0.7-r22,1125814744,c73b3fc28d28ceef9668ebc1998f192079904878c9a6cf45954865f46eaf6878,uniform,Aleatorio,0.0,0.0,0.7,16,5,80.0,56.0,45.6329075894074
