id,candidate,reference,metric,n_pairs,effect_mean_paired,ci95_low,ci95_high,p_value_raw,interpretation,p_value_holm,reject_holm_005
H-SP2-1,smith__marginal_deficit,smith__plain_deficit,normalized_regret,480,-0.008769867679966625,-0.026461952868384146,0.008459362966116957,0.09236137928910465,inconclusive,0.1847227585782093,False
H-SP2-2,replicator__marginal_deficit,replicator__plain_deficit,normalized_regret,480,-0.017944822208444473,-0.034943840599733045,-0.0012956076540535748,0.00349945423816793,candidate_better,0.02099672542900758,True
H-SP2-3,erv_bnn__marginal_deficit,erv_bnn__plain_deficit,normalized_regret,480,-0.017694256209494833,-0.03454319289623456,-0.0007016250994436742,0.00400395673165714,candidate_better,0.02099672542900758,True
H-SP2-4,smith__marginal_log,smith__plain_deficit,normalized_regret,480,-0.051826636294607036,-0.07216339031708656,-0.03169703399561256,0.0005699460706410015,candidate_better,0.004559568565128012,True
H-SP2-5,replicator__marginal_log,replicator__plain_deficit,normalized_regret,480,-0.0498411545050098,-0.07114917973755501,-0.029934279814105593,0.0008014824989180289,candidate_better,0.005610377492426202,True
H-SP2-6,erv_bnn__marginal_log,erv_bnn__plain_deficit,normalized_regret,480,-0.054668560221419256,-0.07432315146300994,-0.035167250655037084,6.707424561708476e-05,candidate_better,0.0006036682105537629,True
H-SP2-7,erv_bnn__marginal_log,smith__marginal_log,normalized_regret,480,-0.005939198658468631,-0.013839413766736197,0.0021604761524129136,0.013446647220378055,inconclusive,0.05378658888151222,False
H-SP2-8,erv_bnn__marginal_log,replicator__marginal_log,normalized_regret,480,-0.002523578931618392,-0.012108545228907636,0.006935892644383476,0.6257932139754021,inconclusive,0.6257932139754021,False
H-SP2-9,erv_bnn__marginal_log,greedy_capacity,normalized_regret,480,-0.06432477211668915,-0.08740639606986064,-0.04130184362926349,4.009472453172066e-10,candidate_better,4.009472453172066e-09,True
H-SP2-10,erv_bnn__marginal_log,auction_capacity,normalized_regret,480,-0.048539702308598436,-0.0707434156693742,-0.027477392229501303,0.014962449151483169,candidate_better,0.05378658888151222,False
H-SP2-11,erv_bnn__marginal_log,milp_exact,normalized_regret,480,0.26934335900844425,0.249380858196787,0.28915955537562615,1.0501747633408744e-79,reference_better,1.1551922396749619e-78,True
