method,n,served_rate_mean,coverage_mean,regret_mean,regret_std,raw_served_rate_mean,convergence_rate,potential_gain_mean,messages_mean,runtime_s_mean
milp_exact,480,0.8118055555555556,0.8856164935837348,0.0,0.0,0.8118055555555556,1.0,,48.0,8.719396088660384e-05
uniform_closure,480,0.5876388888888889,0.9119511621481886,0.2582887941875477,0.24681868817353897,0.0,1.0,,48.0,0.0006907758264181515
erv_bnn__marginal_log,480,0.5745833333333333,0.8864960841191429,0.2693433590084443,0.21803993175631287,0.53625,1.0,5.027864692147378,101451.55,0.04625929062603973
replicator__marginal_log,480,0.5704166666666667,0.8834541577648306,0.27186693794006267,0.21092158031222222,0.5320833333333334,0.5666666666666667,5.580507007884492,135031.43333333332,0.060720467704231854
smith__marginal_log,480,0.5691666666666666,0.8829141048804637,0.27528255766691295,0.21279475444247312,0.538888888888889,0.94375,5.6857913701827,111648.43333333333,0.051676937920759274
replicator__marginal_deficit,480,0.5340277777777778,0.885078800730597,0.303763270236628,0.24185282417989853,0.3375,0.6291666666666667,1.2806455553793807,124402.9,0.056771213755322
erv_bnn__marginal_deficit,480,0.5311111111111111,0.8903314113019927,0.30631766302036867,0.24819375206102912,0.32652777777777775,0.9854166666666667,1.1536086994045713,94176.03333333334,0.04298148937765897
auction_capacity,480,0.5134722222222222,0.8893044970164948,0.31788306131704275,0.231307997899345,0.5134722222222222,1.0,,48.0,0.0004826427102671005
smith__marginal_deficit,480,0.5188888888888888,0.8807966981702654,0.31833932628155337,0.23799007989699933,0.34388888888888886,0.95625,1.4873451705161458,110032.03333333334,0.051991282286083636
replicator__plain_deficit,480,0.5156944444444445,0.8649211422486375,0.3217080924450725,0.2527711074853389,0.3598611111111111,0.7854166666666667,,103631.81666666667,0.04225916354286407
erv_bnn__plain_deficit,480,0.5159722222222222,0.8742318530330169,0.32401191922986355,0.25914612783751023,0.36374999999999996,0.9895833333333334,,86456.63333333333,0.0359444735411671
smith__plain_deficit,480,0.5115277777777778,0.8650526982454289,0.32710919396151994,0.24760427547305755,0.37416666666666665,0.95625,,101563.06666666667,0.04304356270683153
greedy_capacity,480,0.5329166666666666,0.785937050436935,0.33366813112513344,0.21161629071986165,0.5329166666666666,1.0,,48.0,0.0009045708318202136
random_closure,480,0.5379166666666666,0.8601638715302318,0.3471849420604747,0.22608951490236553,0.3266666666666667,1.0,,48.0,0.0007998087472515181
