family,initial_period,recent_period,initial_share,recent_share,change_percentage_points
Coalition / MRTA,<=2010,2022-2026,0.376190,0.316479,-5.971108
Transport / control,<=2010,2022-2026,0.090476,0.087079,-0.339754
Planning / routing,<=2010,2022-2026,0.028571,0.044007,1.543606
Feasibility / contact,<=2010,2022-2026,0.061905,0.087079,2.517389
Recovery / replacement,<=2010,2022-2026,0.090476,0.063670,-2.680578
Learning / RL,<=2010,2022-2026,0.014286,0.076779,6.249331
Foundational / survey,<=2010,2022-2026,0.338095,0.324906,-1.318887
