year_bin,paper_count,distributed_signal_count,distributed_signal_share,architecture_signal_count,Coalition / MRTA,Transport / control,Planning / routing,Feasibility / contact,Recovery / replacement,Learning / RL,Foundational / survey
≤1999,5,1,0.200000,1,1.000000,0.500000,0.000000,0.000000,0.500000,0.000000,3.000000
2000,1,0,0.000000,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2001,0,0,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2002,3,2,0.666667,2,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000
2003,2,2,1.000000,2,0.833333,0.333333,0.000000,0.000000,0.833333,0.000000,0.000000
2004,2,0,0.000000,0,0.500000,0.000000,0.000000,0.000000,0.500000,0.000000,1.000000
2005,4,0,0.000000,0,1.000000,0.500000,1.000000,0.500000,0.000000,0.000000,1.000000
2006,2,1,0.500000,1,1.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000
2007,3,0,0.000000,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2008,4,2,0.500000,2,2.000000,0.333333,0.000000,0.333333,0.000000,0.000000,1.333333
2009,2,1,0.500000,1,0.500000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000
2010,7,6,0.857143,6,2.333333,0.500000,0.000000,0.333333,0.333333,0.000000,3.500000
2011,6,2,0.333333,4,3.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.500000
2012,6,1,0.166667,2,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000
2013,7,1,0.142857,1,3.500000,0.000000,0.000000,0.000000,0.500000,0.000000,3.000000
2014,5,4,0.800000,4,2.500000,0.000000,0.000000,0.000000,0.500000,0.500000,1.500000
2015,10,5,0.500000,5,3.500000,0.000000,1.833333,0.500000,0.000000,0.333333,3.833333
2016,6,1,0.166667,2,2.000000,1.000000,0.000000,0.500000,0.000000,0.000000,2.500000
2017,12,5,0.416667,5,6.250000,0.000000,0.250000,0.250000,0.250000,0.000000,5.000000
2018,13,5,0.384615,5,3.000000,1.750000,1.000000,0.750000,1.750000,1.000000,3.750000
2019,16,6,0.375000,6,6.500000,0.000000,0.500000,0.000000,0.000000,3.500000,5.500000
2020,16,7,0.437500,7,7.500000,1.500000,1.333333,0.500000,0.333333,2.333333,2.500000
2021,22,15,0.681818,15,9.333333,1.000000,1.833333,0.500000,1.000000,2.333333,6.000000
2022,12,3,0.250000,3,5.000000,1.000000,0.500000,0.500000,1.000000,0.500000,3.500000
2023,16,3,0.187500,4,6.000000,1.500000,0.000000,1.500000,0.500000,0.500000,6.000000
2024,9,2,0.222222,2,2.500000,0.333333,0.333333,1.000000,0.500000,1.333333,3.000000
2025,19,8,0.421053,12,4.583333,2.916667,1.583333,0.500000,0.833333,1.083333,7.500000
2026,33,18,0.545455,20,10.083333,2.000000,1.500000,4.250000,2.833333,3.416667,8.916667
