topic,display_label,paper_count,community
SP1_coalition_allocation,SP1 · coalición,115,1
SP2_physical_transport,SP2 · transporte,15,2
SP3_planning_traffic,SP3 · tráfico,20,3
TRANSVERSAL_resilience_communication,red / resiliencia,79,1
aerial_uav,UAV,27,1
auction_market,mercado,40,1
behavior_swarm,enjambre,10,1
consensus_distributed,consenso,62,1
construction_agriculture,agro,11,1
cooperative_transport_manipulation,COT físico,14,2
evolutionary_metaheuristic,metaheurística,25,1
exact_optimization,exacta,8,1
force_impedance_control,fuerza / imp.,2,2
formation_control,formación,18,2
game_theoretic,teoría de juegos,9,1
learning_based,aprendizaje,31,3
safety_reactive,seguridad,9,3
search_rescue_exploration,rescate,33,1
underwater_marine,submarino,6,1
warehouse_logistics,almacén,18,3
