community,topic_count,topics
1,12,SP1_coalition_allocation; TRANSVERSAL_resilience_communication; aerial_uav; auction_market; behavior_swarm; consensus_distributed; construction_agriculture; evolutionary_metaheuristic; exact_optimization; game_theoretic; search_rescue_exploration; underwater_marine
2,4,SP2_physical_transport; cooperative_transport_manipulation; force_impedance_control; formation_control
3,4,SP3_planning_traffic; learning_based; safety_reactive; warehouse_logistics
