scenario,seed,n_robots,world_hash,method,stage,barrier_violation_rate,max_barrier_residual,is_executed_trajectory
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,cbf_wrench_local,RAW,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,cbf_wrench_local,SAFE,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,cbf_wrench_local,EXEC,0.0,0.0,1
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,damped_hamiltonian_raw,RAW,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,damped_hamiltonian_raw,SAFE,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,damped_hamiltonian_raw,EXEC,0.0,0.0,1
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,damped_hamiltonian_cbf,RAW,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,damped_hamiltonian_cbf,SAFE,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,damped_hamiltonian_cbf,EXEC,0.0,0.0,1
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,distributed_preview_cbf,RAW,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,distributed_preview_cbf,SAFE,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,distributed_preview_cbf,EXEC,0.0,0.0,1
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,centralized_preview_reference,RAW,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,centralized_preview_reference,SAFE,0.0,0.0,0
open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,centralized_preview_reference,EXEC,0.0,0.0,1
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,pose_pd_raw,RAW,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,pose_pd_raw,SAFE,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,pose_pd_raw,EXEC,0.0,0.0,1
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,apf_wrench_heuristic,RAW,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,apf_wrench_heuristic,SAFE,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,apf_wrench_heuristic,EXEC,0.0,0.0,1
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,velocity_obstacle_proxy,RAW,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,velocity_obstacle_proxy,SAFE,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,velocity_obstacle_proxy,EXEC,0.0,0.0,1
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,cbf_wrench_local,RAW,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,cbf_wrench_local,SAFE,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,cbf_wrench_local,EXEC,0.0,0.0,1
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,damped_hamiltonian_raw,RAW,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,damped_hamiltonian_raw,SAFE,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,damped_hamiltonian_raw,EXEC,0.0,0.0,1
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,damped_hamiltonian_cbf,RAW,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,damped_hamiltonian_cbf,SAFE,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,damped_hamiltonian_cbf,EXEC,0.0,0.0,1
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,distributed_preview_cbf,RAW,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,distributed_preview_cbf,SAFE,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,distributed_preview_cbf,EXEC,0.0,0.0,1
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,centralized_preview_reference,RAW,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,centralized_preview_reference,SAFE,0.0,0.0,0
open_nominal,573000,8,96dc944f998eb16d3fa033424d51284a7fea8765f3c89fb07f0c2d81099389d3,centralized_preview_reference,EXEC,0.0,0.0,1
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,pose_pd_raw,RAW,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,pose_pd_raw,SAFE,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,pose_pd_raw,EXEC,0.0,0.0,1
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,apf_wrench_heuristic,RAW,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,apf_wrench_heuristic,SAFE,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,apf_wrench_heuristic,EXEC,0.0,0.0,1
