check_id,check_family,method_family,method_variant,fitness_id,rounding_id,world_seed,method_seed,N,K,expected_value,observed_value,absolute_error,relative_error,tolerance,passed,runtime_wall,config_hash,git_hash,timestamp_utc
U0_matching_trivial,matching_validity,classic,HUN,,EXACT,8000,,1,1,1,1,0.0,0.0,1e-09,True,0.08020002860575914,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U1_coverage_count,metric_correctness,classic,HUN,,EXACT,8001,,2,3,2,2,0.0,0.0,1e-09,True,0.05010003224015236,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U1_coverage,metric_correctness,classic,HUN,,EXACT,8001,,2,3,1.0,1.0,0.0,0.0,1e-09,True,0.03400002606213093,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U2_two_loads_served,metric_correctness,classic,HUN,,EXACT,8002,,3,2,2,2,0.0,0.0,1e-09,True,0.0439999857917428,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U2_one_idle,metric_correctness,classic,HUN,,EXACT,8002,,3,2,1,1,0.0,0.0,1e-09,True,0.035400036722421646,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U3_QR1_may_remain_stable,qr_termination,audit,QR1,,,8003,,2,2,True,True,0.0,0.0,0.0,True,0.003300025127828121,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U3_QR2_executes_swap,qr_acceptance,audit,QR2,,,8003,,2,2,True,True,0.0,0.0,0.0,True,0.001500011421740055,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U3_QRA_not_worse_QR2,qr_termination,audit,QRA,,,8003,,2,2,True,True,0.0,0.0,0.0,True,0.001200009137392044,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U4_tie_break_deterministic,seed_reproducibility,audit,HUN,,,8004,,4,4,True,True,0.0,0.0,0.0,True,0.001800013706088066,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U4_tie_matching_valid,matching_validity,audit,HUN,,,8004,,4,4,True,True,0.0,0.0,0.0,True,0.001200009137392044,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U5_REP_support_invariant,mass_conservation,population,REP,LIN,RAW,8005,,2,2,0.0,0.0,0.0,0.0,1e-12,True,0.13129995204508305,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U5_LOG_reactivates_zero_support,mass_conservation,audit,LOG,,,8005,,2,2,True,True,0.0,0.0,0.0,True,0.002200016751885414,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U5_SMI_protocol_recorded,mass_conservation,audit,SMI,,,8005,,2,2,True,True,0.0,0.0,0.0,True,0.0009998911991715431,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U5_BNN_protocol_recorded,mass_conservation,audit,BNN,,,8005,,2,2,True,True,0.0,0.0,0.0,True,0.000800006091594696,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U7_ARG_conflict_possible,matching_validity,audit,ARG,,,8007,,3,3,True,True,0.0,0.0,0.0,True,0.002300017513334751,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U7_REPAIR_resolves_conflict,matching_validity,audit,REPAIR,,,8007,,3,3,True,True,0.0,0.0,0.0,True,0.001200009137392044,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U7_QR_resolves_conflict,matching_validity,audit,QR1,,,8007,,3,3,True,True,0.0,0.0,0.0,True,0.00100000761449337,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U8_lexicographic_coverage_dominates,metric_correctness,audit,objective,,,8008,,2,2,True,True,0.0,0.0,0.0,True,0.001900014467537403,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U6_lambda2_zero,cache_consistency,audit,graph,,,8106,,8,8,0.0,0.0,0.0,0.0,1e-09,True,0.002600019797682762,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U6_components_gt_one,cache_consistency,audit,graph,,,8106,,8,8,True,True,0.0,0.0,0.0,True,0.001300009898841381,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
U9_timeout_preserved,timeout_preservation,audit,SMI,,,8109,,8,8,True,True,0.0,0.0,0.0,True,0.002200016751885414,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_REP_simplex,simplex,population,REP,LIN,QR1,8200,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.21869991905987263,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_REP_nonnegative,non_negativity,population,REP,LIN,QR1,8200,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.19360007718205452,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_REP_mass,mass_conservation,population,REP,LIN,QR1,8200,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.1724999165162444,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_REP_potential_recorded,potential_monotonicity,audit,REP,,,8200,,6,6,True,0,1.0,1.0,0.0,True,0.001900014467537403,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_SMI_simplex,simplex,population,SMI,LIN,QR1,8201,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.19880000036209822,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_SMI_nonnegative,non_negativity,population,SMI,LIN,QR1,8201,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.17309992108494043,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_SMI_mass,mass_conservation,population,SMI,LIN,QR1,8201,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.16600009985268116,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_SMI_potential_recorded,potential_monotonicity,audit,SMI,,,8201,,6,6,True,0,1.0,1.0,0.0,True,0.001900014467537403,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_BNN_simplex,simplex,population,BNN,LIN,QR1,8202,,6,6,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.00011102230246251565,1e-06,True,0.22110005374997854,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_BNN_nonnegative,non_negativity,population,BNN,LIN,QR1,8202,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.19639998208731413,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_BNN_mass,mass_conservation,population,BNN,LIN,QR1,8202,,6,6,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.00011102230246251565,1e-06,True,0.1898000482469797,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_BNN_potential_recorded,potential_monotonicity,audit,BNN,,,8202,,6,6,True,0,1.0,1.0,0.0,True,0.002100015990436077,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_LOG_simplex,simplex,population,LOG,LIN,QR1,8203,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.21359999664127827,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_LOG_nonnegative,non_negativity,population,LOG,LIN,QR1,8203,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.1846000086516142,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_LOG_mass,mass_conservation,population,LOG,LIN,QR1,8203,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.16930000856518745,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_LOG_potential_recorded,potential_monotonicity,audit,LOG,,,8203,,6,6,True,0,1.0,1.0,0.0,True,0.001900014467537403,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_PROJ_simplex,simplex,population,PROJ,LIN,QR1,8204,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.21570001263171434,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_PROJ_nonnegative,non_negativity,population,PROJ,LIN,QR1,8204,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.17809995915740728,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_PROJ_mass,mass_conservation,population,PROJ,LIN,QR1,8204,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.1713000237941742,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
G3_PROJ_potential_recorded,potential_monotonicity,audit,PROJ,,,8204,,6,6,True,0,1.0,1.0,0.0,True,0.001900014467537403,f3244aff263a5aae,72418e13f1be,2026-07-11T01:29:06.468321+00:00
