scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,arrival_success_rate_mean,timeout_rate_mean,mean_arrival_time_s_mean,max_arrival_time_s_mean,travel_distance_m_mean,mean_path_length_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,mean_clearance_m_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,congestion_delay_s_mean,communication_messages_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean,arrived_robots_mean,timed_out_robots_mean
crossing_traffic,bnn_motion_field,BNN/Brown motion field,model_based,decentralized,baseline,brown_bnn_positive_excess_field,sp4_population_motion_family,none,distributed_bnn_positive_excess_motion_field,local_positive_excess_neighbor_scores,0,6,False,False,2,1.0,0.0,24.47,30.0,91.57760767843503,15.262934613072504,1.0215892177510004,717.9004485692606,25.0,0.014619883040935672,33.5,-0.3591091973654622,18.0,12.244120915193154,0.4462846378091378,0.6747928294658452,0.0,3.017525927038259,8520.0,50.51510001067072,18.434202526806068,39.00687229625631,-20.572669769450243,0.03428778294908374,0.03428778294908374,6.0,0.0
crossing_traffic,cbf_safety_filter,CBF safety filter,sota,centralized,baseline,cbf_velocity_projection_proxy,sp4_motion_sota_proxy,none,centralized_cbf_velocity_projection_proxy,global_relative_state,0,6,False,False,2,0.8333333333333334,0.16666666666666666,23.928,28.56,104.33641389977646,17.38940231662941,0.8977220892791831,818.0363048458653,10.5,0.0061403508771929825,15.0,-0.2744284668233247,18.0,12.177948070402973,0.5084620560417955,0.7375642554626679,0.0,4.154192593704925,8520.0,56.58915004460141,3.991450454994035,39.00687229625631,-35.015421841262274,0.05835903640210379,0.05835903640210379,5.0,1.0
crossing_traffic,direct_to_target,Direct to target,classic,decentralized,baseline,direct_single_integrator,sp4_motion_baseline,none,local_target_feedback,none,0,0,False,False,2,1.0,0.0,21.089999999999996,25.799999999999997,91.68450999904638,15.280751666507731,1.020397309276507,718.9960624789277,21.0,0.012280701754385965,30.0,-0.3566588010578363,18.0,12.486195697821636,0.4468056042838522,0.784642824960285,1.6653345369377348e-16,0.0,8520.0,13.137050031218678,29.4217629648942,39.00687229625631,-9.585109331362112,0.015975182218936856,0.015975182218936856,6.0,0.0
crossing_traffic,logit_motion_field,Logit motion field,model_based,decentralized,baseline,logit_softmax_motion_field,sp4_population_motion_family,none,distributed_logit_smoothed_motion_field,local_softmax_flow_scores,0,6,False,False,2,1.0,0.0,23.939999999999998,29.339999999999996,91.59340468916145,15.265567448193575,1.0214119866297446,718.0459648825945,24.5,0.01432748538011696,32.0,-0.3583309427159738,18.0,12.28311401371603,0.44636162129220996,0.6904856859650509,0.0,2.4875259270382584,8520.0,47.713000036310405,19.97902640727783,39.00687229625631,-19.027845888978483,0.03171307648163081,0.03171307648163081,6.0,0.0
crossing_traffic,pid_safety_motion,PID safety motion,model_based,decentralized,proposed,pid_damped_safety_motion,sp4_motion_proposed,none,distributed_pid_damped_safety_feedback,local_target_error_and_clearance,0,5,False,False,2,0.75,0.25,27.057000000000002,30.299999999999997,102.65404475981572,17.109007459969288,0.9127671631683114,807.1272567864612,13.5,0.007894736842105263,18.0,-0.26422216881316235,18.0,11.85909319306625,0.5002633760224952,0.6434071164674338,0.0,7.417525927038259,8520.0,63.86505003320053,-19.54453083607671,39.00687229625631,-58.55140313233302,0.09758567188722171,0.09758567188722171,4.5,1.5
crossing_traffic,primal_dual_motion_field,Primal-dual motion field,model_based,decentralized,proposed,primal_dual_barrier_motion_field,sp4_motion_proposed,none,distributed_primal_dual_barrier_motion_field,local_barrier_dual_prices,0,7,False,False,2,0.8333333333333334,0.16666666666666666,25.008,30.6,103.62372233538892,17.270620389231485,0.9036780504706683,813.4175707719912,13.0,0.00760233918128655,16.0,-0.2957280761497044,18.0,12.054864827282724,0.5049889002699269,0.7061785424642566,0.0,5.054192593704926,8520.0,76.78530004341155,-0.7543419899265338,39.00687229625631,-39.76121428618284,0.0662686904769714,0.0662686904769714,5.0,1.0
crossing_traffic,priority_yield,Priority yield,classic,centralized,baseline,priority_release_yield,sp4_motion_baseline,none,centralized_priority_schedule,global_priority_order,0,2,False,False,2,1.0,0.0,23.57,28.68,91.92084576467013,15.320140960778357,1.0177743199363858,720.7117805905864,34.5,0.02017543859649123,41.0,-0.35951738192021,18.0,12.358883554777332,0.4479573380344555,0.7218713989634623,0.0,2.1175259270382583,8520.0,22.30065007461235,6.437243494287756,39.00687229625631,-32.569628801968555,0.05428271466994759,0.05428271466994759,6.0,0.0
crossing_traffic,reference_time_expanded_cbf,Reference time-expanded CBF,model_based_reference,centralized,reference,time_expanded_safe_cbf_reference,sp4_motion_reference,none,centralized_time_expanded_cbf_reference,global_state_and_release_schedule,0,8,False,False,2,1.0,0.0,24.9,30.54,102.50521310939291,17.08420218489882,0.9128310158776891,807.5665030203561,7.5,0.0043859649122807015,18.5,-0.22951440871890677,18.0,12.213873792794601,0.49953807558183616,0.7532571119618736,0.0,3.4475259270382583,8520.0,61.94265000522137,39.00687229625631,39.00687229625631,0.0,0.0,0.0,6.0,0.0
crossing_traffic,replicator_motion_field,Replicator motion field,model_based,decentralized,baseline,replicator_target_congestion_field,sp4_population_motion_family,none,distributed_replicator_motion_field,local_target_obstacle_neighbor_scores,0,5,False,False,2,1.0,0.0,22.89,28.08,91.57674332785213,15.26279055464202,1.0215988148175503,717.9773785065636,23.5,0.013742690058479532,29.5,-0.35591636861618803,18.0,12.35461320944118,0.44628042557432823,0.7218713989634623,0.0,1.4375259270382585,8520.0,45.73065001750365,23.066886542456007,39.00687229625631,-15.939985753800304,0.026566642923000504,0.026566642923000504,6.0,0.0
crossing_traffic,smith_motion_field,Smith-QR motion field,model_based,decentralized,proposed,smith_qr_congestion_field,sp4_motion_proposed,none,distributed_smith_qr_motion_field,local_congestion_price_neighbors,0,6,False,False,2,0.9166666666666667,0.08333333333333333,24.836,29.52,104.57302169566898,17.428836949278164,0.8951174465825427,824.5171644165271,17.5,0.01023391812865497,20.5,-0.3308168382476902,18.0,12.12411046851596,0.5096151154759702,0.7375642554626679,0.0,4.180859260371593,8520.0,71.56625000061467,8.590693407348954,39.00687229625631,-30.416178888907357,0.050693631481512264,0.050693631481512264,5.5,0.5
crossing_traffic,tensor_flow_motion_field,Smooth tensor-flow motion,model_based,decentralized,proposed,smooth_tensor_flow_barrier_motion,sp4_motion_proposed,none,distributed_smooth_tensor_flow_motion_field,local_anisotropic_clearance_tensor,0,8,False,False,2,0.9166666666666667,0.08333333333333333,26.535999999999998,31.979999999999997,104.23720205975943,17.372867009959904,0.8990930049095427,821.2016971735304,12.5,0.007309941520467836,14.5,-0.18854819268050782,18.0,12.023977511583146,0.5079785675426873,0.6904856859650509,0.0,5.770859260371592,8520.0,83.0827999743633,13.171272259328148,39.00687229625631,-25.835600036928163,0.04305933339488027,0.04305933339488027,5.5,0.5
narrow_passage,bnn_motion_field,BNN/Brown motion field,model_based,decentralized,baseline,brown_bnn_positive_excess_field,sp4_population_motion_family,none,distributed_bnn_positive_excess_motion_field,local_positive_excess_neighbor_scores,0,6,False,False,2,1.0,0.0,26.55,32.879999999999995,96.33277897553583,16.055463162589305,1.0111156487322184,701.7462126675401,304.5,0.16860465116279072,393.0,-0.35859948774790784,-0.5103327007708534,3.2910032263172866,0.44450340981697917,0.6654343165736235,0.0,3.5081964772652237,9000.0,80.06134995957837,-355.34183629199094,-159.30093789344483,-196.04089839854615,0.3267348306642436,0.3267348306642436,6.0,0.0
narrow_passage,cbf_safety_filter,CBF safety filter,sota,centralized,baseline,cbf_velocity_projection_proxy,sp4_motion_sota_proxy,none,centralized_cbf_velocity_projection_proxy,global_relative_state,0,6,False,False,2,0.6666666666666666,0.3333333333333333,32.55,35.34,130.66693961870223,21.777823269783703,0.7454983998747432,957.4853015446389,44.5,0.024640088593576966,120.0,0.08060642828533027,-0.13585687171236038,3.596545798404367,0.6029297693738572,0.7273351832316348,0.0,10.658196477265223,9000.0,97.3380499635823,-89.71112568947893,-159.30093789344483,69.58981220396588,0.00012992375580459737,0.00012992375580459737,4.0,2.0
narrow_passage,direct_to_target,Direct to target,classic,decentralized,baseline,direct_single_integrator,sp4_motion_baseline,none,local_target_feedback,none,0,0,False,False,2,1.0,0.0,22.650000000000002,27.96,95.51236581692999,15.918727636154996,1.0197996830424203,696.2786775656991,253.0,0.14008859357696568,334.0,-0.3692528273569998,-0.7929780692021655,3.568676307056023,0.4407178193841358,0.7737608332251436,2.220446049250313e-16,0.0,9000.0,14.905049989465624,-280.42813184009924,-159.30093789344483,-121.12719394665439,0.20187865657775733,0.20187865657775733,6.0,0.0
narrow_passage,logit_motion_field,Logit motion field,model_based,decentralized,baseline,logit_softmax_motion_field,sp4_population_motion_family,none,distributed_logit_smoothed_motion_field,local_softmax_flow_scores,0,6,False,False,2,1.0,0.0,25.92,32.1,96.16044371052655,16.026740618421094,1.0129272429100693,700.5289099309734,313.5,0.17358803986710963,394.0,-0.36867711690395577,-0.4722100602733813,3.337795302581373,0.443708212027162,0.6809095332381263,0.0,2.8781964772652238,9000.0,69.97055001556873,-366.2438823966887,-159.30093789344483,-206.94294450324387,0.3449049075054064,0.3449049075054064,6.0,0.0
narrow_passage,pid_safety_motion,PID safety motion,model_based,decentralized,proposed,pid_damped_safety_motion,sp4_motion_proposed,none,distributed_pid_damped_safety_feedback,local_target_error_and_clearance,0,5,False,False,2,0.0,1.0,36.0,36.0,120.10680652476665,20.01780108746111,0.8109797309464997,884.7440841542405,29.5,0.016334440753045402,105.5,0.1547651333735262,-0.3089723979643979,3.3241092986175307,0.5542026879142059,0.6344838832446176,0.0,12.958196477265222,9000.0,124.1793500375934,-187.07359608430005,-159.30093789344483,-27.772658190855218,0.07939529571480933,0.07939529571480933,0.0,6.0
narrow_passage,primal_dual_motion_field,Primal-dual motion field,model_based,decentralized,proposed,primal_dual_barrier_motion_field,sp4_motion_proposed,none,distributed_primal_dual_barrier_motion_field,local_barrier_dual_prices,0,7,False,False,2,0.5833333333333333,0.41666666666666663,33.959999999999994,35.519999999999996,129.0684090173064,21.511401502884404,0.7547031873539207,953.4280891730175,15.5,0.00858250276854928,68.5,0.1555290081164133,-0.18719778168415757,3.698694614191526,0.5955537514641309,0.6963847499026292,0.0,11.72819647726522,9000.0,141.38354995520785,-67.07600418672254,-159.30093789344483,92.22493370672228,0.0,0.0,3.5,2.5
narrow_passage,priority_yield,Priority yield,classic,centralized,baseline,priority_release_yield,sp4_motion_baseline,none,centralized_priority_schedule,global_priority_order,0,2,False,False,2,1.0,0.0,25.310000000000002,31.619999999999997,95.87021445434314,15.978369075723856,1.0159941678581204,699.1346910405957,276.0,0.15282392026578073,343.0,-0.44813016169777,-0.7963793534997885,3.4450284778978286,0.4423690220300076,0.7118599665671321,0.0,2.2681964772652243,9000.0,24.333199951797724,-315.3562027282352,-159.30093789344483,-156.0552648347904,0.260092108057984,0.260092108057984,6.0,0.0
narrow_passage,reference_time_expanded_cbf,Reference time-expanded CBF,model_based_reference,centralized,reference,time_expanded_safe_cbf_reference,sp4_motion_reference,none,centralized_time_expanded_cbf_reference,global_state_and_release_schedule,0,8,False,False,2,0.5833333333333334,0.41666666666666663,34.218,35.34,137.14547107054676,22.857578511757794,0.7104230253695565,1013.7264268998733,83.0,0.04595791805094131,131.0,0.10080650757356485,-0.5465281061402459,3.244728763341347,0.632823325353205,0.742810399896138,0.0,11.818196477265225,9000.0,124.9748999834992,-159.30093789344483,-159.30093789344483,0.0,0.0,0.0,3.5,2.5
narrow_passage,replicator_motion_field,Replicator motion field,model_based,decentralized,baseline,replicator_target_congestion_field,sp4_population_motion_family,none,distributed_replicator_motion_field,local_target_obstacle_neighbor_scores,0,5,False,False,2,1.0,0.0,24.71,30.599999999999998,95.88185801495051,15.980309669158418,1.0158701033302808,698.620503677816,313.5,0.17358803986710963,392.0,-0.38390582906924586,-0.5000244807448851,3.418870275284858,0.44242274831557116,0.7118599665671321,0.0,1.6681964772652238,9000.0,69.49590001022443,-364.22750948113037,-159.30093789344483,-204.92657158768557,0.34154428597947595,0.34154428597947595,6.0,0.0
narrow_passage,smith_motion_field,Smith-QR motion field,model_based,decentralized,proposed,smith_qr_congestion_field,sp4_motion_proposed,none,distributed_smith_qr_motion_field,local_congestion_price_neighbors,0,6,False,False,2,0.41666666666666663,0.5833333333333333,32.41,33.9,134.01682799457512,22.336137999095854,0.7268074595620837,987.8719284552872,3.5,0.001937984496124031,60.5,0.13647462784404468,0.029526452049145058,3.6378067002654433,0.6183869877933521,0.7273351832316348,0.0,11.518196477265224,9000.0,125.307550013531,-81.39291756739041,-159.30093789344483,77.90802032605441,0.01227746454468176,0.01227746454468176,2.5,3.5
narrow_passage,tensor_flow_motion_field,Smooth tensor-flow motion,model_based,decentralized,proposed,smooth_tensor_flow_barrier_motion,sp4_motion_proposed,none,distributed_smooth_tensor_flow_motion_field,local_anisotropic_clearance_tensor,0,8,False,False,2,0.5,0.5,33.46,34.26,127.14928356773733,21.191547261289557,0.7660655004089105,938.5651770254615,17.5,0.009689922480620155,54.0,0.17955426537239366,-0.2965014564298262,3.67859029361986,0.5866984291608406,0.6809095332381263,0.0,11.688196477265224,9000.0,163.0970000405796,-83.6823081086452,-159.30093789344483,75.61862978479962,0.017531559908257145,0.017531559908257145,3.0,3.0
open_field_arrival,bnn_motion_field,BNN/Brown motion field,model_based,decentralized,baseline,brown_bnn_positive_excess_field,sp4_population_motion_family,none,distributed_bnn_positive_excess_motion_field,local_positive_excess_neighbor_scores,0,6,False,False,2,0.9166666666666667,0.08333333333333333,19.79,21.0,75.47074904380679,12.5784581739678,1.0258073733371944,591.5385897117702,0.0,0.0,0.0,1.6505812966238589,18.0,11.430093665684687,0.521494949169478,0.6747928294658452,0.0,2.419863439802655,6000.0,37.44350001215935,50.721715979911465,68.34403848721107,-17.622322507299593,0.02937053751216599,0.02937053751216599,5.5,0.5
open_field_arrival,cbf_safety_filter,CBF safety filter,sota,centralized,baseline,cbf_velocity_projection_proxy,sp4_motion_sota_proxy,none,centralized_cbf_velocity_projection_proxy,global_relative_state,0,6,False,False,2,1.0,0.0,18.39,20.46,75.46263022024678,12.577105036707797,1.0259153936485532,591.654364924978,0.0,0.0,0.0,1.6505091946074721,18.0,11.427672227892646,0.5214388489514012,0.7375642554626679,0.0,0.6998634398026553,6000.0,37.73094998905435,68.05767770229593,68.34403848721107,-0.28636078491513217,0.00047726797485855366,0.00047726797485855366,6.0,0.0
