method,n_robots,n_loads,recourse_robot_changes_n,recourse_robot_changes_mean,recourse_robot_changes_median,recourse_robot_changes_p05,recourse_robot_changes_p95,served_load_rate_n,served_load_rate_mean,served_load_rate_median,served_load_rate_p05,served_load_rate_p95,lost_served_value_n,lost_served_value_mean,lost_served_value_median,lost_served_value_p05,lost_served_value_p95
capacity_cbba_scalar,12,3,50,8.9,9.0,5.0,11.0,50,0.07333333333333333,0.0,0.0,0.3333333333333333,50,0.0,0.0,0.0,0.0
capacity_cbba_scalar,32,8,50,26.66,27.0,23.45,30.0,50,0.1175,0.125,0.0,0.25,50,0.0,0.0,0.0,0.0
capacity_cbba_scalar,64,16,50,55.38,56.0,48.45,60.55,50,0.1325,0.125,0.0,0.31874999999999964,50,0.0,0.0,0.0,0.0
geo_qpg_logit_physical,12,3,50,7.38,8.0,4.0,10.0,50,0.07333333333333333,0.0,0.0,0.3333333333333333,50,0.0,0.0,0.0,0.0
geo_qpg_logit_physical,32,8,50,18.48,18.5,12.45,23.549999999999997,50,0.1175,0.125,0.0,0.25,50,0.0,0.0,0.0,0.0
geo_qpg_logit_physical,64,16,50,35.16,36.0,25.0,45.0,50,0.13,0.125,0.0,0.2843749999999998,50,0.0,0.0,0.0,0.0
