method,n_robots,n_loads,runtime_total_ms_n,runtime_total_ms_mean,runtime_total_ms_median,runtime_total_ms_p05,runtime_total_ms_p95,bytes_n,bytes_mean,bytes_median,bytes_p05,bytes_p95
capacity_cbba_scalar,12,3,300,71.49096800557648,55.48774998169392,18.55562493437901,173.46073501394133,300,29852.8,25920.0,12480.0,61920.0
capacity_cbba_scalar,32,8,300,550.9347519980898,377.590499992948,146.14884488401003,1510.5371400946751,300,336371.73333333334,282800.0,197900.0,708600.0000000001
capacity_cbba_scalar,64,16,300,2556.681971663687,2256.712950009387,439.3067099910695,6464.048324903708,300,1534062.1333333333,1265600.0,890848.0,3185824.0
geo_qpg_logit_physical,12,3,300,290.86108500448364,280.3298500366509,208.83710502530448,400.7934998953715,300,1416711.68,1552224.0,531024.0,1828224.0
geo_qpg_logit_physical,32,8,300,1457.0661926676985,1293.5315999784507,918.2277900050394,2417.4781849898864,300,9696291.52,10367616.0,3914304.0,12589248.0
geo_qpg_logit_physical,64,16,300,5520.09465733737,5263.448349956889,3204.4892798701767,9260.271290072706,300,38040960.96,40755456.0,16011072.0,49072896.0
geo_qpg_smith_physical,12,3,300,533.7689690066812,531.988300033845,411.4343400578946,663.7639102060349,300,3042624.0,3356160.0,1148160.0,3974400.0
geo_qpg_smith_physical,32,8,300,2451.660915002382,2352.7597999200225,1746.088494983269,3442.9106600058735,300,20413030.4,22049280.0,8463360.0,26503680.0
geo_qpg_smith_physical,64,16,300,8745.81802166494,8381.897099898197,6309.87755486276,12725.27252994478,300,79513267.2,85363200.0,33707520.0,102895488.0
pair_role_grape_s_physical,12,3,300,126.27798133762553,117.57885001134127,41.636805003508925,236.68483984656638,300,22193.6,26112.0,6710.400000000001,30720.0
pair_role_grape_s_physical,32,8,300,917.5119693247447,775.9807000402361,380.10943994740956,1977.2171298449393,300,70314.24,76032.0,29184.0,91392.0
pair_role_grape_s_physical,64,16,300,4016.060478326399,3831.530150026083,1908.0217299226206,7768.156234984056,300,139496.96,149760.0,59136.0,180518.40000000002
qpg_logit_scalar,12,3,300,292.98761133492616,282.1780000231229,208.6766501015518,407.4909300426953,300,313933.6,346320.0,118560.0,399684.0
qpg_logit_scalar,32,8,300,1571.2038263383631,1443.1844000937417,989.4124349812046,2610.9298350464087,300,1839188.8,1824000.0,693120.0,3611520.0000000005
qpg_logit_scalar,64,16,300,6256.211559001822,6039.175849989988,3479.4038250343874,10504.110144940207,300,7352775.36,6570720.0,2628201.6,13550976.0
