family,method,n_robots,false_positive_given_committed_n,false_positive_given_committed_mean,false_positive_given_committed_median,false_positive_given_committed_p05,false_positive_given_committed_p95,served_load_rate_n,served_load_rate_mean,served_load_rate_median,served_load_rate_p05,served_load_rate_p95,physical_welfare_n,physical_welfare_mean,physical_welfare_median,physical_welfare_p05,physical_welfare_p95
F3_torque_complementarity,geo_qpg_logit_physical,12,50,0.98,1.0,1.0,1.0,50,0.013333333333333332,0.0,0.0,0.0,50,-0.7755770481884378,-0.7976673614853804,-1.4418992989465915,-0.2242237461765179
F3_torque_complementarity,geo_qpg_logit_physical,32,50,0.9864761904761905,1.0,0.9214285714285715,1.0,50,0.0075,0.0,0.0,0.06874999999999964,50,-1.6542724946950875,-1.7614754077674384,-2.75889828967469,-0.2521565192200664
F3_torque_complementarity,geo_qpg_logit_physical,64,50,0.9966666666666667,1.0,1.0,1.0,50,0.00125,0.0,0.0,0.0,50,-2.801770828362592,-2.7564765811391743,-4.504580073110712,-1.3685944567363166
F3_torque_complementarity,qpg_logit_scalar,12,50,0.97,1.0,0.6666666666666666,1.0,50,0.026666666666666665,0.0,0.0,0.3333333333333333,50,-0.8677879577789009,-0.9717973727896951,-1.5045900726534958,0.451620436115485
F3_torque_complementarity,qpg_logit_scalar,32,50,0.9858333333333333,1.0,0.8520833333333334,1.0,50,0.01,0.0,0.0,0.125,50,-2.3160947479546943,-2.3725900410546146,-3.4173934041225,-0.9402330061960397
F3_torque_complementarity,qpg_logit_scalar,64,50,0.9832691197691197,1.0,0.88125,1.0,50,0.00875,0.0,0.0,0.0625,50,-4.437173917267607,-4.405781381902384,-6.2146450961980015,-2.0482188059500666
F4_mixed_geometry_route,geo_qpg_logit_physical,12,50,1.0,1.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,-0.8498455798193204,-0.8303116391610623,-1.317629681448591,-0.4652032094363129
F4_mixed_geometry_route,geo_qpg_logit_physical,32,50,1.0,1.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,-1.8903947699018488,-1.8725999884966584,-2.7234337382429645,-1.119433808341946
F4_mixed_geometry_route,geo_qpg_logit_physical,64,50,1.0,1.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,-3.3566164436723978,-3.343538235676753,-4.998329683886782,-2.0939576901303822
F4_mixed_geometry_route,qpg_logit_scalar,12,50,1.0,1.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,-0.8915599267284429,-0.9097518698486933,-1.2957175925887716,-0.5016437319911567
F4_mixed_geometry_route,qpg_logit_scalar,32,50,1.0,1.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,-2.644029671241446,-2.558404973031445,-3.3197362998784756,-2.0454566588685874
F4_mixed_geometry_route,qpg_logit_scalar,64,50,1.0,1.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,-5.224552581732265,-5.175449027736667,-6.389066410588362,-3.9534432764542435
