family,n_robots,n_loads,optimality_gap_vs_certified_milp_n,optimality_gap_vs_certified_milp_mean,optimality_gap_vs_certified_milp_median,optimality_gap_vs_certified_milp_p05,optimality_gap_vs_certified_milp_p95
F0_easy_separable,12,3,50,0.031352430966527456,0.02655901096262745,0.004236533458906294,0.07862326611738372
F0_easy_separable,32,8,50,0.033486020909235296,0.033307397078168544,0.012098442107980525,0.05188597938541901
F1_heterogeneous_critical,12,3,13,0.01780689966774429,0.013728476594448303,0.0,0.05251385098321612
F1_heterogeneous_critical,32,8,30,0.07709777340806752,0.006837303513811679,0.0,0.35214209511735617
F2_scarce_priority,12,3,3,0.005021391525401586,0.007075124531814788,0.0007075124531814789,0.007897657493132452
F2_scarce_priority,32,8,18,0.014330387939575116,0.012512261672089374,0.0,0.045239685986092154
F3_torque_complementarity,12,3,36,0.053537902304366634,0.0,0.0,0.3031497682203692
F3_torque_complementarity,32,8,45,0.005375988708883866,0.0,0.0,0.0
F4_mixed_geometry_route,12,3,9,0.12838854222667534,0.01733645422869662,0.0,0.6322614650520928
F4_mixed_geometry_route,32,8,28,0.11298708158667196,0.0007132904263527547,0.0,0.8552196287741812
F5_network_failure,12,3,7,0.0016365170259822184,0.0,0.0,0.004628437442963228
F5_network_failure,32,8,26,0.02338081991843189,0.0,0.0,0.06854668298636747
