closure_stage,n_robots,n_loads,physical_feasible_float_n,physical_feasible_float_mean,physical_feasible_float_median,physical_feasible_float_p05,physical_feasible_float_p95,served_load_rate_n,served_load_rate_mean,served_load_rate_median,served_load_rate_p05,served_load_rate_p95,robots_changed_by_recovery_n,robots_changed_by_recovery_mean,robots_changed_by_recovery_median,robots_changed_by_recovery_p05,robots_changed_by_recovery_p95
CERTIFIED,12,3,300,0.006666666666666667,0.0,0.0,0.0,300,0.0022222222222222222,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0
CERTIFIED,32,8,300,0.01,0.0,0.0,0.0,300,0.00125,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0
CERTIFIED,64,16,300,0.0033333333333333335,0.0,0.0,0.0,300,0.00020833333333333335,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0
RAW,12,3,300,0.0,0.0,0.0,0.0,300,0.0022222222222222222,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0
RAW,32,8,300,0.0,0.0,0.0,0.0,300,0.00125,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0
RAW,64,16,300,0.0,0.0,0.0,0.0,300,0.00020833333333333335,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0
RECOVERED,12,3,300,0.47333333333333333,0.0,0.0,1.0,300,0.3055555555555555,0.0,0.0,1.0,300,8.483333333333333,9.0,5.0,11.0
RECOVERED,32,8,300,0.7333333333333333,1.0,0.0,1.0,300,0.335,0.125,0.0,1.0,300,22.12,22.0,13.0,30.0
RECOVERED,64,16,300,0.8866666666666667,1.0,0.0,1.0,300,0.33770833333333333,0.125,0.0,1.0,300,43.983333333333334,43.0,27.950000000000003,59.05000000000001
