family,method,served_load_rate_n,served_load_rate_mean,served_load_rate_median,served_load_rate_p05,served_load_rate_p95,welfare_per_load_n,welfare_per_load_mean,welfare_per_load_median,welfare_per_load_p05,welfare_per_load_p95
F0_easy_separable,capacity_cbba_scalar,150,0.9983333333333333,1.0,1.0,1.0,150,1.6150983484103327,1.6384324911420867,1.1921365404157622,1.998566744337794
F0_easy_separable,geo_qpg_logit_physical,150,0.9983333333333333,1.0,1.0,1.0,150,1.6150983484103327,1.6384324911420867,1.1921365404157622,1.998566744337794
F0_easy_separable,pair_role_grape_s_physical,150,0.99875,1.0,1.0,1.0,150,1.6273904453305488,1.6526584066134018,1.1933725517720593,2.0296653455193936
F1_heterogeneous_critical,capacity_cbba_scalar,150,0.12513888888888888,0.125,0.0,0.3333333333333333,150,0.20172218011360482,0.1762580768632201,0.0,0.5859807817350636
F1_heterogeneous_critical,geo_qpg_logit_physical,150,0.12472222222222222,0.125,0.0,0.3333333333333333,150,0.20312502322089204,0.1726178350528209,0.0,0.6019760586703737
F1_heterogeneous_critical,pair_role_grape_s_physical,150,0.12513888888888888,0.125,0.0,0.3333333333333333,150,0.20348534056256495,0.1726178350528209,0.0,0.6019760586703737
F2_scarce_priority,capacity_cbba_scalar,150,0.05583333333333333,0.0,0.0,0.25,150,0.13567504291700733,0.0,0.0,0.6048179718595424
F2_scarce_priority,geo_qpg_logit_physical,150,0.05583333333333333,0.0,0.0,0.25,150,0.13695931057184646,0.0,0.0,0.6090291301631218
F2_scarce_priority,pair_role_grape_s_physical,150,0.05583333333333333,0.0,0.0,0.25,150,0.13676131115116494,0.0,0.0,0.6097716118078502
F3_torque_complementarity,capacity_cbba_scalar,150,0.5884722222222222,0.625,0.3333333333333333,0.75,150,0.8878112756525754,0.9288084852368146,0.37687869243169225,1.3632937671104588
F3_torque_complementarity,geo_qpg_logit_physical,150,0.5773611111111111,0.625,0.3333333333333333,0.75,150,0.8950659079333605,0.8878896344453293,0.42030886756129504,1.3814796676150782
F3_torque_complementarity,pair_role_grape_s_physical,150,0.5906944444444444,0.625,0.3333333333333333,0.75,150,0.8922187822470005,0.9183929273694709,0.42030886756129504,1.3400811481699155
F4_mixed_geometry_route,capacity_cbba_scalar,150,0.09375,0.0625,0.0,0.3333333333333333,150,0.1332106886957024,0.0748137162521787,0.0,0.48332605329217493
F4_mixed_geometry_route,geo_qpg_logit_physical,150,0.09333333333333334,0.0625,0.0,0.3333333333333333,150,0.13438831729310372,0.0748137162521787,0.0,0.4998921456970007
F4_mixed_geometry_route,pair_role_grape_s_physical,150,0.09375,0.0625,0.0,0.3333333333333333,150,0.13449549344366848,0.0748137162521787,0.0,0.4998921456970007
F5_network_failure,capacity_cbba_scalar,150,0.10777777777777776,0.125,0.0,0.3333333333333333,150,0.16158082789814643,0.12995162287586282,0.0,0.51388171790952
F5_network_failure,geo_qpg_logit_physical,150,0.10694444444444443,0.125,0.0,0.3333333333333333,150,0.16266446454389824,0.12995162287586282,0.0,0.518425143970963
F5_network_failure,pair_role_grape_s_physical,150,0.10694444444444443,0.125,0.0,0.3333333333333333,150,0.1624160956517213,0.12810011295707113,0.0,0.5215638233009517
