method,iteration,normalized_progress_n,normalized_progress_mean,normalized_progress_median,normalized_progress_p05,normalized_progress_p95,max_change_n,max_change_mean,max_change_median,max_change_p05,max_change_p95
geo_qpg_logit_physical,1.0,900,0.0,0.0,0.0,0.0,900,0.17223807878172917,0.19118004103959424,0.10896328357401847,0.2180967464968873
geo_qpg_logit_physical,10.0,900,0.9870221938623912,0.9876464061734938,0.976524215018653,0.9921505128987934,900,0.010231082780248708,0.010510496810559239,0.008445640457110236,0.011184143982839451
geo_qpg_logit_physical,20.0,900,0.999774572554775,0.9997800306217584,0.9996225125186392,0.9999038353225247,900,0.0008015083329326713,0.000812714789665929,0.0006036026640988429,0.000897645461756963
geo_qpg_logit_physical,30.0,900,0.999999910021535,1.0,1.0,1.0,900,9.336595965823199e-05,6.411573313656535e-05,4.5859788778827155e-05,7.299979186719706e-05
geo_qpg_logit_physical,40.0,12,1.0000007117871081,1.0,0.9999993076356166,1.000004525652258,12,0.0023219504034842973,9.696030323691485e-06,8.011866246832034e-06,0.012492824872874939
geo_qpg_logit_physical,50.0,4,1.0000013071284386,1.0,0.9999999691990021,1.0000044750376889,4,0.006881333387957565,0.00013419566051389026,1.9575853334873745e-05,0.02318908374100139
geo_qpg_logit_physical,60.0,2,1.0000012653190384,1.0000012653190384,1.0000001243002812,1.0000024063377957,2,0.013689791807730566,0.013689791807730566,0.001496561917950096,0.025883021697511034
geo_qpg_logit_physical,70.0,2,1.000000464589347,1.000000464589347,1.0000000463115366,1.0000008828671576,2,0.013659777629809862,0.013659777629809862,0.0014395353844212,0.025880019875198522
geo_qpg_logit_physical,80.0,2,1.0,1.0,1.0,1.0,2,0.013642477222083445,0.013642477222083445,0.001406664554367278,0.02587828988979961
geo_qpg_smith_physical,1.0,900,0.0,0.0,0.0,0.0,900,0.04863007753369154,0.04226974982867282,0.010775362987117027,0.1084256812066518
geo_qpg_smith_physical,10.0,900,0.6506106431596836,0.6535839189918373,0.390899191709428,0.926257982665272,900,0.010707773273552535,0.011179779881947877,0.006206264436128361,0.013882204838788598
geo_qpg_smith_physical,20.0,900,0.8467935326669942,0.856323281097147,0.6130178163897915,1.1095705562032585,900,0.005759891707353916,0.0058004864074893275,0.00427090674788341,0.007026288603688514
geo_qpg_smith_physical,30.0,900,0.9320650829622259,0.9399380761440165,0.7478127553413617,1.1452510420200452,900,0.003848735119677319,0.0038053585007755547,0.003015746254529676,0.0048007200097835824
geo_qpg_smith_physical,40.0,900,0.973986608035673,0.9789312109021635,0.8366661112726163,1.1414164969670741,900,0.0028463982137526076,0.002807293556258375,0.002232790971204991,0.003549301679650034
geo_qpg_smith_physical,50.0,900,0.994386106570893,0.9964536733146374,0.9000980271663351,1.1146962377772587,900,0.0022361065789715637,0.0022025385041342105,0.0017246151867630927,0.002804954868658109
geo_qpg_smith_physical,60.0,900,1.0026966400113737,1.003435777666508,0.944859523135662,1.07937401417295,900,0.0018302388386285358,0.0018014109301397949,0.001382802168521865,0.002304324707539548
geo_qpg_smith_physical,70.0,900,1.0036811625359998,1.0037165923774107,0.976736105854089,1.0401773861750225,900,0.0015420881579443128,0.0015258184815699419,0.0011579941280883612,0.0019444273432244973
geo_qpg_smith_physical,80.0,900,1.0,1.0,1.0,1.0,900,0.0013286548841055094,0.001322399367881838,0.0009853324803903746,0.0016809569436588233
qpg_logit_scalar,1.0,900,0.0,0.0,0.0,0.0,900,0.1550769309629416,0.13347280904372838,0.10951801662647971,0.21752452139624434
qpg_logit_scalar,10.0,900,0.9823254095183945,0.9833281125942498,0.9710014835942236,0.9891859231425433,900,0.01127593617838798,0.011275626578179314,0.009935013896521785,0.011668237952343914
qpg_logit_scalar,20.0,900,0.9997353562296731,0.9997467640480311,0.9995449895171803,0.9998720853382577,900,0.0016144187861617757,0.0009045264340390982,0.0007222790963930437,0.005645677244008044
qpg_logit_scalar,30.0,900,1.0000035440939998,1.0,0.9999889730986893,1.0,900,0.0008460142388812569,7.296692542348073e-05,5.505281281322598e-05,0.005429347987056961
qpg_logit_scalar,40.0,135,1.0000081082004275,1.0,0.999977129474902,1.000043783386961,135,0.00546088088282083,0.0010524382054720727,8.801422100301881e-06,0.02229537001056229
qpg_logit_scalar,50.0,105,1.000011978750386,1.0,0.9999787249866114,1.0000520804968,105,0.006654350461375174,0.003361511334341441,1.3824449639793235e-05,0.022579437416857622
qpg_logit_scalar,60.0,91,1.000009177141971,1.0,0.9999891251374179,1.0000276683010805,91,0.007873171547687016,0.005433397543705157,2.0113983185410245e-05,0.022895163157925724
qpg_logit_scalar,70.0,83,1.0000111819456463,1.0,0.9999865237422868,1.0002326833947157,83,0.008516480576055275,0.0068636929944651676,2.2279560043739226e-05,0.023460491104766494
qpg_logit_scalar,80.0,78,1.0,1.0,1.0,1.0,78,0.009505727503034097,0.007952563405963304,9.370095425740126e-05,0.02606556756609539
