alpha,alternative,ci95_high,ci95_low,class,effect,effect_name,effect_size,effect_size_name,id,methods,metric,n_pairs,null_hypothesis,p_value,p_value_holm,p_value_raw,rank_biserial,reject,reject_holm,reject_raw,statistic
0.05,,nan,nan,SpearmanScalingHypothesis,0.693687975619296,spearman_rho,0.693687975619296,spearman_rho,H8.1_centralized_oracle_timeout_increases_with_scale,centralized_coalition_oracle,timeout_rate,60,,8.028314002597309e-10,8.028314002597309e-10,8.028314002597309e-10,nan,True,True,True,0.693687975619296
0.05,ours_wrench_market_hierarchical > classic_local_greedy,0.19625076344086012,0.07430066739729804,PairedSuperiorityHypothesis,0.13368017645437,ours_wrench_market_hierarchical-classic_local_greedy task_completion_rate,0.5494886989236984,cohens_dz,H8.2_ours_hierarchical_higher_completion_than_classic_local,ours_wrench_market_hierarchical vs classic_local_greedy,task_completion_rate,60,,1.6942509117189676e-10,3.388501823437935e-10,1.6942509117189676e-10,0.9322444041137327,True,True,True,
0.05,ours_wrench_market_hierarchical > centralized_hungarian_expanded,0.24565652284256959,0.15869124252826025,PairedSuperiorityHypothesis,0.19712020071684588,ours_wrench_market_hierarchical-centralized_hungarian_expanded wrench_feasible_rate,1.1488194823610183,cohens_dz,H8.3_ours_hierarchical_higher_wrench_feasibility_than_hungarian,ours_wrench_market_hierarchical vs centralized_hungarian_expanded,wrench_feasible_rate,60,,1.3456377290346863e-11,4.0369131871040586e-11,1.3456377290346863e-11,0.9987468671679198,True,True,True,
