M,requested_delta,replicates,feasibility_rate,mean_coverage,coverage_mean,coverage_median,coverage_p05,coverage_p95,normalized_cost_per_assigned_slot_mean,normalized_cost_per_assigned_slot_median,normalized_cost_per_assigned_slot_p05,normalized_cost_per_assigned_slot_p95,normalized_assignment_cost_p95_mean,normalized_assignment_cost_p95_median,normalized_assignment_cost_p95_p05,normalized_assignment_cost_p95_p95,assignment_cost_max_mean,assignment_cost_max_median,assignment_cost_max_p05,assignment_cost_max_p95,greedy_to_hungarian_ratio_mean,greedy_to_hungarian_ratio_median,greedy_to_hungarian_ratio_p05,greedy_to_hungarian_ratio_p95,robot_utilization_mean,robot_utilization_median,robot_utilization_p05,robot_utilization_p95,solver_wall_ns_mean,solver_wall_ns_median,solver_wall_ns_p05,solver_wall_ns_p95,matrix_bytes_mean,matrix_bytes_median,matrix_bytes_p05,matrix_bytes_p95
160,-0.05,60,0.0,0.90625,0.90625,0.90625,0.90625,0.90625,0.06921709843185248,0.06639498408320484,0.05500313466588811,0.08893328180229172,0.15941758456951927,0.14772737162258204,0.1131949468220308,0.2275773332576993,33.245072954670846,34.02466875343273,22.827593435418617,45.852448009398366,1.2429222441435377,1.2417603614298804,1.158225735928657,1.3359543363772999,1.0,1.0,1.0,1.0,517341.6666666667,502050.0,324820.0,848194.9999999999,185600.0,185600.0,185600.0,185600.0
160,-0.1,60,0.0,0.81875,0.81875,0.81875,0.81875,0.81875,0.06248594089479031,0.061444651073867707,0.05234461846255039,0.07651202007295996,0.1383286321005885,0.13620706900728088,0.10488333517929016,0.17827690161974757,30.160879293118594,28.51884001373439,20.590024091983665,46.15878395001113,1.180342285414863,1.172845327652071,1.1219041620454553,1.2660650544860892,1.0,1.0,1.0,1.0,299966.6666666667,282650.0,189950.0,440895.0,167680.0,167680.0,167680.0,167680.0
160,-0.15,60,0.0,0.7374999999999997,0.7374999999999997,0.7375,0.7375,0.7375,0.05881617809719141,0.05715961061426732,0.049091194675892943,0.07074253781717302,0.1272140373352961,0.12220646228794012,0.09691332813439976,0.1781804150904156,26.00671623114,23.40663645458464,18.657765010400393,42.21261573460306,1.1334530626854742,1.1262877733527552,1.076404553349109,1.2101044463110555,1.0,1.0,1.0,1.0,187555.0,169850.0,101965.0,284839.99999999994,151040.0,151040.0,151040.0,151040.0
160,-0.2,60,0.0,0.6687500000000003,0.6687500000000003,0.66875,0.66875,0.66875,0.05769141199661333,0.056774595832071464,0.049174672298629415,0.06839368890895053,0.12403150038639411,0.11983948241601765,0.09778817489946892,0.1665630840293375,25.47183006433819,24.465568518547585,18.183361349695115,35.3263636469657,1.1161798972386132,1.1089782578844711,1.043705194958035,1.1989584445020156,1.0,1.0,1.0,1.0,191026.66666666666,181500.0,115580.0,296979.99999999994,136960.0,136960.0,136960.0,136960.0
160,-0.25,60,0.0,0.6000000000000001,0.6000000000000001,0.6,0.6,0.6,0.05583620303491781,0.05560286069126803,0.04948227965311262,0.0631740936230481,0.11725566619176526,0.1149910508090485,0.09404634357664464,0.15106631336319495,24.02730738368266,22.712346796294277,17.137133184779646,37.04490908042236,1.0996473002816658,1.0922639092624462,1.0350151653172848,1.2024880194696854,1.0,1.0,1.0,1.0,118323.33333333333,116550.0,75960.0,166790.0,122880.0,122880.0,122880.0,122880.0
160,-0.3,60,0.0,0.5375000000000001,0.5375000000000001,0.5375,0.5375,0.5375,0.05431061814033877,0.053125475999758545,0.04758337201476451,0.06099065030094992,0.11315495032203611,0.1092871227181762,0.09233870868948267,0.14624175911506332,21.71561995490386,20.73642444742258,16.278145906258743,32.46327897082226,1.0674829528221252,1.0636864098089744,1.0224508645466983,1.1170685291770277,1.0,1.0,1.0,1.0,98276.66666666667,95250.0,69270.0,129299.99999999997,110080.0,110080.0,110080.0,110080.0
160,-0.35,60,0.0,0.48125,0.48125,0.48125,0.48125,0.48125,0.05510193614349978,0.05402977603774054,0.04816145872624566,0.06577311807924012,0.11516721545976409,0.10966058130036893,0.09190755750091106,0.1409645062948659,21.53103796845056,20.32709067818793,16.53201062709634,32.1164502183806,1.0552951628839398,1.0486924963395583,1.0160202354079457,1.0948692912259204,1.0,1.0,1.0,1.0,80251.66666666667,72550.0,55010.0,117374.99999999997,98560.0,98560.0,98560.0,98560.0
160,-0.4,60,0.0,0.43124999999999986,0.43124999999999986,0.43125,0.43125,0.43125,0.053478763221954564,0.05354888208752151,0.0461930844214198,0.061252917637378924,0.10686884381310936,0.10539484593537612,0.08943039028115843,0.12989783923431325,19.89470308171252,19.884826084527866,14.742789993663301,26.06799272205401,1.0413710321081504,1.0384923601820795,1.0044641835058299,1.0871575386495311,1.0,1.0,1.0,1.0,67761.66666666667,62650.0,51990.0,93699.99999999996,88320.0,88320.0,88320.0,88320.0
160,-0.45,60,0.0,0.38125000000000014,0.38125000000000014,0.38125,0.38125,0.38125,0.05313169537381769,0.05249835900332665,0.04627683586189382,0.06004420408739017,0.1053824482268782,0.10307890929625879,0.08274354415198201,0.13108606623717256,20.09471929234561,19.662335611747046,14.63067426934562,27.046782682856044,1.0274944115503408,1.018192084644237,1.0,1.0746741935329358,1.0,1.0,1.0,1.0,55451.666666666664,54050.0,36790.0,69899.99999999999,78080.0,78080.0,78080.0,78080.0
160,-0.5,60,0.0,0.33125000000000004,0.33125000000000004,0.33125,0.33125,0.33125,0.05257424591198991,0.05302142693225688,0.0455565761067671,0.05919516558070382,0.10251453663126213,0.10070592177633524,0.08329618547465129,0.12698339958100102,19.093072034841715,17.69455685387709,14.447852591542517,27.426203381456826,1.0203203779646441,1.0168954723370325,1.0,1.0510494875923828,1.0,1.0,1.0,1.0,42620.0,40450.0,27290.0,58979.99999999999,67840.0,67840.0,67840.0,67840.0
