M,requested_delta,treatment,replicates,feasibility_rate,mean_coverage,coverage_mean,coverage_median,coverage_p05,coverage_p95,relative_cost_increase_mean,relative_cost_increase_median,relative_cost_increase_p05,relative_cost_increase_p95,assignment_churn_mean,assignment_churn_median,assignment_churn_p05,assignment_churn_p95,normalized_assignment_cost_p95_mean,normalized_assignment_cost_p95_median,normalized_assignment_cost_p95_p05,normalized_assignment_cost_p95_p95,greedy_to_hungarian_ratio_mean,greedy_to_hungarian_ratio_median,greedy_to_hungarian_ratio_p05,greedy_to_hungarian_ratio_p95,robot_utilization_mean,robot_utilization_median,robot_utilization_p05,robot_utilization_p95,solver_wall_ns_mean,solver_wall_ns_median,solver_wall_ns_p05,solver_wall_ns_p95,total_wall_ns_mean,total_wall_ns_median,total_wall_ns_p05,total_wall_ns_p95,logical_messages_mean,logical_messages_median,logical_messages_p05,logical_messages_p95,communication_bytes_mean,communication_bytes_median,communication_bytes_p05,communication_bytes_p95
160,0.0,critical_assigned_failure,60,0.0,0.99375,0.99375,0.99375,0.99375,0.99375,nan,nan,nan,nan,0.049790356394129986,0.04716981132075472,0.006289308176100629,0.10062893081761007,0.20152089474994278,0.19647380067252307,0.14209797462709592,0.2747593271223421,1.3157825703852095,1.309857015054253,1.22468923966393,1.4084607107074405,1.0,1.0,1.0,1.0,690700.0,656250.0,407430.0,1012579.9999999997,4019015.0,3483950.0,3051500.0,6138109.999999999,321.0,321.0,321.0,321.0,34437.0,34435.0,34419.95,34457.2
160,0.0,no_failure,60,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20423513923307055,0.19870668254304852,0.14223069388314893,0.28699383898476266,1.3537455144595605,1.3443732907757204,1.2270255220230741,1.5059221001238745,1.0,1.0,1.0,1.0,742300.0,689450.0,427865.0,1175114.999999999,4248665.0,3677150.0,3053585.0,6811559.999999999,320.0,320.0,320.0,320.0,34350.71666666667,34350.0,34333.0,34372.1
160,0.0,random_10_percent,60,0.0,0.9,0.9,0.9,0.9,0.9,nan,nan,nan,nan,0.29687500000000006,0.2916666666666667,0.221875,0.3888888888888889,0.17127937542546467,0.16087225419566478,0.12247647115956375,0.23065121428676696,1.2321773174852289,1.232021572405574,1.1406656483130828,1.316135824220171,1.0,1.0,1.0,1.0,398846.6666666667,350350.0,215535.0,692024.9999999995,3266390.0,2909600.0,2642145.0,4995800.0,336.0,336.0,336.0,336.0,33330.88333333333,33331.0,33313.95,33351.1
160,0.0,random_20_percent,60,0.0,0.7999999999999997,0.7999999999999997,0.8,0.8,0.8,nan,nan,nan,nan,0.3829427083333333,0.3828125,0.287890625,0.5078125,0.15218215267908605,0.1438233257320521,0.11301686018727587,0.20649041405658228,1.1764201352648778,1.1688914218084034,1.1035758255747845,1.2889131501642597,1.0,1.0,1.0,1.0,243886.66666666666,215100.0,152190.0,389160.0,2844556.6666666665,2570000.0,2344770.0,4526370.0,352.0,352.0,352.0,352.0,32151.45,32150.0,32136.95,32170.05
160,0.0,random_30_percent,60,0.0,0.7000000000000003,0.7000000000000003,0.7,0.7,0.7,nan,nan,nan,nan,0.4517857142857143,0.44642857142857145,0.33035714285714285,0.5897321428571428,0.13794973202679345,0.1355807267769707,0.10804008800088603,0.1810331593207985,1.1408498329975116,1.1357243317917862,1.0719962935572178,1.2345823573795205,1.0,1.0,1.0,1.0,177150.0,151700.0,99570.0,338909.99999999994,2704651.6666666665,2264700.0,2034450.0,4288160.0,368.0,368.0,368.0,368.0,30971.683333333334,30971.0,30956.95,30988.3
160,0.0,random_5_percent,60,0.0,0.9500000000000003,0.9500000000000003,0.95,0.95,0.95,nan,nan,nan,nan,0.1987938596491228,0.18421052631578946,0.12401315789473684,0.29177631578947355,0.18535992467728807,0.17329456512668223,0.13525491468254178,0.2561813206407883,1.2767059265588725,1.273912891607911,1.1925834497223369,1.3556221764521508,1.0,1.0,1.0,1.0,479001.6666666667,457750.0,294755.0,739199.9999999999,3567378.3333333335,3241250.0,2820050.0,5586714.999999999,328.0,328.0,328.0,328.0,33920.96666666667,33919.5,33902.95,33939.1
160,0.0,random_assigned_failure,60,0.0,0.99375,0.99375,0.99375,0.99375,0.99375,nan,nan,nan,nan,0.04633123689727465,0.0440251572327044,0.0,0.09465408805031446,0.20138013204502886,0.19103264277038362,0.1376543605963033,0.2749528742424814,1.3178634613278546,1.317376901900354,1.2303213560053996,1.4329893611950046,1.0,1.0,1.0,1.0,718466.6666666666,685250.0,423340.0,1069729.9999999998,4240198.333333333,3664750.0,3025465.0,6404324.999999999,321.0,321.0,321.0,321.0,34437.23333333333,34436.0,34419.95,34459.05
160,0.2,critical_assigned_failure,60,1.0,1.0,1.0,1.0,1.0,1.0,0.017912343019733833,0.017234151832207265,0.008954823803696546,0.030164449927340527,0.015481171548117154,0.012552301255230125,0.008158995815899581,0.029288702928870293,0.10938699387485956,0.10340729322194833,0.08498668942807101,0.15623145740762037,1.144603829822975,1.1392208391744112,1.0841312274336266,1.2233275003987434,0.6694560669456067,0.6694560669456067,0.6694560669456067,0.6694560669456067,697156.6666666666,647650.0,421150.0,1123950.0,6380733.333333333,5976050.0,4056150.0,9696480.0,481.0,481.0,481.0,481.0,51493.01666666667,51496.5,51464.85,51514.0
160,0.2,idle_robot_failure,60,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10695574552268083,0.10151563683978276,0.08360661794129522,0.15621807474352756,1.1458149936629312,1.1406623131649813,1.0832967540135416,1.226365497280443,0.6694560669456067,0.6694560669456067,0.6694560669456067,0.6694560669456067,675875.0,649150.0,391895.0,1046984.9999999998,6673898.333333333,6318100.0,4051870.0,9559260.0,481.0,481.0,481.0,481.0,51493.01666666667,51496.0,51463.0,51513.0
160,0.2,no_failure,60,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10695574552268083,0.10151563683978276,0.08360661794129522,0.15621807474352756,1.1449980286643429,1.1397225287329555,1.0832967540135416,1.226365497280443,0.6666666666666664,0.6666666666666666,0.6666666666666666,0.6666666666666666,683230.0,652650.0,387945.0,1049854.9999999998,6693451.666666667,7130100.0,3955770.0,9653065.0,480.0,480.0,480.0,480.0,51564.6,51567.0,51535.9,51584.0
