M,requested_delta,replicates,feasibility_rate,mean_coverage,solver_wall_ns_mean,solver_wall_ns_median,solver_wall_ns_p05,solver_wall_ns_p95,total_wall_ns_mean,total_wall_ns_median,total_wall_ns_p05,total_wall_ns_p95,total_cpu_ns_mean,total_cpu_ns_median,total_cpu_ns_p05,total_cpu_ns_p95,matrix_bytes_mean,matrix_bytes_median,matrix_bytes_p05,matrix_bytes_p95,normalized_cost_per_assigned_slot_mean,normalized_cost_per_assigned_slot_median,normalized_cost_per_assigned_slot_p05,normalized_cost_per_assigned_slot_p95,normalized_assignment_cost_p95_mean,normalized_assignment_cost_p95_median,normalized_assignment_cost_p95_p05,normalized_assignment_cost_p95_p95,greedy_to_hungarian_ratio_mean,greedy_to_hungarian_ratio_median,greedy_to_hungarian_ratio_p05,greedy_to_hungarian_ratio_p95,hungarian_saving_vs_greedy_mean,hungarian_saving_vs_greedy_median,hungarian_saving_vs_greedy_p05,hungarian_saving_vs_greedy_p95,relative_gap_to_lower_bound_mean,relative_gap_to_lower_bound_median,relative_gap_to_lower_bound_p05,relative_gap_to_lower_bound_p95,assignment_cost_gini_mean,assignment_cost_gini_median,assignment_cost_gini_p05,assignment_cost_gini_p95,robot_utilization_mean,robot_utilization_median,robot_utilization_p05,robot_utilization_p95,solver_ns_per_matrix_element_mean,solver_ns_per_matrix_element_median,solver_ns_per_matrix_element_p05,solver_ns_per_matrix_element_p95,metrics_wall_ns_mean,metrics_wall_ns_median,metrics_wall_ns_p05,metrics_wall_ns_p95,logical_messages_mean,logical_messages_median,logical_messages_p05,logical_messages_p95,communication_bytes_mean,communication_bytes_median,communication_bytes_p05,communication_bytes_p95
10,-0.07,60,0.0,0.9,4678.333333333333,4450.0,3595.0,7219.999999999999,202428.33333333334,187350.0,159570.0,351309.9999999999,260416.66666666666,0.0,0.0,0.0,720.0,720.0,720.0,720.0,0.24323757193199227,0.22816932424159111,0.16918884502263157,0.34134880327779593,0.42755150293408495,0.43847664582228085,0.26846753412383295,0.607933704473339,1.0920495499711769,1.0694387432025345,1.0,1.2723120630255678,0.07917432658184001,0.06493007343524737,0.0,0.21402132183822994,0.10201887671809266,0.06360035423658,1.128163658638677e-16,0.3228144251873498,0.28357465270265725,0.2861520028235528,0.17412510622992955,0.39303034995515085,1.0,1.0,1.0,1.0,51.981481481481495,49.44444444444444,39.94444444444444,80.22222222222221,324290.0,294950.0,256230.0,576514.9999999999,18.0,18.0,18.0,18.0,1908.9666666666667,1909.0,1904.0,1913.0
10,-0.13,60,0.0,0.7999999999999997,4068.3333333333335,3900.0,3200.0,5619.999999999999,178213.33333333334,168300.0,151085.0,309244.99999999994,0.0,0.0,0.0,0.0,640.0,640.0,640.0,640.0,0.24196404206258615,0.22809733085940725,0.16007886815401498,0.3445709560036026,0.4075951118737482,0.38844862390543045,0.2707915787780091,0.5853226825537545,1.0752544437160632,1.060926874578092,1.0,1.2358261497889196,0.06402583066315201,0.05742792842062111,0.0,0.19080345342332602,0.058368882913897385,0.04161276724853041,0.0,0.2105580012625774,0.2638882145241531,0.2585672640455702,0.15212547032056328,0.3931496943433583,1.0,1.0,1.0,1.0,50.854166666666664,48.75,40.0,70.24999999999999,302555.0,279950.0,258620.0,531484.9999999999,16.0,16.0,16.0,16.0,1697.6833333333334,1698.0,1694.0,1701.0
10,-0.2,60,0.0,0.7000000000000003,3893.3333333333335,3700.0,3000.0,5539.999999999998,167141.66666666666,156000.0,140430.0,204234.99999999985,0.0,0.0,0.0,0.0,560.0,560.0,560.0,560.0,0.2464209425782546,0.245917794977494,0.1574983463794862,0.36242212497513254,0.41250006216757007,0.412557611853962,0.2695859491247659,0.5760757073128476,1.0714519123703232,1.031516433025379,1.0,1.2840445179345166,0.05934289913227635,0.03055076765981938,0.0,0.2211666225092762,0.06559018140667124,0.02615765745062487,0.0,0.22402085644195394,0.2671619695807909,0.2675619350645648,0.14000764299682444,0.37227249621330977,1.0,1.0,1.0,1.0,55.61904761904762,52.857142857142854,42.857142857142854,79.14285714285711,309586.6666666667,281600.0,259480.0,449454.9999999999,14.0,14.0,14.0,14.0,1485.8,1486.0,1481.95,1490.0
10,-0.27,60,0.0,0.6000000000000001,3805.0,3550.0,3100.0,5449.999999999997,155523.33333333334,146300.0,137965.0,220424.99999999985,0.0,0.0,0.0,0.0,480.0,480.0,480.0,480.0,0.2289450934888655,0.21722801532603941,0.13830064298783498,0.32467683459426033,0.37022765801376384,0.37023675270719597,0.20082112547667508,0.5307190084357225,1.0270264111791707,1.0,1.0,1.1584378181926929,0.023129743698109984,0.0,0.0,0.13662217696861736,0.017830022249482182,0.0,0.0,0.09736575783988727,0.2556512905525261,0.25989343279896315,0.10403444342770111,0.3958915938502095,1.0,1.0,1.0,1.0,63.41666666666665,59.16666666666667,51.666666666666664,90.83333333333329,316841.6666666667,284950.0,269215.0,639139.9999999999,12.0,12.0,12.0,12.0,1272.6,1273.0,1269.0,1276.0
10,-0.33,60,0.0,0.5,3430.0,3200.0,2995.0,4159.999999999996,140116.66666666666,133450.0,120650.0,186729.9999999999,260416.66666666666,0.0,0.0,0.0,400.0,400.0,400.0,400.0,0.2197661197706439,0.21458342076511389,0.14139862753839413,0.334136174767185,0.34231749726683514,0.32920889146817245,0.21573587476056683,0.5049253476576019,1.025955955208382,1.0,1.0,1.1682760942142145,0.021720720089489654,0.0,0.0,0.14403759519722495,0.014922068985968373,0.0,0.0,0.07919296457045792,0.23838038166925987,0.23975734262505377,0.07318788072284975,0.4284576501013574,1.0,1.0,1.0,1.0,68.6,64.0,59.9,83.19999999999993,300791.6666666667,277150.0,257280.0,486889.9999999999,10.0,10.0,10.0,10.0,1061.65,1062.0,1058.0,1065.0
10,-0.4,60,0.0,0.39999999999999986,3308.3333333333335,3150.0,2895.0,4614.999999999999,124988.33333333333,117550.0,113995.0,158024.99999999997,260416.66666666666,0.0,0.0,0.0,320.0,320.0,320.0,320.0,0.23656190709433852,0.21613059415552932,0.14826804453941608,0.4296609851758181,0.34254572309184045,0.3151254366707781,0.21281421423443977,0.5300462625796125,1.0149795739816427,1.0,1.0,1.0841949519242657,0.011726583594795507,0.0,0.0,0.077619275506817,0.005412217251241161,0.0,0.0,0.04612282696166189,0.21207358339370677,0.208258242369313,0.08169528916834153,0.36390716420818386,1.0,1.0,1.0,1.0,82.70833333333333,78.75,72.375,115.37499999999997,289500.0,271150.0,260185.0,330304.99999999977,8.0,8.0,8.0,8.0,848.6666666666666,848.0,846.0,852.0
10,0.0,60,1.0,1.0,5223.333333333333,4850.0,4095.0,7729.999999999998,231813.33333333334,201200.0,178780.0,449340.0,260416.66666666666,0.0,0.0,0.0,800.0,800.0,800.0,800.0,0.25070985816676455,0.23771486749559795,0.1767530598105198,0.33855600184898804,0.4499683814940941,0.4460545890077353,0.30426664576462986,0.6103351846532094,1.1208056597331357,1.0865025875303613,1.0000000000000002,1.3378402098497066,0.10029024389960081,0.07961458026452745,1.515791416702074e-16,0.25251273299621657,0.5279893030178878,0.48708099073168687,0.32719509857335316,0.7683322278038799,0.28801850163205434,0.2820841641996703,0.1910419232717053,0.3773243762518683,1.0,1.0,1.0,1.0,52.233333333333334,48.5,40.95,77.29999999999998,324656.6666666667,302150.0,271645.0,432369.9999999999,20.0,20.0,20.0,20.0,2114.0666666666666,2114.0,2109.0,2118.0
10,0.07,60,1.0,1.0,6330.0,6100.0,4795.0,7605.0,232610.0,224300.0,197720.0,264135.0,520833.3333333333,0.0,0.0,0.0,960.0,960.0,960.0,960.0,0.21687206360871142,0.21409568891030967,0.14627226511057667,0.3020615568018329,0.3781906509893369,0.37803771201012737,0.2376897488541469,0.5196544341837701,1.0933127597784025,1.069596523432847,0.9999999999999999,1.2948501313880945,0.07798164395557923,0.06506541750117908,-1.2353813111946987e-16,0.227698359050451,0.4883768250604668,0.5205707311827084,0.21109990146165059,0.7322076846665259,0.2802577996411462,0.2916588400019745,0.1732514773587609,0.373501028984027,0.8333333333333335,0.8333333333333334,0.8333333333333334,0.8333333333333334,52.75,50.833333333333336,39.958333333333336,63.375,306286.6666666667,297600.0,265205.0,339414.99999999994,24.0,24.0,24.0,24.0,2540.5666666666666,2541.0,2535.95,2545.05
10,0.13,60,1.0,1.0,6186.666666666667,5700.0,4995.0,9219.999999999998,251745.0,233800.0,208515.0,401024.99999999977,260416.66666666666,0.0,0.0,0.0,1040.0,1040.0,1040.0,1040.0,0.20024869080619226,0.19185231423649876,0.1365888055711543,0.29848934332781324,0.3474012617448913,0.3291514490414498,0.23720975904481842,0.5549659850479052,1.0979651687845926,1.0903119328437343,1.0,1.213271847716654,0.08378702685425167,0.08281010108560782,-6.54389642379252e-18,0.17575009023205873,0.5165771713676727,0.5193564748341278,0.30907806554948863,0.7182685928869118,0.27449058842446317,0.27080437054617745,0.1808815077069703,0.3959780442784992,0.769230769230769,0.7692307692307693,0.7692307692307693,0.7692307692307693,47.5897435897436,43.84615384615385,38.42307692307692,70.92307692307692,322091.6666666667,297350.0,265550.0,555779.9999999999,26.0,26.0,26.0,26.0,2753.15,2753.0,2749.0,2759.0
10,0.2,60,1.0,1.0,6565.0,6150.0,5000.0,10629.999999999998,279693.3333333333,260400.0,227970.0,429124.99999999994,260416.66666666666,0.0,0.0,0.0,1200.0,1200.0,1200.0,1200.0,0.17816954248779954,0.17600014726229887,0.12640874517975964,0.24809191460778565,0.3018903907744644,0.30568014022672557,0.2001677178335184,0.42631730185614053,1.0682673737817436,1.048568343849603,1.0,1.1818432225067048,0.060511833639818505,0.04631861584510073,0.0,0.1538635320181114,0.477790931385852,0.507299034161623,0.2514513163948932,0.7391193909642579,0.26773450739799215,0.2561710324903943,0.1665830726601777,0.3828393112457009,0.6666666666666664,0.6666666666666666,0.6666666666666666,0.6666666666666666,43.766666666666666,41.0,33.333333333333336,70.86666666666666,327246.6666666667,301000.0,265885.0,502839.9999999998,30.0,30.0,30.0,30.0,3179.766666666667,3180.0,3172.0,3185.05
