scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_engine,method_payoff_signal,method_role,method_recommended_phase,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,scalar_feasible_rate_mean,wrench_feasible_rate_mean,false_positive_rate_mean,false_positive_given_scalar_rate_mean,wrench_residual_norm_mean,max_wrench_residual_norm_mean,wrench_margin_mean,torque_error_nm_mean,force_error_n_mean,slot_coverage_ratio_mean,complementarity_gain_mean,scalar_wrench_success_gap_mean,slot_conflict_count_mean,assignment_valid_mean,travel_distance_m_mean,estimated_arrival_time_s_mean,energy_proxy_wh_mean,communication_messages_mean,runtime_ms_mean,score_value_mean,oracle_score_value_mean,signed_score_delta_vs_oracle_mean,oracle_dominance_violation_mean,optimality_gap_vs_wrench_oracle_mean,captured_reward_mean,oracle_reward_mean
long_payload_slots,bnn_wrench_deficit,BNN wrench deficit,model_based,decentralized,baseline,bnn_wrench_deficit,wrench_dynamics_baseline,bnn,positive_excess_wrench_deficit,engine_ablation,B,none,distributed_bnn_wrench_deficit_rule,positive_excess_wrench_scores,0,4,False,False,100,1.0,1.0,0.0,0.0,1.799682654870606e-16,2.4151274168077106e-16,0.04999999999999982,5.542233338928782e-15,6.252776074688882e-15,1.0,0.5732071402728417,0.0,0.0,1.0,11.523315870750134,8.465307839588098,65.90454538020997,40.0,88.25840699719265,133.32876793686088,133.3995773782488,-0.07080944138791409,0.0,0.0005308079679937636,7.0,7.0
long_payload_slots,capacity_greedy_slots,Capacity greedy slots,classic,decentralized,baseline,capacity_greedy_slots,classic_decentralized_baseline,greedy,scalar_capacity_only,classic_baseline,A,none,distributed_capacity_slot_rule,local_robot_load_slots,0,0,False,False,100,1.0,1.0,0.0,0.0,1.7704411734139928e-16,2.356644453894484e-16,0.04999999999999982,5.595524044110789e-15,6.0396132539608514e-15,1.0,0.5756268079356791,0.0,0.0,1.0,22.057143511068542,14.614539418011745,126.28265080514582,40.0,0.5629299918655306,133.1721729524646,133.3995773782488,-0.22740442578420555,0.0,0.00170465698536861,7.0,7.0
long_payload_slots,cbba_slots,CBBA slots,sota,decentralized,baseline,cbba_slot_wrench_proxy,sota_decentralized_baseline,cbba,marginal_wrench_bid,sota_proxy,A,none,distributed_slot_bundle_auction_proxy,auction_robot_slot_bids,0,3,False,False,100,1.0,1.0,0.0,0.0,1.8007760524707791e-16,2.417314212008056e-16,0.04999999999999982,5.524469770534779e-15,6.323830348264892e-15,1.0,0.5728551599193346,0.0,0.0,1.0,12.10732047393542,9.268882535068155,69.22008118095961,40.0,101.28519599558786,133.32010211372233,133.3995773782488,-0.07947526452651232,0.0,0.0005957649972643174,7.0,7.0
long_payload_slots,hungarian_slots,Hungarian slots,classic,centralized,baseline,hungarian_robot_slot_cost,classic_centralized_baseline,hungarian,robot_slot_cost_only,classic_baseline,A,none,centralized_robot_slot_hungarian,centralized_robot_slot_cost_matrix,0,0,False,False,100,1.0,1.0,0.0,0.0,1.72261745623285e-16,2.2609970195321977e-16,0.04999999999999982,5.613287612504792e-15,5.968558980384841e-15,1.0,0.5918896246966147,0.0,0.0,1.0,6.756290779790695,3.5578728170383003,38.761823027258124,40.0,0.18243000144138932,133.39954359912886,133.3995773782488,-3.377911992572535e-05,0.0,2.5322403485380096e-07,7.0,7.0
long_payload_slots,oracle_scalar_assignment,Oracle scalar assignment,model_based_oracle,centralized,reference,exact_scalar_capacity_reference,centralized_scalar_reference,oracle,scalar_capacity_only,reference_scalar_false_positive,A,none,centralized_exact_scalar_search,centralized_all_robot_slot_pairs,0,2,False,False,100,1.0,1.0,0.0,0.0,1.72261745623285e-16,2.2609970195321977e-16,0.04999999999999982,5.613287612504792e-15,5.968558980384841e-15,1.0,0.5918896246966147,0.0,0.0,1.0,6.75611967982197,3.5578728170383003,38.79905434280245,40.0,120.19422301091254,133.39952703667075,133.3995773782488,-5.034157807330075e-05,0.0,3.7736619313402296e-07,7.0,7.0
long_payload_slots,replicator_wrench_deficit,Replicator wrench deficit,model_based,decentralized,baseline,replicator_wrench_deficit,wrench_dynamics_baseline,replicator,wrench_deficit_minus_rho,engine_ablation,B,none,distributed_replicator_wrench_deficit_rule,local_wrench_deficit_scores,0,4,False,False,100,1.0,1.0,0.0,0.0,1.799682654870606e-16,2.4151274168077106e-16,0.04999999999999982,5.542233338928782e-15,6.252776074688882e-15,1.0,0.5733216859451751,0.0,0.0,1.0,11.3779575807216,8.316881789763912,65.07375963876676,40.0,87.69455600064248,133.33092762921194,133.3995773782488,-0.06864974903685038,0.0,0.0005146179005816507,7.0,7.0
long_payload_slots,smith_wrench_deficit,Smith-QR wrench deficit,model_based,decentralized,proposed,smith_qr_wrench_deficit,proposed_wrench_deficit,smith,wrench_deficit_minus_rho,main_proposal,A,model_based_tuning_optional,distributed_smith_qr_wrench_deficit_rule,local_wrench_deficit_scores,0,5,False,False,100,1.0,1.0,0.0,0.0,1.7944903971393876e-16,2.404742901345272e-16,0.04999999999999982,5.542233338928782e-15,6.252776074688882e-15,1.0,0.5729083014420112,0.0,0.0,1.0,12.022420257537183,9.116004485677678,68.89338577329663,40.0,86.78611400187947,133.3212842640229,133.3995773782488,-0.07829311422590195,0.0,0.0005869027635685632,7.0,7.0
long_payload_slots,smith_wrench_marginal,Smith-QR wrench marginal,model_based,decentralized,proposed,smith_qr_delta_rho_wrench_marginal,proposed_wrench_ablation,smith,delta_rho_marginal,proposal_ablation,A,model_based_tuning_optional,distributed_smith_qr_delta_rho_rule,local_marginal_wrench_scores,0,5,False,False,100,1.0,1.0,0.0,0.0,1.7882047418079953e-16,2.3921715906824886e-16,0.04999999999999982,5.559996907322784e-15,6.1817218011128716e-15,1.0,0.5729589549690871,0.0,0.0,1.0,11.974286233990217,8.946051186816499,68.63076320017566,40.0,71.87057299655862,133.321993183592,133.3995773782488,-0.07758419465677775,0.0,0.0005815886185610697,7.0,7.0
long_payload_slots,support_dual_wrench_market,Residual-support wrench market,model_based,decentralized,proposed,residual_support_wrench_market,proposed_wrench_market,residual_support_market,current_residual_wrench_direction,main_proposal,A,model_based_tuning_optional,distributed_residual_support_wrench_market,current_residual_wrench_direction,0,5,False,False,100,0.815,1.0,0.0,0.0,1.4045554276003985e-16,1.8439569724599932e-16,0.049999999999999864,5.559996907322784e-15,3.552713678800501e-15,0.9383333333333332,0.585917544425184,-0.185,0.0,1.0,19.616447120374406,14.336087026367878,112.52979730195929,40.0,23.71005699969828,132.4375044025712,133.3995773782488,-0.9620729756776077,0.0,0.007211907933616066,7.0,7.0
long_payload_slots,wrench_oracle,Wrench oracle,model_based_oracle,centralized,reference,exact_role_slot_wrench,centralized_wrench_oracle_reference,oracle,strict_wrench_feasible_score,reference,A,none,centralized_exact_role_slot_search,centralized_all_robot_slot_pairs,0,3,False,False,100,1.0,1.0,0.0,0.0,1.72261745623285e-16,2.2609970195321977e-16,0.04999999999999982,5.613287612504792e-15,5.968558980384841e-15,1.0,0.591618649462194,0.0,0.0,1.0,6.759573044310951,3.5607264696071494,38.61549043891991,40.0,424.1225070087239,133.3995773782488,133.3995773782488,0.0,0.0,0.0,7.0,7.0
