subproblem,evidence_strength,records
SP1,fulltext_verified,110
SP1,abstract_only,79
SP1,metadata_only,364
SP1,retrieval_error,9
SP2,fulltext_verified,23
SP2,abstract_only,18
SP2,metadata_only,52
SP2,retrieval_error,0
SP3,fulltext_verified,24
SP3,abstract_only,15
SP3,metadata_only,50
SP3,retrieval_error,1
