experiment_id,world_seed,world_hash,replicate,n_robots,n_loads,quorum,geometry,graph,lambda2,method,method_family,stage,raw_valid,raw_coverage,raw_normalized_regret,final_valid,final_coverage,distance_m,normalized_regret,unmet_quorum,overallocated,served_loads,optimal_distance_m,closure_delta_regret,iterations,continuous_converged,equilibrium_residual,potential_initial,potential_final,potential_gain,potential_violations,simplex_error,projection_corrections,switches,messages,runtime_s
SP1_HOMOGENEOUS_v1_1,330000,73057e71ed191ca70045,0,8,8,1,uniform,complete,7.999999999999991,smith_qr,population_game,closed,False,0.75,1.5,True,1.0,18.937150900090327,0.06391249629464116,0,0,8,17.79953799400233,-1.4360875037053589,300,False,0.0704505234979562,-2.8362190061769614,-1.5413715946542976,1.2948474115226638,0,2.220446049250313e-16,0,12,134400,0.06141860014759004
SP1_HOMOGENEOUS_v1_1,330000,73057e71ed191ca70045,0,8,8,1,uniform,complete,7.999999999999991,replicator_qr,population_game,closed,False,0.625,1.75,True,1.0,17.831048225507107,0.001770283673396265,0,0,8,17.79953799400233,-1.7482297163266038,300,False,0.04923734709828114,-2.8683004728109496,-2.2768098305044533,0.5914906423064963,0,2.220446049250313e-16,0,8,134400,0.04578549996949732
SP1_HOMOGENEOUS_v1_1,330000,73057e71ed191ca70045,0,8,8,1,uniform,complete,7.999999999999991,bnn_qr,population_game,closed,False,0.75,1.5,True,1.0,18.937150900090327,0.06391249629464116,0,0,8,17.79953799400233,-1.4360875037053589,300,False,0.05573085477623142,-2.8557634936073355,-1.9469082473163515,0.908855246290984,0,2.220446049250313e-16,0,9,134400,0.048428099835291505
SP1_HOMOGENEOUS_v1_1,330000,73057e71ed191ca70045,0,8,8,1,uniform,complete,7.999999999999991,uniform_qr,closure_control,closed,False,0.125,2.75,True,1.0,17.963281309917797,0.009199301463366217,0,0,8,17.79953799400233,-2.740800698536634,0,True,0.0,,,,0,0.0,0,0,8,0.0002551001962274313
SP1_HOMOGENEOUS_v1_1,330000,73057e71ed191ca70045,0,8,8,1,uniform,complete,7.999999999999991,random_qr,closure_control,closed,False,0.5,2.0,True,1.0,36.34811586983174,1.0420819844919276,0,0,8,17.79953799400233,-0.9579180155080724,0,True,0.0,,,,0,0.0,0,0,8,0.00038640014827251434
SP1_HOMOGENEOUS_v1_1,330000,73057e71ed191ca70045,0,8,8,1,uniform,complete,7.999999999999991,greedy,classical,native,True,1.0,0.15273045142112335,True,1.0,20.51806946691374,0.15273045142112335,0,0,8,17.79953799400233,0.0,0,True,0.0,,,,0,0.0,0,0,8,0.0016119000501930714
SP1_HOMOGENEOUS_v1_1,330000,73057e71ed191ca70045,0,8,8,1,uniform,complete,7.999999999999991,auction_proxy,classical,native,True,1.0,0.0002743102744541726,True,1.0,17.80442059015462,0.0002743102744541726,0,0,8,17.79953799400233,0.0,0,True,0.0,,,,0,0.0,0,0,64,0.00027900002896785736
SP1_HOMOGENEOUS_v1_1,330000,73057e71ed191ca70045,0,8,8,1,uniform,complete,7.999999999999991,hungarian_exact,centralized_exact,native,True,1.0,0.0,True,1.0,17.79953799400233,0.0,0,0,8,17.79953799400233,0.0,0,True,0.0,,,,0,0.0,0,0,64,7.780012674629688e-05
SP1_HOMOGENEOUS_v1_1,330001,3e5ae3756504aee12839,1,8,8,1,uniform,complete,7.999999999999991,smith_qr,population_game,closed,False,0.875,1.25,True,1.0,16.23831097640276,0.0,0,0,8,16.23831097640276,-1.25,300,False,0.05694718445180878,-2.4068752673498865,-1.4453627316313133,0.9615125357185732,0,2.220446049250313e-16,0,15,134400,0.05245119985193014
SP1_HOMOGENEOUS_v1_1,330001,3e5ae3756504aee12839,1,8,8,1,uniform,complete,7.999999999999991,replicator_qr,population_game,closed,False,0.75,1.5,True,1.0,16.23831097640276,0.0,0,0,8,16.23831097640276,-1.5,300,False,0.04665638052762073,-2.413481409669121,-2.0206802296376414,0.39280118003147946,0,2.220446049250313e-16,0,12,134400,0.056301699951291084
