method,n,raw_valid_rate,raw_coverage_mean,final_valid_rate,final_coverage_mean,normalized_regret_mean,normalized_regret_std,distance_m_mean,convergence_rate,potential_gain_mean,messages_mean,runtime_s_mean
hungarian_exact,900,1.0,1.0,1.0,1.0,0.0,0.0,82.52716848595747,1.0,,224.0,7.721132831647992e-05
auction_proxy,900,1.0,1.0,1.0,1.0,0.02976276090368934,0.055295021311515626,83.91884515207825,1.0,,224.0,0.000664902217944877
uniform_qr,900,0.0,0.11458333333333333,1.0,1.0,0.04436837636281677,0.06632508406947059,84.32255022704678,1.0,,16.0,0.0002893602209062212
bnn_qr,900,0.05444444444444444,0.710787037037037,1.0,1.0,0.05140529328429866,0.09032155412897283,85.24066243200494,0.5033333333333333,0.5958229005893357,715788.0177777777,0.060442080337864655
smith_qr,900,0.016666666666666666,0.6235416666666667,1.0,1.0,0.059651367271766065,0.10814826308176964,85.8105772156758,0.34555555555555556,0.8907554548319803,815897.9555555555,0.0781766919975376
greedy,900,1.0,1.0,1.0,1.0,0.08081047837210602,0.10946747797955152,86.51118844168381,1.0,,16.0,0.00018444722311364279
replicator_qr,900,0.011111111111111112,0.7148842592592592,1.0,1.0,0.08619704627845431,0.09889511022333407,88.26983017966467,0.6933333333333334,0.2529177704059447,312795.12888888887,0.03162495511066583
random_qr,900,0.0033333333333333335,0.6923148148148148,1.0,1.0,0.46601235296479654,0.6107666137968026,103.35280894943024,1.0,,16.0,0.0006072593312193123
