"method","method_variant","method_family","rank","safe_docking_success_mean","any_collision_mean","timeout_mean","runtime_s_mean"
"replicator_primitives","replicator_primitives","population","1","0.26851851851851855","0.0","0.7314814814814815","2.2504522833235874"
"cbf_qp","cbf_qp","safety","2","0.17592592592592593","0.0","0.8240740740740741","1.5984198962946214"
"direct_to_slot","direct_to_slot","classic_local","3","0.16666666666666666","0.8333333333333334","0.0","0.025193175014229147"
"rvo_proxy","rvo_proxy","classic_local","4","0.16666666666666666","0.8333333333333334","0.0","0.028129539808206674"
"apf_navigation","apf_navigation","classic_local","5","0.1111111111111111","0.7592592592592593","0.12962962962962962","0.1364773583287994"
"central_potential_reference","central_potential_reference","model_based_reference","6","0.037037037037037035","0.0","0.9629629629629629","2.939254493530219"
"nash_pd_exact","nash_pd_exact","nash_seeking","7","0.027777777777777776","0.0","0.9722222222222222","1.766697392585532"
"nash_pd_exact_raw","nash_pd_exact_raw","nash_seeking","8","0.027777777777777776","0.0","0.9722222222222222","1.84282669721223"
"smith_primitives","smith_primitives","population","9","0.009259259259259259","0.0","0.9907407407407407","2.164095663885948"
"nash_pd_ring","nash_pd_ring","nash_seeking","10","0.009259259259259259","0.0","0.9907407407407407","2.0380116648157127"
"erv_bnn_primitives","erv_bnn_primitives","population","11","0.0","0.0","1.0","2.157251402774515"
