method,scenario,seed,n_robots,safe_docking_success,arrival_success,any_collision,timeout,docking_time_s,time_to_wrench_feasible_s,min_clearance_m,final_position_error_m,final_orientation_error_rad,energy_wh,path_length_m,guard_interventions,closure_interventions,guard_intervention_norm,raw_barrier_violations,exec_barrier_violations,max_exec_barrier_residual,torque_saturation_events,mean_kkt_residual,final_kkt_residual,max_simplex_error,max_capacity_violation,consensus_error,messages,runtime_s,steps
direct_to_slot,open_docking,474100,4,1,1,0,0,5.6000000000000005,5.6000000000000005,0.2240863937086714,0.13294525244759595,0.024385053910074506,0.023507502230260834,13.740037160137682,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.015529500087723136,35
apf_navigation,open_docking,474100,4,1,1,0,0,5.6000000000000005,5.6000000000000005,0.22408639370867117,0.1329452524475959,0.024385053910074506,0.023507502230260834,13.740037160137682,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.019526900025084615,35
rvo_proxy,open_docking,474100,4,1,1,0,0,5.6000000000000005,5.6000000000000005,0.22408639370867117,0.1329452524475959,0.024385053910074506,0.023507502230260834,13.740037160137682,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.01814110018312931,35
cbf_qp,open_docking,474100,4,1,1,0,0,5.6000000000000005,5.6000000000000005,0.22408639370867117,0.13294525244759592,0.024385053910074506,0.02350750223026082,13.740037160137682,0,0,2.428792222784509,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.021622000029310584,35
central_potential_reference,open_docking,474100,4,0,0,0,1,35.0,35.0,0.14216409342416142,0.15335206311092228,0.05189024330492342,0.022756896518172386,13.691042729374633,0,0,3.623418491260351,0,0,0.0,0,0.002251782731380062,0.0002596418736889371,2.220446049250313e-16,2.220446049250313e-16,0.0,596040,0.9508303999900818,219
nash_pd_exact_raw,open_docking,474100,4,0,0,0,1,35.0,35.0,0.14216409342416142,0.15335206311092228,0.05189024330492342,0.022756896518172386,13.691042729374633,0,0,3.623418491260351,0,0,0.0,0,0.011866925386879902,0.00036459624577238873,2.220446049250313e-16,2.220446049250313e-16,0.0,270000,0.6516172999981791,219
nash_pd_exact,open_docking,474100,4,0,0,0,1,35.0,35.0,0.14216409342416142,0.15335206311092228,0.05189024330492342,0.022756896518172386,13.691042729374633,0,0,3.623418491260351,0,0,0.0,0,0.011866925386879902,0.00036459624577238873,2.220446049250313e-16,2.220446049250313e-16,0.0,270000,0.6652797001879662,219
nash_pd_ring,open_docking,474100,4,0,0,0,1,35.0,35.0,0.14216409342416142,0.15447337705655279,0.0394090041533216,0.023334728718461276,13.680806060211754,0,0,4.9818889434754485,0,0,0.0,0,0.013864145701335524,0.0028554868542348885,2.220446049250313e-16,2.220446049250313e-16,0.08438838860852599,2319360,1.141778599936515,219
smith_primitives,open_docking,474100,4,0,0,0,1,35.0,35.0,0.14216409342416142,0.15447337705655279,0.0394090041533216,0.023334728718461276,13.680806060211754,0,0,4.9818889434754485,0,0,0.0,0,0.021582732533271195,0.0014694867600054098,2.220446049250313e-16,2.220446049250313e-16,0.0,447360,1.0337157000321895,219
replicator_primitives,open_docking,474100,4,1,1,0,0,5.76,5.76,0.14216409342416142,0.07644635255579038,0.14723882316313186,0.022701028449894294,14.007601302593569,0,0,2.8574948233559803,0,0,0.0,0,0.48531520403307704,1.1638425051926196,2.220446049250313e-16,2.220446049250313e-16,0.0,127920,0.15572559996508062,36
erv_bnn_primitives,open_docking,474100,4,0,0,0,1,35.0,35.0,0.14216409342416142,0.2742021338581049,0.07318416990479248,0.022360251528136456,13.19861501242157,0,0,4.5876993296769655,0,0,0.0,0,0.07261497069930889,0.03906804644444458,4.440892098500626e-16,0.0,0.0,647280,1.0420959999319166,219
direct_to_slot,open_docking,474101,4,1,1,0,0,5.76,5.76,0.22398642561905907,0.1349984768640791,0.020115946419810737,0.025928386638260328,13.805035024777222,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.013944700127467513,36
apf_navigation,open_docking,474101,4,1,1,0,0,5.76,5.76,0.2239864256190593,0.13499847686407912,0.02011594641981085,0.025928386638260324,13.805035024777219,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.016423300141468644,36
rvo_proxy,open_docking,474101,4,1,1,0,0,5.76,5.76,0.2239864256190593,0.13499847686407912,0.02011594641981085,0.025928386638260324,13.805035024777219,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.016987100010737777,36
cbf_qp,open_docking,474101,4,1,1,0,0,5.76,5.76,0.22398642561905907,0.13499847686407912,0.020115946419810626,0.025928386638260338,13.805035024777219,0,0,2.551737435297647,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.020280699944123626,36
central_potential_reference,open_docking,474101,4,0,0,0,1,35.0,35.0,0.1936374852782609,0.1763519075697562,0.015189012447710537,0.02678699471573033,13.662997978802913,0,0,3.940329176874504,0,0,0.0,0,0.0025898919152648908,3.3993490888756325e-10,2.220446049250313e-16,2.220446049250313e-16,0.0,574848,0.8412867998704314,219
nash_pd_exact_raw,open_docking,474101,4,1,1,0,0,6.08,6.08,0.14859324806535795,0.10979991359128484,0.08591489563525567,0.02821429175267476,13.93667790619381,0,0,3.4470937567031164,0,0,0.0,0,0.0698251859627065,0.05498621878570095,3.3306690738754696e-16,2.220446049250313e-16,0.0,135360,0.16379370004869998,38
nash_pd_exact,open_docking,474101,4,1,1,0,0,6.08,6.08,0.14859324806535795,0.10979991359128484,0.08591489563525567,0.02821429175267476,13.93667790619381,0,0,3.4470937567031164,0,0,0.0,0,0.0698251859627065,0.05498621878570095,3.3306690738754696e-16,2.220446049250313e-16,0.0,135360,0.1753803000319749,38
nash_pd_ring,open_docking,474101,4,0,0,0,1,35.0,35.0,0.1646299491238183,0.13952902805488204,0.04422626311550959,0.028169302457355307,13.811920015827548,0,0,3.3700589569358144,0,0,0.0,0,0.013150138423203244,0.0010270315774544032,4.440892098500626e-16,4.440892098500626e-16,0.08509148998418907,2028800,1.0735057999845594,219
smith_primitives,open_docking,474101,4,0,0,0,1,35.0,35.0,0.1646299491238183,0.15131384623885025,0.09630474278570234,0.029621081975759446,13.764084567355724,0,0,3.8092217401452726,0,0,0.0,0,0.022875284457525305,0.000907379469087011,2.220446049250313e-16,2.220446049250313e-16,0.0,439200,1.0349395000375807,219
replicator_primitives,open_docking,474101,4,1,1,0,0,6.08,6.08,0.14987304609382773,0.07621973187021858,0.1477236537399963,0.02605426326326814,14.083555759830828,0,0,3.1099269684673057,0,0,0.0,0,0.5460532203189532,1.4142135623730951,2.220446049250313e-16,2.220446049250313e-16,0.0,134400,0.17654230003245175,38
erv_bnn_primitives,open_docking,474101,4,0,0,0,1,35.0,35.0,0.1646299491238183,0.14476440971740917,0.07920786631631127,0.03264233106939385,13.778459092055472,0,0,5.328803349769618,0,0,0.0,0,0.05956209946908327,0.021585684691477692,4.440892098500626e-16,2.220446049250313e-16,0.0,465840,1.0154013999272138,219
direct_to_slot,open_docking,474102,4,1,1,0,0,5.28,5.28,0.22514264886912855,0.13052350328471446,0.011122017651260085,0.0310302482416053,13.65094609210722,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.013643000042065978,33
apf_navigation,open_docking,474102,4,1,1,0,0,5.28,5.28,0.22514264886912855,0.13052350328471446,0.011122017651260085,0.03103024824160532,13.650946092107224,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.02044279989786446,33
rvo_proxy,open_docking,474102,4,1,1,0,0,5.28,5.28,0.22514264886912855,0.13052350328471446,0.011122017651260085,0.03103024824160532,13.650946092107224,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.017415600130334496,33
cbf_qp,open_docking,474102,4,1,1,0,0,5.28,5.28,0.22514264886912855,0.13052350328471446,0.011122017651260085,0.03103024824160531,13.650946092107224,0,0,3.225554403780433,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.022916800109669566,33
central_potential_reference,open_docking,474102,4,0,0,0,1,35.0,35.0,0.20531280758549325,0.1650144145609907,0.023596694275640373,0.032095780486406156,13.534781347676695,0,0,6.0693982121348204,0,0,0.0,0,0.0017686322791696716,0.00022651610133194385,2.220446049250313e-16,2.220446049250313e-16,0.0,511656,0.8395483000203967,219
nash_pd_exact_raw,open_docking,474102,4,0,0,0,1,35.0,35.0,0.20434512601656957,0.1577014623976296,0.05987877123206098,0.030545378577899282,13.581332229362213,0,0,6.0960977134494865,0,0,0.0,0,0.009407607258357488,0.00033862572261804543,2.220446049250313e-16,2.220446049250313e-16,0.0,252720,0.6314856000244617,219
nash_pd_exact,open_docking,474102,4,0,0,0,1,35.0,35.0,0.20434512601656957,0.1577014623976296,0.05987877123206098,0.030545378577899282,13.581332229362213,0,0,6.0960977134494865,0,0,0.0,0,0.009407607258357488,0.00033862572261804543,2.220446049250313e-16,2.220446049250313e-16,0.0,252720,0.6474367000628263,219
nash_pd_ring,open_docking,474102,4,0,0,0,1,35.0,35.0,0.20434512601656957,0.1577014623976296,0.05987877123206098,0.030545378577899282,13.581332229362213,0,0,6.0960977134494865,0,0,0.0,0,0.010522490612892689,0.0014468910580409484,2.220446049250313e-16,0.0,0.08504685518989293,2214400,1.1472136999946088,219
smith_primitives,open_docking,474102,4,0,0,0,1,35.0,35.0,0.21121135851038825,0.1887031257624204,0.059068417741454216,0.030690252617618,13.458807350135842,0,0,6.062265526443283,0,0,0.0,0,0.018627361387461006,0.0036117480562690763,3.3306690738754696e-16,2.220446049250313e-16,0.0,506400,1.0725650999229401,219
replicator_primitives,open_docking,474102,4,1,1,0,0,4.96,4.96,0.11870618088919332,0.06611032885145106,0.07866283995181911,0.03039638952811344,13.973512207811595,0,0,4.480162406567503,0,0,0.0,0,0.5192332811161728,1.4142135623730951,2.220446049250313e-16,2.220446049250313e-16,0.0,114000,0.16004709992557764,31
erv_bnn_primitives,open_docking,474102,4,0,0,0,1,35.0,35.0,0.21121135851038825,0.19037774063560034,0.05906841774145444,0.031171303481640013,13.442130854112564,0,0,6.101402831777407,0,0,0.0,0,0.052646625619156416,0.031163489509849086,2.220446049250313e-16,0.0,0.0,490800,1.0575055999215692,219
direct_to_slot,open_docking,474103,4,1,1,0,0,5.92,5.92,0.22234908740924636,0.13466298742073934,0.011903358226060257,0.02168548979631761,13.863449929054344,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.01642960007302463,37
apf_navigation,open_docking,474103,4,1,1,0,0,5.92,5.92,0.22234908740924636,0.13466298742073937,0.011903358226060146,0.0216854897963176,13.86344992905434,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.017196299973875284,37
rvo_proxy,open_docking,474103,4,1,1,0,0,5.92,5.92,0.22234908740924636,0.13466298742073937,0.011903358226060146,0.0216854897963176,13.86344992905434,0,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.02029939997009933,37
cbf_qp,open_docking,474103,4,1,1,0,0,5.92,5.92,0.22234908740924636,0.13466298742073937,0.011903358226060146,0.021685489796317608,13.86344992905434,0,0,2.676913472980392,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.020930600119754672,37
central_potential_reference,open_docking,474103,4,1,1,0,0,6.08,6.08,0.18802923822406575,0.13729019108192844,0.049431984900541015,0.02145176550310777,13.888965351763511,0,0,4.258341538272806,0,0,0.0,0,0.009929514946786486,0.013305293847447022,2.220446049250313e-16,2.220446049250313e-16,0.0,450240,0.4782100999727845,38
nash_pd_exact_raw,open_docking,474103,4,0,0,0,1,35.0,35.0,0.18802923822406575,0.14733916500371685,0.057864609055871874,0.022086422825970103,13.831601430635763,0,0,4.217560678713257,0,0,0.0,0,0.011570285570276327,9.448502397867222e-12,4.440892098500626e-16,4.440892098500626e-16,0.0,247860,0.606601000064984,219
