method,target_pressure,n_worlds,closed_mean,closed_ci95_low,closed_ci95_high,completed_value_ratio_mean,completed_value_ratio_ci95_low,completed_value_ratio_ci95_high,partial_robot_fraction_mean,partial_robot_fraction_ci95_low,partial_robot_fraction_ci95_high,normalized_excess_mean,normalized_excess_ci95_low,normalized_excess_ci95_high,runtime_ms_median
greedy_q,0.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11154999083373696
greedy_q,0.75,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19209999300073832
greedy_q,1.0,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2970000059576705
greedy_q,1.1,240,1.0,1.0,1.0,0.999329057110184,0.9984668891080918,0.9999196986666926,0.0,0.0,0.0,0.0,0.0,0.0,0.2892500051530078
greedy_q,1.25,240,1.0,1.0,1.0,0.9914376635760214,0.9878604670911599,0.9947305174283252,0.0,0.0,0.0,0.0,0.0,0.0,0.3497500147204846
greedy_q,1.5,240,1.0,1.0,1.0,0.970670345114486,0.9623257728171792,0.9777623630229585,0.0,0.0,0.0,0.0,0.0,0.0,0.4261499998392537
milp_q,0.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6560500080231577
milp_q,0.75,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8598999886307865
milp_q,1.0,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.980149987502955
milp_q,1.1,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.939350000815466
milp_q,1.25,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.693000002182089
milp_q,1.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6346499944338575
smith_linear_qr,0.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.06459999922663
smith_linear_qr,0.75,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.56359998404514
smith_linear_qr,1.0,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.764699988183565
smith_linear_qr,1.1,240,1.0,1.0,1.0,0.9802430130056367,0.974773601782283,0.9850668053955607,0.0,0.0,0.0,0.0,0.0,0.0,57.989799985080026
smith_linear_qr,1.25,240,1.0,1.0,1.0,0.9347965686309198,0.9232871243886718,0.9463185654915967,0.0,0.0,0.0,0.0,0.0,0.0,57.94479999167379
smith_linear_qr,1.5,240,1.0,1.0,1.0,0.9179136719487645,0.9026092825715045,0.9319818506374623,0.0,0.0,0.0,0.0,0.0,0.0,63.081450018216856
smith_qr,0.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.42555000586435
smith_qr,0.75,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.20199999632314
smith_qr,1.0,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.89204997604247
smith_qr,1.1,240,1.0,1.0,1.0,0.9803907036219336,0.9751865262039807,0.9854461691698627,0.0,0.0,0.0,0.0,0.0,0.0,61.58444999891799
smith_qr,1.25,240,1.0,1.0,1.0,0.931228369041902,0.9184549149574129,0.9432162244570946,0.0,0.0,0.0,0.0,0.0,0.0,61.622049994184636
smith_qr,1.5,240,1.0,1.0,1.0,0.9434613090938451,0.9304520120912552,0.9552549145663747,0.0,0.0,0.0,0.0,0.0,0.0,66.54780000098981
smith_raw,0.5,240,0.8416666666666667,0.7916666666666666,0.8875,0.21181856035432403,0.16602517620048882,0.26141078885304836,0.017447916666666667,0.009895833333333333,0.026048177083333297,0.011458333333333333,0.005989583333333334,0.018229166666666668,52.264250014559366
smith_raw,0.75,240,0.5833333333333334,0.5208333333333334,0.6458333333333334,0.10818511731703977,0.07540919977843755,0.14613471064596834,0.015364583333333333,0.008333333333333333,0.0234375,0.14765625,0.11744791666666667,0.18047526041666664,57.05764998856466
smith_raw,1.0,240,0.18333333333333332,0.13333333333333333,0.23333333333333334,0.17835630442834052,0.1400506649980894,0.2190598743663334,0.05546875,0.042708333333333334,0.06875,0.3536458333333333,0.31509765625,0.3937565104166666,59.76079999527428
smith_raw,1.1,240,0.09583333333333334,0.058333333333333334,0.13333333333333333,0.2159799413045475,0.17378971807844207,0.26345028852844626,0.09296875,0.07603515625,0.11015625,0.36380208333333336,0.32603515625,0.40208984374999995,61.288049997529015
smith_raw,1.25,240,0.09166666666666666,0.058333333333333334,0.12916666666666668,0.22974881731917093,0.19264660413443926,0.27032217087098226,0.11536458333333334,0.09530598958333333,0.1377669270833333,0.3375,0.30026041666666664,0.37371093749999995,61.492550012189895
smith_raw,1.5,240,0.05,0.025,0.07916666666666666,0.22514201576850434,0.18663493192344888,0.2674022613229466,0.12005208333333334,0.09947916666666666,0.140625,0.35130208333333335,0.31640625,0.38515625,66.22600000991952
smith_raw_no_excess,0.5,240,0.39166666666666666,0.3333333333333333,0.4583333333333333,0.4204645637691631,0.37403539451517703,0.46773763205622304,0.05651041666666667,0.045572916666666664,0.06796875,0.03697916666666667,0.030201822916666666,0.04453125,50.72909999580588
