id,candidate,reference,metric,n_pairs,mean_paired_difference,ci95_low,ci95_high,wilcoxon_p_two_sided
C-SP1-QR,smith_qr,smith_raw,partial_robot_fraction,720,-0.10946180555555556,-0.12065972222222222,-0.09834852430555556,5.585890520201707e-55
C-SP1-BETA,smith_qr,smith_linear_qr,completed_value_ratio,720,0.007375709390786555,0.0021349777107920313,0.012712550956451896,0.005476161442320047
C-SP1-GREEDY,smith_qr,greedy_q,completed_value_ratio,720,-0.03545222801433688,-0.04138729963556516,-0.029922311271123766,2.9999306504460396e-40
C-SP1-EXCESS,smith_raw,smith_raw_no_excess,normalized_excess,720,-0.00920138888888889,-0.022743055555555555,0.003734809027777766,0.3904203464564072
