experiment,world_id,world_seed,replicate,N,K,M,slot_to_robot_ratio,matrix_elements,matrix_bytes,expected_matrix_bytes,matrix_ms,solver_ms,post_ms,total_ms,mission_feasible
scaling,a5297b3308f5325dedd4,4202594425,0,32,3,8,0.25,256,2048,2048,0.4362,0.0187,0.0618,1.7221,True
scaling,68269992bc25fffcc234,3423842300,1,32,3,8,0.25,256,2048,2048,0.086,0.0175,0.0517,1.3569,True
scaling,093f3e662bd5715da814,2625088639,2,32,3,8,0.25,256,2048,2048,0.0839,0.0189,0.0511,1.3763,True
scaling,3a456ae6d0dfb5e0e185,1160036198,3,32,3,8,0.25,256,2048,2048,0.0937,0.0171,0.0524,1.0505,True
scaling,c2cf3fb093c1574475e0,888545967,4,32,3,8,0.25,256,2048,2048,0.0619,0.0129,0.0415,0.8335,True
scaling,545f648fd1e4288d7d9c,4015020131,5,32,3,8,0.25,256,2048,2048,0.0669,0.0146,0.039,0.7778,True
scaling,219a14bbbc5b05f39138,4015992790,6,32,3,8,0.25,256,2048,2048,0.0798,0.0129,0.0357,0.7478,True
scaling,a62d58b56496704dc9cd,392387039,7,32,3,8,0.25,256,2048,2048,0.0547,0.0127,0.0331,0.7127,True
scaling,c83b5a62895d04d5f813,1255680072,8,32,3,8,0.25,256,2048,2048,0.09,0.019,0.0797,3.0359,True
scaling,f31f744df630f77727aa,1174504653,9,32,3,8,0.25,256,2048,2048,0.0813,0.0164,0.0489,1.0015,True
scaling,78c43a5c8c8df25c6b7e,519331123,10,32,3,8,0.25,256,2048,2048,0.1239,0.0322,0.1387,1.6243,True
scaling,1be352d80a4fabdcee01,538413431,11,32,3,8,0.25,256,2048,2048,0.1081,0.0604,0.0689,1.9767,True
scaling,cc6a3a0d4e0a7df0a7d0,1410407815,12,32,3,8,0.25,256,2048,2048,0.0744,0.0131,0.044,0.9061,True
scaling,439c3dfe886e6b98b937,557382215,13,32,3,8,0.25,256,2048,2048,0.1327,0.0214,0.0636,1.7665,True
scaling,fd862b863a1e31bf0c32,820310533,14,32,3,8,0.25,256,2048,2048,0.0669,0.0152,0.0429,0.8138,True
scaling,1f3a687224931aba726d,1802796052,15,32,3,8,0.25,256,2048,2048,0.088,0.0184,0.2784,1.9259,True
scaling,3a7515b7a6c45214ae44,322809996,16,32,3,8,0.25,256,2048,2048,0.0911,0.0177,0.0557,5.9047,True
scaling,213b178c4ff65eb330dd,2131530368,17,32,3,8,0.25,256,2048,2048,0.0818,0.0167,0.0539,0.9359,True
scaling,676f6c604031306180cc,4224820633,18,32,3,8,0.25,256,2048,2048,0.0858,0.0187,0.0482,1.0332,True
scaling,8b8a858e7534796e4fa9,3161132861,19,32,3,8,0.25,256,2048,2048,0.0785,0.0178,0.0492,1.1394,True
scaling,449e0c226229ec7dd87d,405783512,20,32,3,8,0.25,256,2048,2048,0.1023,0.0198,0.1218,1.7196,True
scaling,0de6657339206f1b173c,3440144515,21,32,3,8,0.25,256,2048,2048,0.3831,0.3184,0.2339,4.2975,True
scaling,b142fc935b57db731fea,2486940447,22,32,3,8,0.25,256,2048,2048,0.2744,0.0177,0.0582,1.4072,True
scaling,112354669a7b59b9740c,2676335734,23,32,3,8,0.25,256,2048,2048,0.7731,0.02,0.2207,1.9118,True
scaling,253abee4a7fa6c58099a,1413037977,24,32,3,8,0.25,256,2048,2048,0.0832,0.0187,0.0521,1.0285,True
scaling,0c3f9457d72d0533f151,1344892999,25,32,3,8,0.25,256,2048,2048,0.0763,0.0155,0.0512,1.0194,True
scaling,5c9308c7a0972bc6c2a5,1966723325,26,32,3,8,0.25,256,2048,2048,0.0762,0.018,0.0466,0.9675,True
scaling,0db3d853957bc08df010,2056129136,27,32,3,8,0.25,256,2048,2048,0.0796,0.0162,0.0514,1.0488,True
scaling,7d91aec36004d522d98a,1951246201,28,32,3,8,0.25,256,2048,2048,0.0824,0.0167,0.0513,1.1026,True
scaling,85ef0a9e2ac9a802a930,4193551361,29,32,3,8,0.25,256,2048,2048,0.0975,0.0235,0.0625,2.0902,True
scaling,e5d61ca03e4def3c33a9,3681653573,0,32,5,16,0.5,512,4096,4096,0.0918,0.0309,0.0676,1.3099,True
scaling,4619df55d783f6aa60c2,2093630105,1,32,5,16,0.5,512,4096,4096,0.113,0.0315,0.0694,1.2077,True
scaling,df842cf20a3928b7710a,2610460041,2,32,5,16,0.5,512,4096,4096,0.0931,0.0252,0.0712,1.0124,True
scaling,55e59a66edc14012c06a,3916138012,3,32,5,16,0.5,512,4096,4096,0.0836,0.0269,0.0699,1.0513,True
scaling,0d062c8bb185ee20440c,277694599,4,32,5,16,0.5,512,4096,4096,0.089,0.0283,0.0643,1.1726,True
scaling,58478995fe8b4f5b272b,2960293998,5,32,5,16,0.5,512,4096,4096,0.0956,0.0341,0.0724,1.1429,True
scaling,d198d73c556a6085123f,778581731,6,32,5,16,0.5,512,4096,4096,0.1009,0.0311,0.0769,1.3675,True
scaling,15bbc64a7f62cd6b1111,3693697872,7,32,5,16,0.5,512,4096,4096,0.1353,0.0305,0.1408,3.1719,True
scaling,64ba72803a1b315fbe64,759681984,8,32,5,16,0.5,512,4096,4096,0.0972,0.0262,0.0695,1.3534,True
scaling,d2e8281827c23e6d41fa,1815206134,9,32,5,16,0.5,512,4096,4096,0.0921,0.0291,0.0671,1.1154,True
scaling,3a6c64872c9c462f90e0,3574570331,10,32,5,16,0.5,512,4096,4096,0.0905,0.0269,0.0613,0.9961,True
scaling,27dd942c8c17e93ee3cd,2904451993,11,32,5,16,0.5,512,4096,4096,0.0856,0.0269,0.0895,0.975,True
scaling,af7e468a997c65ed675c,1461661225,12,32,5,16,0.5,512,4096,4096,0.0852,0.0309,0.0746,0.9901,True
scaling,1f98cf5bc6826688fa9c,2937809140,13,32,5,16,0.5,512,4096,4096,0.0926,0.0329,0.0794,1.6211,True
