experiment,world_id,world_seed,replicate,scenario,scenario_label,quota_mode,N,K,M,reserve_delta,mission_feasible,constraint_violations,hungarian_cost,greedy_cost,greedy_to_hungarian_ratio,relative_saving,normalized_assignment_cost_p95,assignment_cost_gini,solver_ms,total_ms
quality,7c1a4fc1897972e5b39e,1164616031,0,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,414.22948696638196,434.00793025068504,1.0477475503473954,0.04557161725795876,0.12102278031094718,0.21485379489617307,0.0603,1.6914
quality,c1779e0460f9015b8b04,2769950529,1,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,569.8758013677045,604.1848159425499,1.0602043717113512,0.05678562861816064,0.23489176689168975,0.3196563748589123,0.057,1.4805
quality,848cccabe5c1be11b11d,3781026434,2,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,485.79736852979397,529.000669533383,1.0889327604518289,0.08166965278455592,0.17187991538761999,0.3044557575751088,0.0594,1.2584
quality,1b9d2d7102e18f57e062,1977759520,3,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,532.36185988168,590.6211881678422,1.1094355788356263,0.09864076916523722,0.162901950299643,0.285971539025351,0.0418,1.1406
quality,d0ace0e18082e86705c6,1102399990,4,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,487.4972366375507,533.3111372039821,1.0939777646380662,0.08590463871919546,0.13134852252355186,0.1807165943353497,0.0445,1.1257
quality,c2444d710689d9b1f9cd,3192209638,5,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,445.85788406076256,494.1801589383887,1.1083804427489738,0.09778270940993128,0.1312714980200097,0.28247192212264216,0.0407,1.0094
quality,bfbfd7b07acea312129c,2902089963,6,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,482.2991699263125,546.848766475316,1.1338372540820785,0.11803921030133137,0.1519412435941418,0.28891136301545606,0.0389,0.9898
quality,b059ec92d4cd236bd57f,339877538,7,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,482.74484762427363,592.838596597838,1.2280578436318221,0.18570610888927713,0.15503270607922776,0.2968809652030395,0.0427,1.0236
quality,63f999f12e80a098d123,1726815509,8,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,503.44771787574905,517.1670239150241,1.02725070658213,0.02652780514777995,0.17152469895748176,0.2735206162091941,0.0333,1.1108
quality,f22be9d7c6c2395326d0,1829020767,9,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,711.1030635518863,801.2843502934595,1.1268188696742873,0.11254592294052111,0.364570694671666,0.4184181674291678,0.0583,1.3165
