experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,hungarian_relative_deficit,cardinality_certificate,false_feasible_permuted_order,cross_load_cost_ties,capacity_spread,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_repairs_false_feasible,milp_repairs_false_feasible_certified,milp_solver_ms,milp_error
heterogeneity,e39d8ba466f788fca19e,2333524394,0,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,2.0484041632248164,2.780877037663949,0.0,True,False,0,1.0,True,True,0.0,False,False,51.0382,
heterogeneity,e39d8ba466f788fca19e,2333524394,0,uniform,Aleatorio,low,Baja,0.15,0.11753541473446613,18,4,12,0.2,True,True,False,0.0,2.5267342129669377,2.9838539558317407,0.0,False,False,0,1.4704362945430962,True,True,0.0,False,False,42.6349,
heterogeneity,e39d8ba466f788fca19e,2333524394,0,uniform,Aleatorio,moderate,Moderada,0.35,0.3597076262516813,18,4,12,0.2,True,True,False,0.0,0.2999549740834606,3.133521870131993,0.0,False,False,0,4.444624579600622,True,True,0.0,False,False,22.5168,
heterogeneity,e39d8ba466f788fca19e,2333524394,0,uniform,Aleatorio,high,Alta,0.65,0.5708541306314239,18,4,12,0.2,True,False,True,3.299911400150968,-3.299911400150968,3.6735856485948526,0.25478801544911495,False,True,0,8.73353386644742,True,True,0.0,True,True,27.2947,
heterogeneity,e39d8ba466f788fca19e,2333524394,0,uniform,Aleatorio,extreme,Extrema,1.0,0.6200112162179658,18,4,12,0.2,True,False,True,10.404252321571235,-6.4477953306017675,-0.6379922355516077,0.3855941465695491,False,True,0,9.342502227882484,True,True,0.0,True,True,16.9475,
heterogeneity,a700c3f6abbf4c98b6e7,1010483846,1,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.6117676278762438,3.014889894445271,0.0,True,False,0,1.0,True,True,0.0,False,False,2.7127,
heterogeneity,a700c3f6abbf4c98b6e7,1010483846,1,uniform,Aleatorio,low,Baja,0.15,0.14993703551013765,18,4,12,0.2,True,True,False,0.0,1.0625938858920776,3.0827230429054273,0.0,False,False,0,1.7793162524929143,True,True,0.0,False,False,14.7478,
heterogeneity,a700c3f6abbf4c98b6e7,1010483846,1,uniform,Aleatorio,moderate,Moderada,0.35,0.41224658020390004,18,4,12,0.2,True,False,True,4.66401306483187,-4.1187159444528305,1.4848820139989976,0.14014847481468956,False,True,0,3.899325808990037,True,True,0.0,True,True,18.4184,
heterogeneity,a700c3f6abbf4c98b6e7,1010483846,1,uniform,Aleatorio,high,Alta,0.65,0.7357661436282712,18,4,12,0.2,True,True,False,0.0,0.5385690692351739,5.817613837860382,0.0,False,False,0,12.709475790530986,True,True,0.0,False,False,12.7652,
heterogeneity,a700c3f6abbf4c98b6e7,1010483846,1,uniform,Aleatorio,extreme,Extrema,1.0,0.7581441584029415,18,4,12,0.2,True,True,False,0.0,1.8644364668670317,5.644512192214787,0.0,False,False,0,9.986846795862569,True,True,0.0,False,False,14.5317,
heterogeneity,1be8b2809d185371aa63,2113284204,2,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,2.403260822290158,3.4140163509333488,0.0,True,False,0,1.0,True,True,0.0,False,False,2.6887,
heterogeneity,1be8b2809d185371aa63,2113284204,2,uniform,Aleatorio,low,Baja,0.15,0.1637713775423047,18,4,12,0.2,True,True,False,0.0,1.1313917895168828,3.721905877151711,0.0,False,False,0,1.899359424577198,True,True,0.0,False,False,126.3881,
heterogeneity,1be8b2809d185371aa63,2113284204,2,uniform,Aleatorio,moderate,Moderada,0.35,0.31565579606982813,18,4,12,0.2,True,True,False,0.0,0.07716371781003772,2.0186017404490815,0.0,False,False,0,2.8877093706086496,True,True,0.0,False,False,40.046,
heterogeneity,1be8b2809d185371aa63,2113284204,2,uniform,Aleatorio,high,Alta,0.65,0.6958937386689202,18,4,12,0.2,True,False,True,0.14149747566405502,-0.14149747566405502,2.2889265830999266,0.05449044589408735,False,True,0,10.320096032259352,True,True,0.0,True,True,32.5664,
