experiment,world_id,world_seed,treatment_seed,replicate,N_original,N_active,K,M,reserve_delta,failure_fraction_nominal,failure_fraction_realized,failure_count,recovery_feasible,theoretical_recoverable,theory_agreement,assignment_churn,relative_cost_increase,solver_ms,total_ms
failure,d8203280a00d9a232d56,2943475757,98161111,7,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0366,1.1683
failure,d8203280a00d9a232d56,2943475757,1080297188,7,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.07894736842105263,,0.0311,0.7417
failure,d8203280a00d9a232d56,2943475757,381673781,7,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1111111111111111,,0.0285,0.7676
failure,d8203280a00d9a232d56,2943475757,565899375,7,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.21875,,0.0235,0.691
failure,d8203280a00d9a232d56,2943475757,1879518645,7,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.5714285714285714,,0.0169,0.6267
failure,d84535ead21f279aab7c,2767506168,2519776234,8,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0249,0.8994
failure,d84535ead21f279aab7c,2767506168,2606334103,8,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.13157894736842105,,0.0202,0.8173
failure,d84535ead21f279aab7c,2767506168,2379207835,8,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1111111111111111,,0.0226,0.8226
failure,d84535ead21f279aab7c,2767506168,583174530,8,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.1875,,0.0167,0.7274
failure,d84535ead21f279aab7c,2767506168,1751931296,8,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.21428571428571427,,0.0113,0.6717
failure,29e1e7fdbde61e4341fe,1243081517,2044940482,9,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0455,0.9154
failure,29e1e7fdbde61e4341fe,1243081517,3152198124,9,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.13157894736842105,,0.04,0.9027
failure,29e1e7fdbde61e4341fe,1243081517,990720161,9,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1388888888888889,,0.0392,0.8384
failure,29e1e7fdbde61e4341fe,1243081517,965886677,9,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.28125,,0.0277,0.7675
failure,29e1e7fdbde61e4341fe,1243081517,2872113914,9,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.39285714285714285,,0.0151,0.6255
failure,6ed58babd1d98d12427f,2216907133,1201521996,10,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.042,0.8564
failure,6ed58babd1d98d12427f,2216907133,1524429776,10,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.02631578947368421,,0.0404,0.8506
failure,6ed58babd1d98d12427f,2216907133,2342605499,10,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.2222222222222222,,0.0377,0.7835
failure,6ed58babd1d98d12427f,2216907133,2950457010,10,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.5,,0.0257,0.7148
failure,6ed58babd1d98d12427f,2216907133,3672917812,10,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.5,,0.0213,0.6295
failure,8e248f1af2262a54649c,917227343,2274289400,11,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0357,0.8298
failure,8e248f1af2262a54649c,917227343,1159600560,11,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.02631578947368421,,0.0341,0.8183
failure,8e248f1af2262a54649c,917227343,4288711666,11,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1111111111111111,,0.0257,0.7525
failure,8e248f1af2262a54649c,917227343,3947973591,11,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.25,,0.033,0.6913
failure,8e248f1af2262a54649c,917227343,757610846,11,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.2857142857142857,,0.0167,0.6464
failure,a8a58a7618d671d1bebf,1266010615,3905218464,12,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0331,0.8281
failure,a8a58a7618d671d1bebf,1266010615,3603943654,12,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.07894736842105263,,0.0282,0.7953
failure,a8a58a7618d671d1bebf,1266010615,3152873428,12,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.2777777777777778,,0.0316,0.9955
failure,a8a58a7618d671d1bebf,1266010615,2304781075,12,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.28125,,0.0317,0.9663
failure,a8a58a7618d671d1bebf,1266010615,2013523938,12,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.21428571428571427,,0.0174,0.8223
failure,a8f3279f1aba31367901,874162353,2338704472,13,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0437,0.9126
failure,a8f3279f1aba31367901,874162353,2358971630,13,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.13157894736842105,,0.0851,1.9119
failure,a8f3279f1aba31367901,874162353,3378042567,13,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.05555555555555555,,0.0794,2.037
failure,a8f3279f1aba31367901,874162353,1770191233,13,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.34375,,0.0502,1.8233
failure,a8f3279f1aba31367901,874162353,2856477250,13,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.5,,0.0321,1.6308
failure,8c1872a4c4d29f25e455,2616424082,228940780,14,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0337,1.3643
failure,8c1872a4c4d29f25e455,2616424082,506491391,14,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.10526315789473684,,0.0244,1.1498
failure,8c1872a4c4d29f25e455,2616424082,3861206804,14,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.2222222222222222,,0.0288,1.432
failure,8c1872a4c4d29f25e455,2616424082,2932818720,14,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.1875,,0.0196,1.0072
failure,8c1872a4c4d29f25e455,2616424082,258195703,14,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.32142857142857145,,0.0152,0.8532
failure,1f9155fa7a0415a31cd5,1418702674,4210757197,15,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0455,1.3109
failure,1f9155fa7a0415a31cd5,1418702674,1536205404,15,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.13157894736842105,,0.0412,1.3315
failure,1f9155fa7a0415a31cd5,1418702674,3289052650,15,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.19444444444444445,,0.0345,1.0708
failure,1f9155fa7a0415a31cd5,1418702674,1467814616,15,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.40625,,0.0274,1.0007
failure,1f9155fa7a0415a31cd5,1418702674,2857382293,15,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.4642857142857143,,0.0221,1.4206
failure,c4d383b0677ace4d690b,4064648176,2390363611,16,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0539,1.4181
failure,c4d383b0677ace4d690b,4064648176,2637104424,16,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.13157894736842105,,0.0505,1.3241
failure,c4d383b0677ace4d690b,4064648176,1517778976,16,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.3333333333333333,,0.0386,1.2493
failure,c4d383b0677ace4d690b,4064648176,416043511,16,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.25,,0.0345,1.1394
failure,c4d383b0677ace4d690b,4064648176,3753957489,16,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.42857142857142855,,0.0209,1.008
failure,6307c1b500354336d607,1972446915,1609600586,17,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.044,1.3525
failure,6307c1b500354336d607,1972446915,1817101996,17,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.07894736842105263,,0.0366,1.2946
failure,6307c1b500354336d607,1972446915,1801779005,17,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.08333333333333333,,0.0279,1.264
failure,6307c1b500354336d607,1972446915,1597127362,17,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.3125,,0.0275,1.1583
failure,6307c1b500354336d607,1972446915,2481825585,17,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.35714285714285715,,0.0183,1.0409
failure,a1216e2eceaeba692332,10244322,116731421,18,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0498,1.4309
failure,a1216e2eceaeba692332,10244322,937583686,18,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.18421052631578946,,0.053,1.3566
failure,a1216e2eceaeba692332,10244322,1071294058,18,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1111111111111111,,0.0635,1.2765
failure,a1216e2eceaeba692332,10244322,2549816357,18,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.28125,,0.0297,1.1273
failure,a1216e2eceaeba692332,10244322,662511097,18,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.17857142857142858,,0.0329,1.0293
failure,bc7d965655ee2172cc0f,1149313046,877438680,19,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0626,1.3992
failure,bc7d965655ee2172cc0f,1149313046,3972986941,19,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.18421052631578946,,0.0457,1.3449
failure,bc7d965655ee2172cc0f,1149313046,3133343619,19,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.2222222222222222,,0.0342,1.1994
failure,bc7d965655ee2172cc0f,1149313046,4096603631,19,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.34375,,0.0307,1.0259
failure,bc7d965655ee2172cc0f,1149313046,1376450517,19,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.32142857142857145,,0.0191,0.9009
failure,19b2138798d8ccdef575,588290200,1906221173,20,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0342,1.2683
