experiment,world_id,world_seed,replicate,N,K,binary_variables,constraints,time_limit_s,milp_status,optimal_certified,incumbent_exists,proven_infeasible,milp_objective,best_bound,mip_gap,node_count,runtime_s,timeout
certification,bad5e91e588cae34e41d,1340914676,0,20,6,120,26,1.0,OPTIMAL,True,True,False,500.8959516667787,500.8959516667787,0.0,10,0.19709690002491698,False
certification,5bb46d3a773dc134db1c,3513744466,1,20,6,120,26,1.0,OPTIMAL,True,True,False,470.06128475988254,470.06128475988254,0.0,1,0.11551039997721091,False
certification,8b6c45eea79878c0d9cd,3394627261,2,20,6,120,26,1.0,OPTIMAL,True,True,False,454.3242344355671,454.3242344355671,0.0,1,0.13490860001184046,False
certification,cbf7d4f01eb47cb91c8a,1485618274,3,20,6,120,26,1.0,OPTIMAL,True,True,False,374.41846040143247,374.41846040143247,0.0,1,0.11025359999621287,False
certification,7d4e3b0068897b925fc4,2501239101,4,20,6,120,26,1.0,OPTIMAL,True,True,False,355.58552317086406,355.58552317086406,0.0,0,0.09546700003556907,False
certification,9d4bac1728ac2366b6eb,1665353597,5,20,6,120,26,1.0,OPTIMAL,True,True,False,468.7562405813127,468.7562405813127,0.0,40,0.5301713999942876,False
certification,2924f6afc303560d6744,574194918,6,20,6,120,26,1.0,OPTIMAL,True,True,False,312.41826339333585,312.41826339333585,0.0,1,0.036775599990505725,False
certification,8b0dd582da5fd42a610b,1629395940,7,20,6,120,26,1.0,OPTIMAL,True,True,False,433.5455802578131,433.5455802578131,0.0,1,0.17989650001982227,False
certification,96d026790209e08aa21c,4118091891,8,20,6,120,26,1.0,OPTIMAL,True,True,False,458.8008787398267,458.8008787398267,0.0,1,0.12156509998021647,False
certification,6b362fabb0c5c00133d3,1653037131,9,20,6,120,26,1.0,OPTIMAL,True,True,False,515.9911389589398,515.9911389589398,0.0,5,0.30927969998447224,False
certification,2d875e172a92b5ecadae,773660282,10,20,6,120,26,1.0,OPTIMAL,True,True,False,378.9143069236874,378.9143069236874,0.0,48,0.6442931999918073,False
certification,8f96d0a5727aee57cf2c,576685639,11,20,6,120,26,1.0,OPTIMAL,True,True,False,316.61751090148505,316.61751090148505,0.0,1,0.031192599970381707,False
certification,b0f321047641231bc25a,2391912620,12,20,6,120,26,1.0,OPTIMAL,True,True,False,352.6753838287041,352.6753838287041,0.0,1,0.12383989995578304,False
certification,a90f46f2b80383e12810,742831704,13,20,6,120,26,1.0,OPTIMAL,True,True,False,419.02306176052457,419.02306176052457,0.0,1,0.23176679998869076,False
certification,f1ab2b816cdae3c83055,1889661962,14,20,6,120,26,1.0,OPTIMAL,True,True,False,526.9686964392744,526.9686964392744,0.0,1,0.09296360000735149,False
certification,bad5e91e588cae34e41d,1340914676,0,20,6,120,26,5.0,OPTIMAL,True,True,False,500.8959516667787,500.8959516667787,0.0,10,0.20997670001816005,False
certification,5bb46d3a773dc134db1c,3513744466,1,20,6,120,26,5.0,OPTIMAL,True,True,False,470.06128475988254,470.06128475988254,0.0,1,0.14942639996297657,False
certification,8b6c45eea79878c0d9cd,3394627261,2,20,6,120,26,5.0,OPTIMAL,True,True,False,454.3242344355671,454.3242344355671,0.0,1,0.15730550000444055,False
certification,cbf7d4f01eb47cb91c8a,1485618274,3,20,6,120,26,5.0,OPTIMAL,True,True,False,374.41846040143247,374.41846040143247,0.0,1,0.12220320000778884,False
certification,7d4e3b0068897b925fc4,2501239101,4,20,6,120,26,5.0,OPTIMAL,True,True,False,355.58552317086406,355.58552317086406,0.0,0,0.09681870002532378,False
certification,9d4bac1728ac2366b6eb,1665353597,5,20,6,120,26,5.0,OPTIMAL,True,True,False,468.7562405813127,468.7562405813127,0.0,40,0.5841857999912463,False
certification,2924f6afc303560d6744,574194918,6,20,6,120,26,5.0,OPTIMAL,True,True,False,312.41826339333585,312.41826339333585,0.0,1,0.0358550000237301,False
