experiment,world_id,world_seed,replicate,scenario,scenario_label,pressure,capacity_cv,realized_cv,N,K,lp_status,milp_status,lp_objective,milp_objective,gap_absolute,gap_relative,fractional_variables,fractional_world,fractionality_rate,max_fractionality,lp_runtime_s,milp_runtime_s
atomicity,a95d05a2baeb5ddcf610,1414818442,0,uniform,Aleatorio,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,319.36450879466173,449.07801524345723,129.7135064487955,0.28884403610467174,8,True,0.5,0.46381591921012577,0.0013407999649643898,0.001615300017874688
atomicity,a95d05a2baeb5ddcf610,1414818442,0,uniform,Aleatorio,0.7,0.15,0.1331256646901244,16,5,OPTIMAL,OPTIMAL,318.4986823080253,403.91423603693903,85.41555372891372,0.2114695301828932,7,True,0.4666666666666667,0.3506749580411582,0.0010084999958053231,0.03405230003409088
atomicity,a95d05a2baeb5ddcf610,1414818442,0,uniform,Aleatorio,0.7,0.35,0.2407099554652398,16,5,OPTIMAL,OPTIMAL,309.52663653746026,362.19971084348305,52.673074306022784,0.14542550070887367,8,True,0.5333333333333333,0.4805756190424493,0.0010847999947145581,0.022350399987772107
atomicity,a95d05a2baeb5ddcf610,1414818442,0,uniform,Aleatorio,0.7,0.65,0.6619303803565831,16,5,OPTIMAL,OPTIMAL,242.05208865157823,341.4828798573443,99.43079120576607,0.29117357580943337,7,True,0.5384615384615384,0.4574457288669828,0.0016185000422410667,0.03492549998918548
atomicity,a95d05a2baeb5ddcf610,1414818442,0,uniform,Aleatorio,0.7,1.0,0.588125607266989,16,5,OPTIMAL,OPTIMAL,247.82020620797354,333.7276704373013,85.90746422932776,0.2574178644424617,8,True,0.6666666666666666,0.4561361575269947,0.0013201999827288091,0.045606100000441074
atomicity,448e5f1054c4f8ff8f00,825367720,1,uniform,Aleatorio,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,239.18458623146535,313.71698063376255,74.5323944022972,0.23757845128985008,6,True,0.46153846153846156,0.2900325674352636,0.0011627000058069825,0.0019316000398248434
atomicity,448e5f1054c4f8ff8f00,825367720,1,uniform,Aleatorio,0.7,0.15,0.18183021154177964,16,5,OPTIMAL,OPTIMAL,229.10734128883806,264.48876685761866,35.3814255687806,0.13377288566598128,6,True,0.42857142857142855,0.4090705719791681,0.001138599996920675,0.009063499979674816
atomicity,448e5f1054c4f8ff8f00,825367720,1,uniform,Aleatorio,0.7,0.35,0.27935621339587396,16,5,OPTIMAL,OPTIMAL,221.04150282637528,264.5151363716065,43.47363354523122,0.16435215822264662,7,True,0.5384615384615384,0.4269081599434722,0.0011768999975174665,0.009802999964449555
atomicity,448e5f1054c4f8ff8f00,825367720,1,uniform,Aleatorio,0.7,0.65,0.580337119742734,16,5,OPTIMAL,OPTIMAL,222.89734879936108,314.5202691176907,91.62292031832962,0.2913100658833696,7,True,0.5,0.4323877685477108,0.0012647999683395028,0.09099840000271797
atomicity,448e5f1054c4f8ff8f00,825367720,1,uniform,Aleatorio,0.7,1.0,1.1355609952547892,16,5,OPTIMAL,OPTIMAL,130.48586735916967,218.48975786179693,88.00389050262726,0.4027826812746667,7,True,0.7,0.4756070112501948,0.0013139999937266111,0.021382100007031113
atomicity,52152c9e2dcb6576a8d9,1352935491,2,uniform,Aleatorio,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,193.5676494528045,249.78594337878653,56.21829392598204,0.22506588307385303,6,True,0.42857142857142855,0.4996461144598925,0.0013814999838359654,0.0025254000211134553
atomicity,52152c9e2dcb6576a8d9,1352935491,2,uniform,Aleatorio,0.7,0.15,0.1669213193831491,16,5,OPTIMAL,OPTIMAL,204.99377047336105,247.25134288138474,42.25757240802369,0.1709093747098318,6,True,0.4,0.35380972209759576,0.001150099968072027,0.009003000042866915
atomicity,52152c9e2dcb6576a8d9,1352935491,2,uniform,Aleatorio,0.7,0.35,0.3367289514820372,16,5,OPTIMAL,OPTIMAL,221.88002873559242,267.0980492570457,45.2180205214533,0.16929371310359917,8,True,0.5,0.33785832395363125,0.0011781000066548586,0.010899699991568923
atomicity,52152c9e2dcb6576a8d9,1352935491,2,uniform,Aleatorio,0.7,0.65,0.7111286107341532,16,5,OPTIMAL,OPTIMAL,159.22869283456836,245.05101205892484,85.82231922435648,0.3502222598604069,7,True,0.5384615384615384,0.4114407083876825,0.0012481999583542347,0.014989599992986768
atomicity,52152c9e2dcb6576a8d9,1352935491,2,uniform,Aleatorio,0.7,1.0,1.1397680274469058,16,5,OPTIMAL,OPTIMAL,103.03421228406295,211.63833097416455,108.6041186901016,0.5131590208172606,6,True,0.6,0.399004593552852,0.0010701999999582767,0.006766800011973828
atomicity,174f57ba0413215e3bc0,4189366831,3,uniform,Aleatorio,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,295.40482869458555,373.0953474397818,77.69051874519624,0.20823234403301055,7,True,0.5,0.4062762774354035,0.0012103000190109015,0.0016908000106923282
atomicity,174f57ba0413215e3bc0,4189366831,3,uniform,Aleatorio,0.7,0.15,0.17202825509365569,16,5,OPTIMAL,OPTIMAL,286.18924729365017,328.7654439352968,42.57619664164662,0.12950325962489506,7,True,0.5,0.28087771727253763,0.001026499958243221,0.027522899967152625
atomicity,174f57ba0413215e3bc0,4189366831,3,uniform,Aleatorio,0.7,0.35,0.2730741891964711,16,5,OPTIMAL,OPTIMAL,262.09509881510127,294.57289039669445,32.47779158159318,0.11025383747247106,8,True,0.5333333333333333,0.41968406378764533,0.0015753000043332577,0.010649300005752593
atomicity,174f57ba0413215e3bc0,4189366831,3,uniform,Aleatorio,0.7,0.65,0.4474135958874251,16,5,OPTIMAL,OPTIMAL,258.38019960675393,313.3932907914218,55.01309118466787,0.17554010504099052,9,True,0.6923076923076923,0.26690975269183115,0.0023908999864943326,0.015978300012648106
atomicity,174f57ba0413215e3bc0,4189366831,3,uniform,Aleatorio,0.7,1.0,0.737826357734066,16,5,OPTIMAL,OPTIMAL,208.58151990278208,277.94267653230656,69.36115662952449,0.24955202092350262,8,True,0.6666666666666666,0.42834193120010655,0.0022665999713353813,0.010810900013893843
atomicity,cc1c91185bd4780b626f,2754543744,4,uniform,Aleatorio,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,267.4743612952416,334.47126815077434,66.99690685553276,0.20030691193879055,6,True,0.42857142857142855,0.49190100720282826,0.0013444999931380153,0.0019368999637663364
atomicity,cc1c91185bd4780b626f,2754543744,4,uniform,Aleatorio,0.7,0.15,0.15432849606972912,16,5,OPTIMAL,OPTIMAL,255.45385355067867,308.6941605850427,53.24030703436404,0.17246943360853362,7,True,0.5,0.45143093798744405,0.001186499954201281,0.006772900000214577
atomicity,cc1c91185bd4780b626f,2754543744,4,uniform,Aleatorio,0.7,0.35,0.20936486898202405,16,5,OPTIMAL,OPTIMAL,263.52307842371135,328.9231876026892,65.40010917897786,0.19883094790500308,7,True,0.5,0.4097977563516956,0.0012821999844163656,0.012452199996914715
