experiment,world_id,world_seed,replicate,scenario,scenario_label,pressure,capacity_cv,realized_cv,N,K,supply,demand,realized_pressure,milp_status,certified_feasible,proven_infeasible,censored,milp_objective,excess_capacity,coalition_size,milp_runtime_s
phase_diagram,90329e7d28a1659a712d,2510459826,0,uniform,Aleatorio,0.6,0.0,0.0,24,8,120.0,72.0,0.6,OPTIMAL,True,False,False,496.29030111751695,18.000000000000007,18.0,0.0028064000071026385
phase_diagram,90329e7d28a1659a712d,2510459826,0,uniform,Aleatorio,0.6,0.15,0.1836292599310603,24,8,120.00000000000001,72.0,0.6,OPTIMAL,True,False,False,451.91575696589234,10.760324102532907,17.0,0.06981540005654097
phase_diagram,90329e7d28a1659a712d,2510459826,0,uniform,Aleatorio,0.6,0.35,0.3538072582812841,24,8,120.0,72.0,0.6,OPTIMAL,True,False,False,403.9038567951779,7.175984763919505,14.0,0.08156960003543645
phase_diagram,90329e7d28a1659a712d,2510459826,0,uniform,Aleatorio,0.6,0.65,0.5312567415404578,24,8,119.99999999999999,72.0,0.6000000000000001,OPTIMAL,True,False,False,366.76827302940274,14.551382215722665,13.999999999999998,0.08075459999963641
phase_diagram,90329e7d28a1659a712d,2510459826,0,uniform,Aleatorio,0.6,1.0,0.6845619968439094,24,8,120.0,72.0,0.6,OPTIMAL,True,False,False,369.1471834679566,8.979989081270524,10.999999999999996,0.03881499997805804
phase_diagram,5cd6c3114d86834205b2,3189837162,1,uniform,Aleatorio,0.6,0.0,0.0,24,8,120.0,72.0,0.6,OPTIMAL,True,False,False,428.2629108893304,18.000000000000004,18.0,0.0025036000297404826
phase_diagram,5cd6c3114d86834205b2,3189837162,1,uniform,Aleatorio,0.6,0.15,0.12612549274419485,24,8,120.0,72.0,0.6,OPTIMAL,True,False,False,343.99223469464715,4.2648275118528165,14.999999999999972,0.2805469000013545
phase_diagram,5cd6c3114d86834205b2,3189837162,1,uniform,Aleatorio,0.6,0.35,0.38355811667857254,24,8,120.0,72.0,0.6,OPTIMAL,True,False,False,314.94713250103274,8.45547614384998,13.999999999999986,0.11945530003868043
phase_diagram,5cd6c3114d86834205b2,3189837162,1,uniform,Aleatorio,0.6,0.65,0.7878983026888589,24,8,120.0,72.0,0.6,OPTIMAL,True,False,False,255.28395784215405,16.576519190445254,10.999999999999998,0.051153199980035424
phase_diagram,5cd6c3114d86834205b2,3189837162,1,uniform,Aleatorio,0.6,1.0,0.8460018600622394,24,8,120.0,72.0,0.6,OPTIMAL,True,False,False,360.29489858833136,17.49514797443288,13.999999999999314,0.09784899995429441
