campaign_id,experiment,block,world_key,world_id,world_seed,scenario,N,K,robots_per_load,capacity_cv,realized_cv,pressure,graph_regime,graph_edges,graph_connected,br_status,br_phase,br_feasible,br_distance,br_deficit,br_rounds,br_bytes_per_agent,hstar_order,hstar_category,searched_through,phase,witness_robots,witness_old_actions,witness_new_actions,witness_delta_deficit,witness_delta_distance,search_runtime_ms,br_assignment,gap_br,gap_2br,gap_c3
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r0,clustered-p0.7-r0,2740995697,clustered,16,5,3.2,0.0,0.0,0.7,medium,52,True,LOCAL_MINIMUM,G,True,663.2118757461865,0.0,30,530.25,2.0,2,3,G,5;6,1;0,0;1,0.0,-55.88201373867412,8.008500008145347,4;1;4;3;0;1;0;2;4;-1;2;2;3;1;-1;3,0.3560945789777112,0.0226905339569526,0.0206318681606567
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r1,clustered-p0.7-r1,1963205955,clustered,16,5,3.2,0.0,0.0,0.7,medium,43,True,LOCAL_MINIMUM,G,True,656.742741432971,0.0,30,540.75,2.0,2,3,G,7;12,1;0,0;1,0.0,-56.770405459074155,5.760400003055111,-1;3;-1;4;3;3;4;1;4;1;2;3;0;2;0;0,0.4745549655403186,0.0164814291369137,0.0095183179037807
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r10,clustered-p0.7-r10,3379527504,clustered,16,5,3.2,0.0,0.0,0.7,medium,43,True,LOCAL_MINIMUM,G,True,475.4033333007356,0.0,30,525.0,2.0,2,3,G,1;9,-1;0,0;-1,0.0,-32.93788538438374,10.335200000554323,1;-1;2;0;3;0;0;2;-1;0;3;1;1;3;4;2,0.3926701604512729,0.1419736347805177,0.0
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r11,clustered-p0.7-r11,1563327330,clustered,16,5,3.2,0.0,0.0,0.7,medium,70,True,LOCAL_MINIMUM,G,True,490.3510607768902,0.0,30,525.0,2.0,2,3,G,2;11,0;4,4;0,0.0,-56.033427817267324,7.797199999913573,2;3;0;-1;4;4;3;4;1;0;2;4;0;1;-1;1,0.5020923759366415,0.0109093749332466,0.0
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r12,clustered-p0.7-r12,2441075953,clustered,16,5,3.2,0.0,0.0,0.7,medium,53,True,LOCAL_MINIMUM,G,True,557.362526895401,0.0,29,521.25,2.0,2,3,G,9;13,0;2,2;0,0.0,-56.2519576265683,8.906500006560236,1;0;-1;1;-1;3;1;4;3;0;4;0;-1;2;3;3,0.8736403329614214,0.0693443469382114,0.0693443469382114
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r13,clustered-p0.7-r13,3167094121,clustered,16,5,3.2,0.0,0.0,0.7,medium,88,True,LOCAL_MINIMUM,G,True,557.838608805776,0.0,30,530.25,2.0,2,3,G,7;15,4;1,1;4,0.0,-77.03702124974151,12.930099997902289,4;0;-1;1;-1;2;2;4;1;2;3;0;2;4;3;1,0.4816533236063804,0.1306334788476736,0.0
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r14,clustered-p0.7-r14,2732908252,clustered,16,5,3.2,0.0,0.0,0.7,medium,60,True,LOCAL_MINIMUM,G,True,596.1602639949162,0.0,30,504.0,2.0,2,3,G,3;13,3;4,4;3,0.0,-38.8400757683732,11.640699987765402,0;0;0;3;0;-1;2;3;4;2;3;2;-1;4;1;2,0.3241811587043751,0.0834266790526707,1.2625964660480084e-16
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r15,clustered-p0.7-r15,3846953599,clustered,16,5,3.2,0.0,0.0,0.7,medium,65,True,LOCAL_MINIMUM,G,True,548.2126265721445,0.0,29,505.5,2.0,2,3,G,0;8,3;-1,-1;3,0.0,-47.42428619676315,13.613500021165237,3;0;4;-1;3;2;3;2;-1;3;4;4;1;4;-1;3,0.5666802288308982,0.0973079592932312,0.0
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r16,clustered-p0.7-r16,2552720052,clustered,16,5,3.2,0.0,0.0,0.7,medium,87,True,LOCAL_MINIMUM,G,True,532.0355342966095,0.0,29,453.0,2.0,2,3,G,13;14,0;1,1;0,0.0,-69.24398359126582,14.666800008853897,3;1;3;3;3;1;2;1;-1;-1;2;3;-1;0;1;4,0.4854367448465471,0.017991389036576,-1.5870613452573212e-16
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r17,clustered-p0.7-r17,3231926979,clustered,16,5,3.2,0.0,0.0,0.7,medium,97,True,LOCAL_MINIMUM,G,True,425.08936813241957,0.0,29,453.0,2.0,2,3,G,10;14,2;1,1;2,0.0,-30.889649262092142,10.188599990215153,3;-1;1;3;4;0;1;2;2;4;2;-1;0;-1;1;1,0.3326442631873111,0.0037781535502489,1.7820265977861783e-16
SP1_N4_HSTAR_v4,E9_HSTAR_BARRIERS,frozen_main,E3:clustered:p0.7:cv0.0:r18,clustered-p0.7-r18,2146648384,clustered,16,5,3.2,0.0,0.0,0.7,medium,64,True,LOCAL_MINIMUM,G,True,618.2744447196493,0.0,31,581.25,2.0,2,3,G,5;9,0;4,4;0,0.0,-62.698117458051364,11.941899982048199,-1;1;0;1;0;0;0;4;2;4;0;0;3;2;3;1,0.5284798715388208,0.0450112491856444,-1.4052662583780566e-16
