experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,rates_valid,finite_metrics,shape_valid,speed_valid,event_valid,clearance_evaluated,battery_valid,message,hard_clearance_valid
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,classic_centralized_replan,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,classic_decentralized_greedy_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,cbba_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,cbf_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,replicator_repair_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,smith_qr_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,primal_dual_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,tensor_flow_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,ours_guarded_wrench_market_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,communication_radius_decay,communication_radius_decay_v00,7100,reference_resilient_oracle,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,classic_centralized_replan,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,classic_decentralized_greedy_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,cbba_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,cbf_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,replicator_repair_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,smith_qr_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,primal_dual_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,tensor_flow_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,ours_guarded_wrench_market_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,robot_dropout_mid_task,robot_dropout_mid_task_v00,7100,reference_resilient_oracle,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,classic_centralized_replan,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,classic_decentralized_greedy_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,cbba_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,cbf_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,replicator_repair_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,smith_qr_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,primal_dual_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,tensor_flow_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,ours_guarded_wrench_market_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,battery_depletion_reallocation,battery_depletion_reallocation_v00,7100,reference_resilient_oracle,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,blocked_corridor_recovery,blocked_corridor_recovery_v00,7100,classic_centralized_replan,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,blocked_corridor_recovery,blocked_corridor_recovery_v00,7100,classic_decentralized_greedy_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,blocked_corridor_recovery,blocked_corridor_recovery_v00,7100,cbba_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,blocked_corridor_recovery,blocked_corridor_recovery_v00,7100,cbf_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,blocked_corridor_recovery,blocked_corridor_recovery_v00,7100,replicator_repair_recovery,True,True,True,True,True,True,True,True,,True
SP6_DEBUG_smoke,blocked_corridor_recovery,blocked_corridor_recovery_v00,7100,smith_qr_recovery,True,True,True,True,True,True,True,True,,True
