actual,bound,kind,label,method,oracle_method,scenario,scenario_case,seed
0.8642005958291956,0.8582423038728898,method_capture_gt_oracle_policy,Classic greedy nearest,classic_greedy_nearest,oracle_clairvoyant,nominal_flow,rho0.7,2026
0.8161838161838162,0.8121878121878123,method_capture_gt_oracle_policy,Classic greedy nearest,classic_greedy_nearest,oracle_clairvoyant,nominal_flow,rho0.7,2027
0.8354145854145855,0.8121878121878123,method_capture_gt_oracle_policy,Classic auction/CBBA-lite,classic_auction_cbba,oracle_clairvoyant,nominal_flow,rho0.7,2027
0.8161838161838162,0.8121878121878123,method_capture_gt_oracle_policy,Proxy token passing,proxy_token_passing,oracle_clairvoyant,nominal_flow,rho0.7,2027
0.914491948917268,0.8886729594669627,method_capture_gt_oracle_policy,Classic greedy nearest,classic_greedy_nearest,oracle_clairvoyant,nominal_flow,rho0.7,2031
0.914491948917268,0.8886729594669627,method_capture_gt_oracle_policy,Proxy token passing,proxy_token_passing,oracle_clairvoyant,nominal_flow,rho0.7,2031
0.7085987261146497,0.6731687898089171,method_capture_gt_oracle_policy,Classic greedy nearest,classic_greedy_nearest,oracle_clairvoyant,nominal_flow,rho0.7,2033
0.7085987261146497,0.6731687898089171,method_capture_gt_oracle_policy,Proxy token passing,proxy_token_passing,oracle_clairvoyant,nominal_flow,rho0.7,2033
0.6853105095541401,0.6731687898089171,method_capture_gt_oracle_policy,Proxy PIBT priority,proxy_pibt_priority,oracle_clairvoyant,nominal_flow,rho0.7,2033
0.9125288683602771,0.894919168591224,method_capture_gt_oracle_policy,Classic greedy nearest,classic_greedy_nearest,oracle_clairvoyant,nominal_flow,rho0.7,2034
0.9125288683602771,0.894919168591224,method_capture_gt_oracle_policy,Proxy token passing,proxy_token_passing,oracle_clairvoyant,nominal_flow,rho0.7,2034
0.6898871527777778,0.6644965277777778,method_capture_gt_oracle_policy,Classic greedy nearest,classic_greedy_nearest,oracle_clairvoyant,nominal_flow,rho0.7,2035
0.6898871527777778,0.6644965277777778,method_capture_gt_oracle_policy,Proxy token passing,proxy_token_passing,oracle_clairvoyant,nominal_flow,rho0.7,2035
0.8592448639644641,0.8334258745141587,method_capture_gt_oracle_policy,Smith no prices,smith_no_prices,oracle_clairvoyant,nominal_flow,rho0.7,2036
0.8739589117157134,0.8334258745141587,method_capture_gt_oracle_policy,Classic greedy nearest,classic_greedy_nearest,oracle_clairvoyant,nominal_flow,rho0.7,2036
0.8739589117157134,0.8334258745141587,method_capture_gt_oracle_policy,Proxy token passing,proxy_token_passing,oracle_clairvoyant,nominal_flow,rho0.7,2036
0.7121938232161874,0.6916932907348242,method_capture_gt_oracle_policy,Smith no prices,smith_no_prices,oracle_clairvoyant,nominal_flow,rho0.7,2038
0.7121938232161874,0.6916932907348242,method_capture_gt_oracle_policy,Classic greedy nearest,classic_greedy_nearest,oracle_clairvoyant,nominal_flow,rho0.7,2038
