mean_z_theory_task,method,n_seeds,normalized_rmse,rmse_ci95_high,rmse_ci95_low,rmse_mean,scenario,scenario_case
5.172921222088492,smith,20,1.2619616878083268,7.000177258446031,6.055879534206581,6.528028396326306,comm_degradation,R1.5_p0
5.6603224353721275,smith,20,0.9768852799594425,5.791328128767034,5.267643205111394,5.529485666939214,comm_degradation,R12_p0
5.63029460275164,smith,20,0.9912099100282975,5.818460141934932,5.343147471317592,5.580803806626262,comm_degradation,R12_p0.9
5.3671171127364286,smith,20,1.2824343147958335,7.285095793325645,6.480854520476623,6.882975156901134,comm_degradation,R3_p0
5.673371876738596,smith,20,0.9725367884046947,5.779481095664902,5.255644633192837,5.51756286442887,comm_degradation,R4_p0
5.6603224353721275,smith,20,0.9768852799594425,5.791328128767034,5.267643205111394,5.529485666939214,comm_degradation,R6_p0
6.3337966283120535,smith,20,0.9301553650532257,6.2457059741664365,5.5371238557945395,5.891414914980488,load_sweep,rho0.5
5.50560311149213,smith,20,1.0066972390621445,5.8398120228508885,5.245138880571269,5.542475451711079,load_sweep,rho1.0
5.293772408617323,smith,20,1.0747190833201958,5.991056244880054,5.387580215709855,5.689318230294955,load_sweep,rho1.7
5.633721890215251,smith,20,0.9319542928309377,5.467471128794098,5.033271471609358,5.250371300201728,nominal_flow,rho0.7
5.679895174636607,smith,20,1.0154831696742244,6.092786662683905,5.442889248030721,5.767837955357313,nominal_flow_big,rho0.7_L30
5.240504821504157,smith,20,0.9639600686654681,5.336409121122967,4.76686565403476,5.051637387578864,robot_failures,fail4
4.019758648260822,smith,20,1.4163167532521364,5.977441557221822,5.409061477902106,5.693251517561964,scarcity_extreme,rho2.2_heavy
2.2347249045376385,smith,20,1.3026663029585883,2.925251258780141,2.896950400266918,2.9111008295235297,scarcity_priority,triage_forced
5.504081513224965,smith,20,0.9292448832904688,5.405883429198761,4.823395737557158,5.11463958337796,task_churn,cancel30
