scenario,scenario_case,method,regime,r2,slope,bias,mae,normalized_mae_by_weight,z_theory_variance,z_theory_mean,n_points,n_raw_rows_after_filter,sample_ok,filter,theory_cap,lambda_source
comm_degradation,R12_p0,smith,full_comm_control,0.8347416276792653,1.0666756703080857,-0.018702348051024345,1.0153050962036683,0.20754855557754542,9.533431730285994,4.312121358604995,37,2222,True,post_first_contact_40s,"min(z_theory, load_weight)",simulator_theory_csv
load_sweep,rho0.5,smith,control_low_load,0.7868666463714636,0.9055282089838175,-0.11748709329571244,0.9216402577826545,0.2197288031799706,7.116744873316544,3.695984220511904,36,2506,True,post_first_contact_40s,"min(z_theory, load_weight)",simulator_theory_csv
nominal_flow,rho0.7,smith,nominal_control,0.7688145671204593,1.0748062334913486,-0.4547771080672016,1.014981638801816,0.23973492695625714,5.810974419507189,3.8544436327917913,77,7781,True,post_first_contact_40s,"min(z_theory, load_weight)",simulator_theory_csv
robot_failures,fail4,smith,fault_transient,0.5261167832057636,0.7930130862618385,0.045016409888486514,1.2719967614915473,0.26195109559473423,6.921328473349775,3.8790819020664724,111,13552,True,post_first_contact_40s,"min(z_theory, load_weight)",simulator_theory_csv
scarcity_extreme,rho2.2_heavy,smith,scarcity_low_slack,0.1790832675571301,-0.43587305652290087,3.861147130863442,5.362280501844251,0.6106511603523702,6.852607485016767,2.2219511501559053,32,4813,True,post_first_contact_40s,"min(z_theory, load_weight)",simulator_theory_csv
comm_degradation,R3_p0,smith,poor_comm,0.00015708817238013761,-0.007185544705289004,-1.709956417173789,3.007235519900666,0.49256443860441945,11.790477488550545,4.18873648693093,19,9599,False,post_first_contact_40s,"min(z_theory, load_weight)",simulator_theory_csv
