video_id,SP,path_local,sha256,bytes,used_in_doc,caption
sp1_balanced-demand_median_baseline_classic_centralized_hungarian-expanded_hungarian-expanded_seed2050,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_baseline_classic_centralized_hungarian-expanded_hungarian-expanded_seed2050.mp4,8e10859638d00056584e5189344a40681b46e7e8775cc598f69b744b17365b06,62389,false,
sp1_balanced-demand_median_baseline_classic_decentralized_nearest-greedy_greedy-nearest_seed2050,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_baseline_classic_decentralized_nearest-greedy_greedy-nearest_seed2050.mp4,8421a71ef5cbc50a93c0d0570d43b244bbad08f8e4ce8eea68c1e2def9c01bf6,65824,false,
sp1_balanced-demand_median_baseline_data-driven_decentralized_oracle-imitation-linear_imitation-oracle_seed2003,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_baseline_data-driven_decentralized_oracle-imitation-linear_imitation-oracle_seed2003.mp4,188fafa05b3604c543d017dbc7366b72da7e43bb4f4d9ade372329c699f50a23,59993,false,
sp1_balanced-demand_median_baseline_model-based_decentralized_bnn-cardinality_bnn-cardinality_seed2049,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_baseline_model-based_decentralized_bnn-cardinality_bnn-cardinality_seed2049.mp4,83c984317b0644bece2f933079b145b615fe8522b9feb66a1c730d4070b58965,72059,false,
sp1_balanced-demand_median_baseline_model-based_decentralized_population-game-replicator_replicator-cardinality_seed2014,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_baseline_model-based_decentralized_population-game-replicator_replicator-cardinality_seed2014.mp4,a0ae26fd1d2ccb9c91be7ac525cd974de6a47c092320a7b85599146b3ba8fc8d,62155,false,
sp1_balanced-demand_median_baseline_sota_decentralized_cbba-like-auction_cbba_seed2050,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_baseline_sota_decentralized_cbba-like-auction_cbba_seed2050.mp4,dd1b6011b80c159a390fdf5cc820f282230c1195510f98f5b63ec0a35d0bf350,62598,false,
sp1_balanced-demand_median_proposed_data-driven_decentralized_mappo-ctde-quorum-decoder_mappo-recruitment_seed2027,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_proposed_data-driven_decentralized_mappo-ctde-quorum-decoder_mappo-recruitment_seed2027.mp4,28af0b5a1ded5c32e0a9b1dc024a74ad33699f8649cf592b8048de0e3bc5c283,67257,false,
sp1_balanced-demand_median_proposed_data-driven_decentralized_mappo-ctde-quorum-decoder_mappo-recruitment_seed2028,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_proposed_data-driven_decentralized_mappo-ctde-quorum-decoder_mappo-recruitment_seed2028.mp4,ebd807d8d4c373c0e966b2761feb9d86ca7d320eb8428fa4895a604f529aad69,65591,false,
sp1_balanced-demand_median_proposed_model-based_decentralized-local_local-primal-dual-wrench-proxy_local-primal-dual-wrench-market_seed2049,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_proposed_model-based_decentralized-local_local-primal-dual-wrench-proxy_local-primal-dual-wrench-market_seed2049.mp4,0e417e3d7d6bfd5e76ff7162c3fbc71d7daae87e93d3b29d6f661d21bd07013b,62302,false,
sp1_balanced-demand_median_proposed_model-based_decentralized_primal-dual-capacity_primal-dual-cardinality-capacity_seed2048,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_proposed_model-based_decentralized_primal-dual-capacity_primal-dual-cardinality-capacity_seed2048.mp4,95be73c61ddf66d22ffe3902820f4d0465d76a14635a02e20f39105c61d10eed,68725,false,
sp1_balanced-demand_median_proposed_model-based_decentralized_primal-dual-wrench-proxy_primal-dual-wrench-market_seed2049,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_proposed_model-based_decentralized_primal-dual-wrench-proxy_primal-dual-wrench-market_seed2049.mp4,fdb3266f28d389b58533eb4459e2fdfb9c8afbfdbbafd36376abefd5d02a2c26,62675,false,
sp1_balanced-demand_median_proposed_model-based_decentralized_smith-qr-cardinality_smith-cardinality_seed2093,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_proposed_model-based_decentralized_smith-qr-cardinality_smith-cardinality_seed2093.mp4,8fbbe2f3bd984735bd2f3ba81b00f3714b697fa25a33047a529a1757efb264af,51151,false,
sp1_balanced-demand_median_reference_model-based-oracle_centralized_exact-capacity-feasible-coalition_centralized-coalition-milp_seed2028,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_balanced-demand_median_reference_model-based-oracle_centralized_exact-capacity-feasible-coalition_centralized-coalition-milp_seed2028.mp4,5c72e3ebc22c176ec0fdad25b2e3469ecd14d7b0376102184dafff068fba47ba,65817,false,
sp1_monte-carlo_median_baseline_classic_centralized_hungarian-expanded_hungarian-expanded_seed2024,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_monte-carlo_median_baseline_classic_centralized_hungarian-expanded_hungarian-expanded_seed2024.mp4,61dc9fdb45c0032d39d9b24805a224c13afca7e921f9d9ff1b0b6e939bf46edb,58321,false,
sp1_monte-carlo_median_baseline_classic_decentralized_nearest-greedy_greedy-nearest_seed2024,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_monte-carlo_median_baseline_classic_decentralized_nearest-greedy_greedy-nearest_seed2024.mp4,58c44c37b102fc245dd225dc65ec261482f2aa3ac0fdf2478ca88138fa330b78,63659,false,
sp1_monte-carlo_median_baseline_data-driven_decentralized_oracle-imitation-linear_imitation-oracle_seed2011,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_monte-carlo_median_baseline_data-driven_decentralized_oracle-imitation-linear_imitation-oracle_seed2011.mp4,54c99f7ae8fe3a1034a7a34556ead710c89f65786da8b2b2df775f1c383ae728,66158,false,
sp1_monte-carlo_median_baseline_model-based_decentralized_bnn-cardinality_bnn-cardinality_seed2008,SP1,results\sp1\SP1_MC_recruitment_comparison\videos\sp1_monte-carlo_median_baseline_model-based_decentralized_bnn-cardinality_bnn-cardinality_seed2008.mp4,6a30d8514ec6ab397ace3090deb5f8541776ae95837bdae95f71f927f87ba616,78618,false,
