bias,mae,method,n_points,r2,rmse,scenario,scenario_case,slope
-3.77401335245824,4.260535496386211,smith,83,0.07969208785537374,5.3090002629408755,comm_degradation,R1.5_p0,-0.09671318510377712
-2.3350417599140147,3.4544424729902774,smith,386,0.07769670005852036,4.093286491224313,comm_degradation,R12_p0,0.15457120946955238
-2.2999706603060748,3.4030025742982306,smith,378,0.07859140644006901,4.068133069210695,comm_degradation,R12_p0.9,0.15033065069743115
-3.8653121034160716,4.361539300761597,smith,116,0.008696576434613523,5.307161880902722,comm_degradation,R3_p0,-0.04177310257247545
-2.3810883630404245,3.45350201919508,smith,387,0.08345405147743568,4.098120261326733,comm_degradation,R4_p0,0.1612431065443251
-2.3350417599140147,3.4544424729902774,smith,386,0.07769670005852036,4.093286491224313,comm_degradation,R6_p0,0.15457120946955238
-3.1378042076604045,3.818020894231723,smith,334,0.14484140769889786,4.485896837044415,load_sweep,rho0.5,0.2054344025570867
-2.025669493375281,3.3699194315952066,smith,394,0.05551470284594062,3.9955739489747235,load_sweep,rho1.0,0.13086035987432001
-1.5305566581422132,3.310376248578356,smith,386,0.016467686787046798,3.981900182344804,load_sweep,rho1.7,0.07209754349425405
-2.3996811477984523,3.385068549146228,smith,756,0.12802805741035062,3.945622667167005,nominal_flow,rho0.7,0.19678534904289183
-3.573674512575481,3.9907405615868905,smith,233,0.11729439864199487,4.669218461835711,nominal_flow_big,rho0.7_L30,0.1662627533560263
-1.897013665027437,3.189803934411556,smith,696,0.07642766557479186,3.7666854183548293,robot_failures,fail4,0.16101694304861572
2.7723253811751745,5.217344694206129,smith,637,0.53605761434913,5.596687618706413,scarcity_extreme,rho2.2_heavy,-0.7164686857371347
1.0624857496524545,1.9328233857686496,smith,1477,0.004091865652144144,2.0431889565396846,scarcity_priority,triage_forced,-0.05103337633951819
-2.375572319215028,3.3223535147479595,smith,787,0.13229228365540358,3.8658486282416535,task_churn,cancel30,0.19839727515443867
