ci95_high,ci95_low,label,mean,method,metric,n_seeds,scenario,scenario_case
0.02313427341924676,0.0043156663943952085,Classic auction/CBBA-lite,0.013724969906820983,classic_auction_cbba,capture,20,comm_degradation,R1.5_p0
nan,nan,Classic auction/CBBA-lite,nan,classic_auction_cbba,recovery,0,comm_degradation,R1.5_p0
0.10715197682327929,-0.0071519768232792755,Classic auction/CBBA-lite,0.05,classic_auction_cbba,throughput,20,comm_degradation,R1.5_p0
0.6524343176131461,0.5527042783442694,Classic centralized min-cost,0.6025692979787077,classic_centralized_mincost,capture,20,comm_degradation,R1.5_p0
nan,nan,Classic centralized min-cost,nan,classic_centralized_mincost,recovery,0,comm_degradation,R1.5_p0
4.28527147754832,3.4480618557850145,Classic centralized min-cost,3.866666666666667,classic_centralized_mincost,throughput,20,comm_degradation,R1.5_p0
0.067066394600239,0.023482941683627894,Classic greedy nearest,0.04527466814193345,classic_greedy_nearest,capture,20,comm_degradation,R1.5_p0
nan,nan,Classic greedy nearest,nan,classic_greedy_nearest,recovery,0,comm_degradation,R1.5_p0
0.43145600008544494,0.10187733324788842,Classic greedy nearest,0.26666666666666666,classic_greedy_nearest,throughput,20,comm_degradation,R1.5_p0
0.6451074272459552,0.548355226436614,Oracle clairvoyant,0.5967313268412846,oracle_clairvoyant,capture,20,comm_degradation,R1.5_p0
nan,nan,Oracle clairvoyant,nan,oracle_clairvoyant,recovery,0,comm_degradation,R1.5_p0
4.2632736436802885,3.470059689653046,Oracle clairvoyant,3.866666666666667,oracle_clairvoyant,throughput,20,comm_degradation,R1.5_p0
0.02313427341924676,0.0043156663943952085,Proxy PIBT priority,0.013724969906820983,proxy_pibt_priority,capture,20,comm_degradation,R1.5_p0
nan,nan,Proxy PIBT priority,nan,proxy_pibt_priority,recovery,0,comm_degradation,R1.5_p0
0.10715197682327929,-0.0071519768232792755,Proxy PIBT priority,0.05,proxy_pibt_priority,throughput,20,comm_degradation,R1.5_p0
0.067066394600239,0.023482941683627894,Proxy token passing,0.04527466814193345,proxy_token_passing,capture,20,comm_degradation,R1.5_p0
nan,nan,Proxy token passing,nan,proxy_token_passing,recovery,0,comm_degradation,R1.5_p0
0.43145600008544494,0.10187733324788842,Proxy token passing,0.26666666666666666,proxy_token_passing,throughput,20,comm_degradation,R1.5_p0
0.10879659889009115,-0.035498683545554174,Random feasible,0.03664895767226849,random_feasible,capture,5,comm_degradation,R1.5_p0
nan,nan,Random feasible,nan,random_feasible,recovery,0,comm_degradation,R1.5_p0
0.5035260140263732,-0.2368593473597065,Random feasible,0.13333333333333333,random_feasible,throughput,5,comm_degradation,R1.5_p0
0.06419960058478517,0.023147022812872235,Response threshold,0.0436733116988287,response_threshold,capture,20,comm_degradation,R1.5_p0
nan,nan,Response threshold,nan,response_threshold,recovery,0,comm_degradation,R1.5_p0
0.43145600008544494,0.1018773332478885,Response threshold,0.2666666666666667,response_threshold,throughput,20,comm_degradation,R1.5_p0
0.04469798673385757,0.01902491480657327,Smith main raw,0.03186145077021542,smith,capture,20,comm_degradation,R1.5_p0
nan,nan,Smith main raw,nan,smith,recovery,0,comm_degradation,R1.5_p0
0.2570712034857974,0.04292879651420259,Smith main raw,0.14999999999999997,smith,throughput,20,comm_degradation,R1.5_p0
0.05519609616264136,0.020242929939509255,Smith effective occupancy,0.03771951305107531,smith_effective_occupancy,capture,20,comm_degradation,R1.5_p0
nan,nan,Smith effective occupancy,nan,smith_effective_occupancy,recovery,0,comm_degradation,R1.5_p0
0.36226626121345606,0.0710670721198772,Smith effective occupancy,0.21666666666666665,smith_effective_occupancy,throughput,20,comm_degradation,R1.5_p0
0.0677608487663975,0.02784578054197431,Smith no integer,0.047803314654185906,smith_no_integer,capture,20,comm_degradation,R1.5_p0
nan,nan,Smith no integer,nan,smith_no_integer,recovery,0,comm_degradation,R1.5_p0
0.4509979905016191,0.14900200949838088,Smith no integer,0.3,smith_no_integer,throughput,20,comm_degradation,R1.5_p0
0.048732303432026766,0.017652775964198633,Smith no prices,0.0331925396981127,smith_no_prices,capture,20,comm_degradation,R1.5_p0
nan,nan,Smith no prices,nan,smith_no_prices,recovery,0,comm_degradation,R1.5_p0
0.3306819346747017,0.03598473199196495,Smith no prices,0.18333333333333332,smith_no_prices,throughput,20,comm_degradation,R1.5_p0
0.6508578152820446,0.5523379030561124,Classic auction/CBBA-lite,0.6015978591690785,classic_auction_cbba,capture,20,comm_degradation,R12_p0
nan,nan,Classic auction/CBBA-lite,nan,classic_auction_cbba,recovery,0,comm_degradation,R12_p0
4.170975104560822,3.4956915621058458,Classic auction/CBBA-lite,3.8333333333333335,classic_auction_cbba,throughput,20,comm_degradation,R12_p0
0.6524343176131461,0.5527042783442694,Classic centralized min-cost,0.6025692979787077,classic_centralized_mincost,capture,20,comm_degradation,R12_p0
nan,nan,Classic centralized min-cost,nan,classic_centralized_mincost,recovery,0,comm_degradation,R12_p0
4.28527147754832,3.4480618557850145,Classic centralized min-cost,3.866666666666667,classic_centralized_mincost,throughput,20,comm_degradation,R12_p0
0.6671580626059727,0.5805811936028268,Classic greedy nearest,0.6238696281043997,classic_greedy_nearest,capture,20,comm_degradation,R12_p0
nan,nan,Classic greedy nearest,nan,classic_greedy_nearest,recovery,0,comm_degradation,R12_p0
4.342928899464984,3.6237377672016824,Classic greedy nearest,3.9833333333333334,classic_greedy_nearest,throughput,20,comm_degradation,R12_p0
0.6451074272459552,0.548355226436614,Oracle clairvoyant,0.5967313268412846,oracle_clairvoyant,capture,20,comm_degradation,R12_p0
nan,nan,Oracle clairvoyant,nan,oracle_clairvoyant,recovery,0,comm_degradation,R12_p0
4.2632736436802885,3.470059689653046,Oracle clairvoyant,3.866666666666667,oracle_clairvoyant,throughput,20,comm_degradation,R12_p0
0.6557984670636032,0.5530772720338364,Proxy PIBT priority,0.6044378695487198,proxy_pibt_priority,capture,20,comm_degradation,R12_p0
nan,nan,Proxy PIBT priority,nan,proxy_pibt_priority,recovery,0,comm_degradation,R12_p0
4.246782286694551,3.486551046638783,Proxy PIBT priority,3.866666666666667,proxy_pibt_priority,throughput,20,comm_degradation,R12_p0
0.6636667498698208,0.5767968904045147,Proxy token passing,0.6202318201371677,proxy_token_passing,capture,20,comm_degradation,R12_p0
nan,nan,Proxy token passing,nan,proxy_token_passing,recovery,0,comm_degradation,R12_p0
4.327772958497496,3.605560374835837,Proxy token passing,3.9666666666666663,proxy_token_passing,throughput,20,comm_degradation,R12_p0
0.07493731214888531,-0.020816683945271,Random feasible,0.02706031410180716,random_feasible,capture,5,comm_degradation,R12_p0
nan,nan,Random feasible,nan,random_feasible,recovery,0,comm_degradation,R12_p0
0.0,0.0,Random feasible,0.0,random_feasible,throughput,5,comm_degradation,R12_p0
0.42082653514564855,0.24523883856707035,Response threshold,0.33303268685635945,response_threshold,capture,20,comm_degradation,R12_p0
nan,nan,Response threshold,nan,response_threshold,recovery,0,comm_degradation,R12_p0
2.458378985519754,1.041621014480246,Response threshold,1.75,response_threshold,throughput,20,comm_degradation,R12_p0
0.6316759308696297,0.5273128095503542,Smith main raw,0.579494370209992,smith,capture,20,comm_degradation,R12_p0
nan,nan,Smith main raw,nan,smith,recovery,0,comm_degradation,R12_p0
3.914142406971594,3.4858575930284044,Smith main raw,3.6999999999999993,smith,throughput,20,comm_degradation,R12_p0
0.555650510812375,0.4158058650389147,Smith effective occupancy,0.48572818792564487,smith_effective_occupancy,capture,20,comm_degradation,R12_p0
nan,nan,Smith effective occupancy,nan,smith_effective_occupancy,recovery,0,comm_degradation,R12_p0
3.295436764176743,2.337896569156592,Smith effective occupancy,2.8166666666666673,smith_effective_occupancy,throughput,20,comm_degradation,R12_p0
0.3883910201128046,0.1748717516868611,Smith no integer,0.28163138589983283,smith_no_integer,capture,20,comm_degradation,R12_p0
nan,nan,Smith no integer,nan,smith_no_integer,recovery,0,comm_degradation,R12_p0
2.6133573440331825,1.0533093226334844,Smith no integer,1.8333333333333335,smith_no_integer,throughput,20,comm_degradation,R12_p0
0.6550985545583379,0.5534597575756786,Smith no prices,0.6042791560670082,smith_no_prices,capture,20,comm_degradation,R12_p0
nan,nan,Smith no prices,nan,smith_no_prices,recovery,0,comm_degradation,R12_p0
4.232288108397155,3.5677118916028454,Smith no prices,3.9,smith_no_prices,throughput,20,comm_degradation,R12_p0
0.6432595471678503,0.5430021814806917,Classic auction/CBBA-lite,0.593130864324271,classic_auction_cbba,capture,20,comm_degradation,R12_p0.9
nan,nan,Classic auction/CBBA-lite,nan,classic_auction_cbba,recovery,0,comm_degradation,R12_p0.9
